metric,lead,sum_oat,full,ratio,additive_ok
RMSE Z500,72,3.0281124114990234,1.7076516151428223,1.7732612346961427,False
RMSE T850,72,0.02031049132347107,0.012432287136713663,1.633689046924629,False
RMSE U500,72,0.017411351203918457,0.026741286118825276,0.6511037325037725,False
RMSE MSLP,72,3.2975641886393228,2.9340662956237793,1.1238887797312924,True
RMSE T2M,72,0.026351163784662884,0.02309480557839076,1.1409995938358979,True
SpecDiv< Z500,72,0.00043719293050041114,2.6810617782757618e-05,16.30670856012791,False
SpecRes Z500,72,3.113676878759482e-05,2.1736727982594555e-05,1.4324496682539911,False
SpecResLog Z500,72,7.354808133278395,0.08542285017579411,86.09883793554917,False
|RQE| Z500,72,0.0003679990962458154,0.0002539759492113565,1.4489525381774233,False
SpecRes T850,72,1.2591661895082021e-05,-1.2977974317133581e-05,-0.9702332264950202,False
SpecResLog T850,72,-0.16618560075584066,0.008276174859162936,-20.08000115800464,False
SpecDivW1 T850,72,0.003224144132558143,-0.003972626152615617,-0.8115901191546387,False
|RQE| T850,72,0.0009641494737782826,0.001024626935153113,0.9409761159891887,True
SpecDiv> Q700,72,0.0008731766526276866,0.0011538595232802133,0.7567443306663568,False
SpecDiv< Q700,72,0.0006497812379772464,0.0009612569604845097,0.6759703853272825,False
SpecRes Q700,72,0.0003790517002926208,0.0003644557333852087,1.0400486686595352,True
SpecResLog Q700,72,0.017797668405465556,0.015263770819993852,1.166007313353564,True
SpecDivW1 Q700,72,0.38814320330120994,0.34121708966068054,1.137525683977888,True
|RQE| Q700,72,-0.0008191795398791635,-0.013826239698876938,0.05924818010682274,False
Vag/Vg 850hPa,72,0.021529900530974068,0.02397882752120495,0.897871278816062,True
|Vag| 850hPa,72,0.263282835483551,0.3086024175087611,0.8531457323275069,True
Vag/Vg 500hPa,72,0.05183560525377592,0.05601775615165631,0.9253424059586018,True
|Vag| 500hPa,72,0.9841927687327068,1.0719986259937286,0.9180914460784622,True
Vag/Vg 250hPa,72,0.04172453532616297,0.041940901428461075,0.9948411670963448,True
|Vag| 250hPa,72,1.2896265983581543,1.3059704800446827,0.9874852594784767,True
div/vort 850hPa,72,0.005620005230108897,0.005702297513683637,0.9855685741795714,True
div/vort 500hPa,72,0.011963521440823873,0.01112889808913072,1.0749960458806165,True
div/vort 250hPa,72,0.013828458885351816,0.012996790930628777,1.0639902541452058,True
HypsRel 600-500,72,5.53234903388987e-05,8.859214246219908e-05,0.6244740086571943,False
|DryAir Md err|,72,-53097249024682.664,-76175539961856.0,0.6970380393925725,False
neg-q fraction,72,0.0008816762582644818,0.0010301235219950893,0.8558937248194249,True
|neg-q mass|,72,17001518832.0,18744845325.0,0.9069970190324843,True
DKE<1000km 500hPa,72,0.00522898385922114,0.005875679353872935,0.8899368982370476,True
DKEpert<1000km 500hPa,72,0.11215193088476856,0.06931735738180578,1.617948737817952,False
