,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.8684,0.7439,0.7912,0.7912,0.7982,0.4491,0.4070,0.5404,0.1579
|Vag| 850hPa,0.8684,1.0000,0.7842,0.8368,0.8509,0.8316,0.5333,0.5772,0.7439,0.3965
Vag/Vg 500hPa,0.7439,0.7842,1.0000,0.9158,0.8263,0.8368,0.3684,0.7263,0.7140,0.2702
|Vag| 500hPa,0.7912,0.8368,0.9158,1.0000,0.8807,0.9053,0.3649,0.6596,0.8211,0.4474
Vag/Vg 250hPa,0.7912,0.8509,0.8263,0.8807,1.0000,0.9842,0.4211,0.6807,0.7702,0.4930
|Vag| 250hPa,0.7982,0.8316,0.8368,0.9053,0.9842,1.0000,0.3947,0.6439,0.7421,0.4579
div/vort 850hPa,0.4491,0.5333,0.3684,0.3649,0.4211,0.3947,1.0000,0.1544,0.3175,0.1579
div/vort 500hPa,0.4070,0.5772,0.7263,0.6596,0.6807,0.6439,0.1544,1.0000,0.8211,0.5140
div/vort 250hPa,0.5404,0.7439,0.7140,0.8211,0.7702,0.7421,0.3175,0.8211,1.0000,0.6789
HypsRel 600-500,0.1579,0.3965,0.2702,0.4474,0.4930,0.4579,0.1579,0.5140,0.6789,1.0000
