metric,lead,sum_oat,full,ratio,additive_ok
RMSE Z500,72,14.318050384521484,9.45015255610148,1.5151131475943265,False
RMSE T850,72,0.05744222799936931,0.0709326242407163,0.8098139412470332,True
RMSE Q700,72,2.34810965290914e-05,3.739289483443523e-05,0.6279561032399017,False
RMSE U500,72,0.19503521919250488,0.1956638048092524,0.9967874200475642,True
RMSE MSLP,72,16.289896647135418,11.354392846425375,1.4346779143073118,False
RMSE T2M,72,-0.0037707736094792694,0.012892688314119974,-0.29247380512174076,False
SpecDiv< Z500,72,0.0004179605481719288,4.549780563441649e-05,9.186389153145566,False
SpecRes Z500,72,-2.477387958303249e-05,-3.650511249967773e-05,0.6786413706642103,False
SpecResLog Z500,72,7.0342917691856,0.5557321513931127,12.657701649170368,False
SpecDivW1 Z500,72,0.014450831245984348,0.008005939451048858,1.805013806854503,False
SpecDiv> T850,72,0.00022871904366184026,0.0002837422907759901,0.8060802041046824,True
SpecDiv< T850,72,0.00015873406179404506,0.00029646219627466053,0.5354276659509876,False
SpecRes T850,72,0.0001038251521094935,9.365810501549277e-05,1.1085549092875508,True
SpecResLog T850,72,-0.1964918638854009,0.006861598550493327,-28.63645584034842,False
SpecDivW1 T850,72,0.008942983487940094,0.01619246295653658,0.5522929718563899,False
SpecDiv> Q700,72,0.0048400827605898184,0.006015941927519937,0.8045427995986549,True
SpecDiv< Q700,72,0.0038976198993623257,0.004848017493107666,0.803961599747422,True
SpecRes Q700,72,0.0004968667635694146,0.0004554371128809483,1.090966786668736,True
SpecResLog Q700,72,0.143807732752227,0.11352179487549403,1.2667852275411018,False
SpecDivW1 Q700,72,1.1855200112376283,1.153361063228047,1.0278828105394628,True
|RQE| Q700,72,-0.030087006588776905,-0.08899048820603639,0.3380923871225155,False
Vag/Vg 850hPa,72,0.06337293485800426,0.05549382418394089,1.1419817572482862,True
|Vag| 850hPa,72,0.7767677704493204,0.6834020763635635,1.1366189792436148,True
Vag/Vg 500hPa,72,0.11834320301810901,0.10318199824541807,1.1469365299228849,True
|Vag| 500hPa,72,2.2451480825742083,2.0080760618050895,1.1180592833500596,True
Vag/Vg 250hPa,72,0.09205934405326843,0.07872812822461128,1.1693323101830035,True
|Vag| 250hPa,72,2.8894842863082886,2.5374249517917633,1.1387466984069514,True
div/vort 850hPa,72,0.03818439940611521,0.036685118451714516,1.040868914090439,True
div/vort 500hPa,72,0.06381857643524805,0.06349806146075328,1.0050476340083685,True
div/vort 250hPa,72,0.040093231946229935,0.040187944347659744,0.9976432633475734,True
HypsRel 600-500,72,0.0006324247719329461,0.0005334753118913725,1.1854808607557867,True
LapseW1 mean,72,0.004307638077686231,0.006830499313461284,0.6306476115438449,False
|DryAir Md err|,72,-72613580417706.67,-146235046494208.0,0.49655388471177947,False
neg-q fraction,72,0.0030731332858522364,0.002795622724486672,1.0992660987245768,True
|neg-q mass|,72,93372018792.0,114309720911.33333,0.8168335820225291,True
DKE<1000km 500hPa,72,0.041652945180734,0.02649041699866454,1.5723778596174554,False
DKEpert<1000km 500hPa,72,0.8757710443072332,0.4674619138240814,1.8734596732019746,False
