,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9930,0.9789,0.9737,0.9596,0.9632,0.9404,0.9386,0.9491,0.6702
|Vag| 850hPa,0.9930,1.0000,0.9807,0.9842,0.9684,0.9719,0.9491,0.9421,0.9632,0.6614
Vag/Vg 500hPa,0.9789,0.9807,1.0000,0.9912,0.9877,0.9895,0.9649,0.9509,0.9596,0.6982
|Vag| 500hPa,0.9737,0.9842,0.9912,1.0000,0.9860,0.9895,0.9649,0.9544,0.9649,0.6860
Vag/Vg 250hPa,0.9596,0.9684,0.9877,0.9860,1.0000,0.9982,0.9825,0.9719,0.9719,0.6930
|Vag| 250hPa,0.9632,0.9719,0.9895,0.9895,0.9982,1.0000,0.9789,0.9702,0.9737,0.6912
div/vort 850hPa,0.9404,0.9491,0.9649,0.9649,0.9825,0.9789,1.0000,0.9789,0.9719,0.6298
div/vort 500hPa,0.9386,0.9421,0.9509,0.9544,0.9719,0.9702,0.9789,1.0000,0.9614,0.6632
div/vort 250hPa,0.9491,0.9632,0.9596,0.9649,0.9719,0.9737,0.9719,0.9614,1.0000,0.6333
HypsRel 600-500,0.6702,0.6614,0.6982,0.6860,0.6930,0.6912,0.6298,0.6632,0.6333,1.0000
