,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9772,0.9561,0.9561,0.9632,0.9579,0.7368,0.8895,0.8754,0.3386
|Vag| 850hPa,0.9772,1.0000,0.9368,0.9526,0.9667,0.9719,0.8035,0.9228,0.8702,0.3544
Vag/Vg 500hPa,0.9561,0.9368,1.0000,0.9877,0.9807,0.9684,0.6877,0.8877,0.8421,0.3018
|Vag| 500hPa,0.9561,0.9526,0.9877,1.0000,0.9947,0.9877,0.7281,0.9158,0.8649,0.3246
Vag/Vg 250hPa,0.9632,0.9667,0.9807,0.9947,1.0000,0.9965,0.7439,0.9298,0.8807,0.3193
|Vag| 250hPa,0.9579,0.9719,0.9684,0.9877,0.9965,1.0000,0.7737,0.9421,0.8860,0.3579
div/vort 850hPa,0.7368,0.8035,0.6877,0.7281,0.7439,0.7737,1.0000,0.8298,0.7228,0.3772
div/vort 500hPa,0.8895,0.9228,0.8877,0.9158,0.9298,0.9421,0.8298,1.0000,0.9368,0.3526
div/vort 250hPa,0.8754,0.8702,0.8421,0.8649,0.8807,0.8860,0.7228,0.9368,1.0000,0.3509
HypsRel 600-500,0.3386,0.3544,0.3018,0.3246,0.3193,0.3579,0.3772,0.3526,0.3509,1.0000
