group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,distortion,share,norm,rank,significant,lag1_autocorr,n,n_eff
encoder_io,RMSE Z500,24,39.31072394053141,40.614563941955566,1.3038400014241536,0.9747597376505533,1.624126394589742,3.31675398142395,0.9258244551371393,0.6921527196697544,1.1532518811376293,0.9258244551371393,0.41595761082622834,share,2,True,0.32911270522623814,12,6.05715941592386
enc0_attn,RMSE Z500,24,39.31072394053141,39.318416913350426,0.007692972819010417,-0.017024993896484375,0.03632601896921791,0.01956965440435087,0.005462589244666198,-0.012089026016005906,0.025794205334046087,0.005462589244666198,0.0024542509743921475,share,17,False,0.24355066062921255,12,7.299575610258181
enc0_mlp,RMSE Z500,24,39.31072394053141,39.26636632283529,-0.044357617696126304,-0.09045039017995198,-0.012586983044942232,-0.11283846556280609,-0.031497244439379644,-0.06422657926879616,-0.008937704554757784,0.031497244439379644,-0.014151190835279218,share,14,True,-0.23209104971138816,12,19.253705261515456
enc1_attn,RMSE Z500,24,39.31072394053141,39.316739082336426,0.0060151418050130205,-0.013641722997029622,0.0223230759302775,0.015301528952030045,0.004271203044941066,-0.009686649241518483,0.015851062697539428,0.004271203044941066,0.0019189808651838105,share,18,False,-0.01755315439472494,12,12.428802542710445
enc1_mlp,RMSE Z500,24,39.31072394053141,39.26055018107096,-0.05017375946044922,-0.07552324136098226,-0.023705363273620612,-0.12763377122321945,-0.03562714248980992,-0.05362718102439619,-0.016832590665001507,0.03562714248980992,-0.016006685704183298,share,12,True,0.025222497635627745,12,11.409552614528941
enc2_attn,RMSE Z500,24,39.31072394053141,39.328322092692055,0.01759815216064453,0.0030394872029622395,0.02568360169728597,0.04476679744506032,0.012496011487416367,0.002158264496031049,0.018237288717462562,0.012496011487416367,0.005614251226916318,share,15,True,-0.33222972523562705,12,23.9405036536982
enc2_mlp,RMSE Z500,24,39.31072394053141,38.97348213195801,-0.33724180857340497,-0.44296534061431886,-0.22454796632130944,-0.8578875552726494,-0.2394670460569535,-0.3145387046500626,-0.15944594301793436,0.2394670460569535,-0.1075885820435691,share,5,True,0.2867970426104661,12,6.650959868008634
downsample,RMSE Z500,24,39.31072394053141,39.15424124399821,-0.15648269653320312,-0.21193508307139078,-0.08558847109476726,-0.39806617850622,-0.11111448268038948,-0.15048984736984145,-0.060774251082020676,0.11111448268038948,-0.04992189878704477,share,7,True,0.14295294553670115,12,8.998239773318245
dec0_attn,RMSE Z500,24,39.31072394053141,39.322794914245605,0.012070973714192709,-0.002883481979370117,0.026157259941101074,0.030706566819917822,0.008571299123903508,-0.002047489055046754,0.018573621691617633,0.008571299123903508,0.0038509428925462244,share,16,False,-0.16958341600150253,12,16.901156916253765
dec0_mlp,RMSE Z500,24,39.31072394053141,38.91078313191732,-0.39994080861409503,-0.48359045187632244,-0.32290472984313967,-1.0173834733217293,-0.28398805130829613,-0.34338558882139325,-0.2292866419512291,0.28398805130829613,-0.12759113314618317,share,4,True,0.0666192142984835,12,10.50100099292213
dec1_attn,RMSE Z500,24,39.31072394053141,39.30629094441732,-0.004432996114095052,-0.015732860565185545,0.005152408281962077,-0.011276811184655903,-0.0031477606205318237,-0.011171514177047447,0.0036585973624687225,0.0031477606205318237,-0.0014142367701610948,share,19,False,0.17796692854308507,12,8.374086418269238
dec1_mlp,RMSE Z500,24,39.31072394053141,39.210058530171715,-0.10066541035970052,-0.1236845334370931,-0.08704500993092855,-0.25607620585157737,-0.07148001180791183,-0.0878253203255087,-0.06180850319340104,0.07148001180791183,-0.03211478673788693,share,8,True,-0.563927374358149,12,43.03670395424302
dec2_attn,RMSE Z500,24,39.31072394053141,39.265491803487144,-0.045232137044270836,-0.05406620502471924,-0.03674337863922119,-0.11506309859034201,-0.03211821894401091,-0.038391071568343337,-0.02609056208691066,0.03211821894401091,-0.014430184406789665,share,13,True,-0.4941929826123825,12,35.44892651737959
dec2_mlp,RMSE Z500,24,39.31072394053141,39.14150810241699,-0.16921583811442056,-0.19656442801157634,-0.14715569019317626,-0.4304571911990412,-0.1201559707876252,-0.1395755263409499,-0.10449160674976607,0.1201559707876252,-0.05398408981098185,share,6,True,-0.04768650462667573,12,13.201785038855887
upsample,RMSE Z500,24,39.31072394053141,39.3746140797933,0.06389013926188152,0.043050988515218096,0.0856929302215576,0.16252597982813397,0.04536680367695278,0.030569439457051064,0.060848424917797406,0.04536680367695278,0.020382554342326786,share,9,True,-0.0363519510720748,12,12.905358368857184
decoder_io,RMSE Z500,24,39.31072394053141,42.57921155293783,3.2684876124064126,1.974945608774821,4.929527592658996,8.314493565040737,2.320872008508236,1.4023599062555672,3.5003353115198137,2.320872008508236,1.0427293968483005,share,1,True,0.756593348669677,12,1.6628093338597403
decoder_heads,RMSE Z500,24,39.31072394053141,40.28920269012451,0.978478749593099,0.9071691354115804,1.03586212793986,2.4890886035915414,0.6947934978339425,0.6441583089890446,0.7355400119260007,0.6947934978339425,0.31215922389282286,share,3,True,0.1826395936883052,12,8.293587436178301
film,RMSE Z500,24,39.31072394053141,39.367092768351235,0.05636882781982422,0.03418683211008707,0.07761181195576983,0.14339300366255786,0.04002610691956426,0.024275221788420804,0.05511022321578667,0.04002610691956426,0.01798306764587562,share,10,True,0.3877256924864149,12,5.294484154861135
cond_embed,RMSE Z500,24,39.31072394053141,39.364358266194664,0.053634325663248696,0.03219298521677653,0.080078125,0.13643688105155677,0.03808440474259654,0.022859440548690605,0.05686149095406587,0.03808440474259654,0.017110692981341682,share,11,True,-0.005277716524191912,12,12.127337246470448
encoder_io,RMSE T850,24,0.619096964597702,0.6249354630708694,0.005838498473167419,0.0045911769072214765,0.007243971899151803,0.9430668872623788,0.34974544201699553,0.2750267391820131,0.43393796632322795,0.34974544201699553,0.2933706792173462,share,2,True,0.3173795658112648,12,6.21798411243793
enc0_attn,RMSE T850,24,0.619096964597702,0.618984267115593,-0.00011269748210906982,-0.0002899259328842163,8.628889918327315e-05,-0.018203526838853464,-0.006750953327398229,-0.017367525916945178,0.005168991535188579,0.006750953327398229,-0.0056627807687832,share,14,False,-0.10292162060343608,12,14.753515134479148
enc0_mlp,RMSE T850,24,0.619096964597702,0.6187856048345566,-0.0003113597631454468,-0.0006176979591449101,-0.00011084886888663031,-0.050292568200164374,-0.018651483508658733,-0.03700215847396313,-0.006640215258086066,0.018651483508658733,-0.015645088478609674,share,10,True,0.01333151394533429,12,11.684253050176743
enc1_attn,RMSE T850,24,0.619096964597702,0.6191918402910233,9.487569332122803e-05,5.380225678284963e-05,0.00013206092019875837,0.015324851961256117,0.005683369011707593,0.003222933801645966,0.007910887554455216,0.005683369011707593,0.004767278216956583,share,16,True,-0.6390236982036903,12,54.48635902293283
enc1_mlp,RMSE T850,24,0.619096964597702,0.6185705910126368,-0.0005263735850652059,-0.0006837380429108937,-0.00036953017115592984,-0.0850228017847335,-0.03153152527499548,-0.04095817874077035,-0.022136084070847144,0.03153152527499548,-0.02644902227556358,share,8,True,-0.012687638515741497,12,12.30841640017555
enc2_attn,RMSE T850,24,0.619096964597702,0.6191233942906061,2.642969290415446e-05,-1.6163910428682965e-05,9.088541070620214e-05,0.004269071634251809,0.0015832263499971782,-0.0009682718979176034,0.005444337835562084,0.0015832263499971782,0.0013280292860282695,share,19,False,-0.3601668339176776,12,25.50977797376653
enc2_mlp,RMSE T850,24,0.619096964597702,0.6180361161629359,-0.0010608484347661336,-0.0013055569181839625,-0.0008367418001095455,-0.1713541650871262,-0.06354834319739659,-0.07820719377201128,-0.05012361176051605,0.06354834319739659,-0.05330511385492571,share,5,True,0.06589404858672826,12,10.516309225876308
