protected_flop_fraction,int8_flop_fraction,balance,conservation,protected
0.0001,0.9999,10.3756,5.0872,decoder_heads
0.0068,0.9932,4.3452,3.9472,decoder_io|decoder_heads
0.0133,0.9867,2.7395,3.3339,encoder_io|decoder_io|decoder_heads|cond_embed
0.0141,0.9859,3.9641,2.6382,enc0_attn|decoder_io|decoder_heads|cond_embed
0.0266,0.9734,2.3750,1.8822,encoder_io|enc0_attn|downsample|decoder_io|decoder_heads|cond_embed
0.0745,0.9255,0.5225,1.9444,encoder_io|enc0_mlp|enc1_attn|downsample|upsample|decoder_io|decoder_heads|cond_embed
0.0845,0.9155,1.0351,0.7322,encoder_io|enc0_attn|enc1_attn|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
0.0945,0.9055,0.3974,0.6426,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
0.1947,0.8053,0.2603,0.5083,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
0.2282,0.7718,0.3027,0.3538,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
0.5723,0.4277,0.0730,0.1060,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
0.7862,0.2138,0.0077,0.0585,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|downsample|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
1.0000,0.0000,0.0000,0.0000,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|downsample|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
