model,scheme,class,n_metrics,n_within_tol,median_ratio,q1,q3,n_dropped_nonpositive
Aurora,all schemes pooled,balance,4,3,1.1349,1.1231,1.2329,1
Aurora,all schemes pooled,conservation,2,1,1.1596,0.7403,1.1596,1
Aurora,all schemes pooled,RMSE,1,0,1.3330,1.3330,1.3330,0
Stormer,all schemes pooled,balance,3,3,1.0614,1.0486,1.1591,0
Stormer,all schemes pooled,conservation,2,1,1.1552,0.6074,1.1552,1
Stormer,all schemes pooled,RMSE,1,1,1.1032,1.1032,1.1032,0
Aurora,W8,balance,3,2,0.9231,0.5877,0.9886,0
Aurora,W8,conservation,2,1,1.1365,0.7403,1.1365,0
Aurora,W8,RMSE,1,0,2.3783,2.3783,2.3783,0
Aurora,W8A8,balance,4,2,1.1526,1.0499,1.2329,0
Aurora,W8A8,conservation,2,1,1.1284,0.4209,1.1284,0
Aurora,W8A8,RMSE,1,0,1.6055,1.6055,1.6055,0
Aurora,W8A8_sq,balance,3,2,1.1349,1.0695,1.4532,1
Aurora,W8A8_sq,conservation,2,1,1.5135,0.9685,1.5135,0
Aurora,W8A8_sq,RMSE,1,0,1.3330,1.3330,1.3330,0
Aurora,W4,balance,4,3,1.1981,1.1231,1.3067,0
Aurora,W4,conservation,1,0,1.3202,1.3202,1.3202,1
Aurora,W4,RMSE,1,0,1.2609,1.2609,1.2609,0
Stormer,W8,balance,3,3,1.0869,1.0778,1.1591,0
Stormer,W8,conservation,2,1,1.1968,0.6074,1.1968,0
Stormer,W8,RMSE,1,0,1.3580,1.3580,1.3580,0
Stormer,W8A8,balance,3,2,1.0525,1.0119,1.2193,0
Stormer,W8A8,conservation,1,1,1.1552,1.1552,1.1552,1
Stormer,W8A8,RMSE,1,0,1.4619,1.4619,1.4619,0
Stormer,W4,balance,3,3,1.0820,1.0626,1.1223,0
Stormer,W4,conservation,1,0,1.2084,1.2084,1.2084,0
Stormer,W4,RMSE,1,1,1.0463,1.0463,1.0463,0
