model,scheme,class,n_metrics,n_within_tol,median_ratio,q1,q3,n_dropped_nonpositive
Aurora,W8,physics,10,8,0.9102,0.8489,0.9260,0
Aurora,W8,RMSE,5,1,2.3783,2.2582,2.5367,0
Aurora,W8A8,physics,10,8,1.1315,1.0984,1.1554,0
Aurora,W8A8,RMSE,6,2,1.6055,1.0834,1.6330,0
Aurora,W8A8_sq,physics,10,7,1.1402,1.1120,1.2109,0
Aurora,W8A8_sq,RMSE,6,1,1.3330,1.2701,1.5288,0
Aurora,W4,physics,9,3,1.2589,1.1895,1.3202,1
Aurora,W4,RMSE,6,0,1.2609,1.2365,1.6475,0
Stormer,W8,physics,10,9,1.0869,0.9722,1.1051,0
Stormer,W8,RMSE,1,0,1.3580,1.3580,1.3580,0
Stormer,W8A8,physics,9,8,1.0525,1.0226,1.0957,1
Stormer,W8A8,RMSE,1,0,1.4619,1.4619,1.4619,0
Stormer,W4,physics,9,7,1.0626,1.0443,1.1233,0
Stormer,W4,RMSE,6,6,1.0463,1.0133,1.1032,0
