model,scheme,class,n_metrics,n_within_tol,median_ratio,q1,q3,n_dropped_nonpositive
Aurora,W8,physics,13,11,0.9102,0.8752,0.9393,0
Aurora,W8,RMSE,5,1,2.3783,2.2582,2.5367,0
Aurora,W8A8,physics,14,11,1.1227,1.0444,1.1526,0
Aurora,W8A8,RMSE,6,2,1.6055,1.0834,1.6330,0
Aurora,W8A8_sq,physics,13,10,1.1349,1.1100,1.1747,1
Aurora,W8A8_sq,RMSE,6,1,1.3330,1.2701,1.5288,0
Aurora,W4,physics,13,6,1.2099,1.1596,1.3202,1
Aurora,W4,RMSE,6,0,1.2609,1.2365,1.6475,0
Stormer,W8,physics,12,11,1.0778,0.9734,1.1051,0
Stormer,W8,RMSE,1,0,1.3580,1.3580,1.3580,0
Stormer,W8A8,physics,12,11,1.0335,1.0119,1.0957,1
Stormer,W8A8,RMSE,1,0,1.4619,1.4619,1.4619,0
Stormer,W4,physics,12,10,1.0820,1.0443,1.1705,0
Stormer,W4,RMSE,6,6,1.0463,1.0133,1.1032,0
