cost,balance,conservation,protected
1.25529e+09,6.9666,5.38887,
1.25544e+09,1.63551,4.14578,decoder_heads
1.25832e+09,1.2562,3.88206,decoder_heads|cond_embed
1.26671e+09,0.933353,2.72081,decoder_io|decoder_heads|cond_embed
1.27012e+09,1.27698,2.14245,enc0_attn|decoder_io|decoder_heads
1.273e+09,0.897674,1.87874,enc0_attn|decoder_io|decoder_heads|cond_embed
1.27851e+09,0.544693,2.52257,upsample|decoder_io|decoder_heads|cond_embed
1.2848e+09,0.49517,2.26795,dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.29109e+09,0.459491,1.42588,enc0_attn|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.29502e+09,0.79602,0.979382,encoder_io|enc0_attn|downsample|dec2_attn|decoder_io|decoder_heads|cond_embed
1.29633e+09,0.433727,1.20854,encoder_io|enc0_attn|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.30682e+09,0.40736,0.781141,encoder_io|enc0_attn|downsample|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.30892e+09,0.397552,1.19763,encoder_io|enc0_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.3194e+09,0.391905,0.574716,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.3194e+09,0.371185,0.770229,encoder_io|enc0_attn|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.36135e+09,0.3567,0.42649,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.36135e+09,0.309398,0.744767,encoder_io|enc0_attn|downsample|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.37393e+09,0.320525,0.415578,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.37393e+09,0.293943,0.538342,encoder_io|enc0_attn|enc0_mlp|downsample|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.41587e+09,0.258737,0.390116,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.44523e+09,0.304634,0.2137,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.45782e+09,0.268459,0.202788,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.49976e+09,0.206672,0.177325,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
