cost,balance,conservation,protected
1.25529e+09,6.9666,5.38887,
1.25544e+09,1.63551,4.14578,decoder_heads
1.26357e+09,1.23044,3.66472,encoder_io|decoder_heads|cond_embed
1.26986e+09,1.19476,2.82266,encoder_io|enc0_attn|decoder_heads|cond_embed
1.27825e+09,0.87191,1.6614,encoder_io|enc0_attn|decoder_io|decoder_heads|cond_embed
1.28873e+09,0.845544,1.234,encoder_io|enc0_attn|downsample|decoder_io|decoder_heads|cond_embed
1.30761e+09,0.780565,0.772957,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|decoder_io|decoder_heads|cond_embed
1.3194e+09,0.391905,0.574716,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed
1.33199e+09,0.35573,0.563804,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.41587e+09,0.303664,0.351013,encoder_io|enc0_attn|enc0_mlp|enc1_mlp|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.45782e+09,0.268459,0.202788,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.49976e+09,0.206672,0.177325,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed
1.62139e+09,0.17601,0.133676,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
1.70528e+09,0.139379,0.121854,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|downsample|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
1.8395e+09,0.109066,0.0845706,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|downsample|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
1.97371e+09,0.0740173,0.0772957,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|downsample|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
2.24215e+09,0.0367935,0.0245527,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|downsample|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
2.51059e+09,0,0,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|downsample|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed
