cost,balance,conservation,protected,config
6.27646e+08,127.842,39.0043,,
6.2772e+08,41.0255,34.8594,,W8:decoder_heads
6.27868e+08,35.6944,33.6163,decoder_heads,bf16:decoder_heads
6.29309e+08,26.0058,32.135,decoder_heads,bf16:decoder_heads;W8:cond_embed
6.30489e+08,33.524,28.2175,decoder_heads,bf16:decoder_heads;W8:encoder_io
6.33504e+08,10.1252,24.8492,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io
6.34683e+08,17.6434,20.9317,decoder_heads,bf16:decoder_heads;W8:decoder_io|encoder_io
6.36125e+08,7.95482,19.4503,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io|encoder_io
6.42023e+08,3.17054,18.5637,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io|encoder_io|upsample
6.44514e+08,7.95482,11.8963,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_attn|decoder_io|downsample|encoder_io
6.44907e+08,2.79124,18.3,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads;W8:decoder_io|encoder_io|upsample
6.50412e+08,3.17054,11.0096,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_attn|decoder_io|downsample|encoder_io|upsample
6.50805e+08,7.95482,10.6304,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_attn|decoder_io|downsample|enc0_mlp|encoder_io
6.65879e+08,1.80047,15.5319,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads;W8:decoder_io|enc1_attn|encoder_io|upsample
6.71384e+08,2.8477,7.52314,decoder_io|decoder_heads,bf16:decoder_heads|decoder_io;W8:cond_embed|dec2_attn|dec2_mlp|downsample|enc0_mlp|encoder_io|upsample
6.74267e+08,1.47762,14.3706,decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io;W8:enc1_attn|encoder_io|upsample
6.86064e+08,1.08896,14.1724,upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|upsample;W8:enc1_attn|encoder_io
6.88947e+08,1.47762,5.55074,decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io;W8:dec2_attn|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
6.92355e+08,1.85693,4.75505,decoder_io|decoder_heads,bf16:decoder_heads|decoder_io;W8:cond_embed|dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
6.95239e+08,1.47762,4.49133,decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io;W8:dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
7.04676e+08,1.47762,3.77203,enc0_attn|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|enc0_attn;W8:dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
7.16472e+08,1.08896,3.57379,enc0_attn|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|enc0_attn|upsample;W8:dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|encoder_io
7.28007e+08,0,14.1006,upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|upsample;W8:enc1_attn|enc1_mlp|encoder_io
7.38492e+08,1.08896,2.67443,encoder_io|enc0_attn|downsample|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|encoder_io|upsample;W8:dec2_mlp|enc0_mlp|enc1_attn
7.47667e+08,1.53941,2.13518,encoder_io|enc0_attn|downsample|dec2_attn|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|encoder_io;W8:dec1_attn|dec2_mlp|enc0_mlp|enc1_attn|upsample
