cost,balance,conservation,protected,config
0,10.6235,5.30248,,
2.57055e-06,10.6235,5.21882,film,bf16:film
0.00154814,6.5853,5.21973,decoder_heads,bf16:decoder_heads
0.00155072,6.5853,5.13607,decoder_heads|film,bf16:decoder_heads|film
0.00226651,6.26558,5.15699,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads
0.00226908,6.26558,5.07333,decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|film
0.0252419,5.12851,2.92541,encoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|encoder_io
0.0252444,5.12851,2.84175,encoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|encoder_io|film
0.0294401,9.07877,2.36343,encoder_io|downsample|film|cond_embed,bf16:cond_embed|downsample|encoder_io|film
0.0309883,5.04052,2.28068,encoder_io|downsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|encoder_io|film
0.0338576,4.75959,2.75264,encoder_io|upsample|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|encoder_io|upsample
0.0396041,4.6716,2.1079,encoder_io|downsample|upsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|encoder_io|film|upsample
0.154478,0.678397,1.60775,encoder_io|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|encoder_io|upsample
0.160222,0.590407,1.04667,encoder_io|downsample|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|upsample
0.160225,0.590407,0.963013,encoder_io|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
0.229151,0.50317,0.520155,encoder_io|downsample|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
0.32105,0.148689,0.786597,encoder_io|enc0_mlp|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|encoder_io|upsample
0.321052,0.247125,0.288267,encoder_io|downsample|dec0_mlp|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
