k,cost,balance,conservation,protected,config
0,0,10.6235,5.30248,,
1,0.000718363,10.3038,5.23974,cond_embed,bf16:cond_embed
2,0.00226651,6.26558,5.15699,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads
5,0.151606,0.959329,1.21945,encoder_io|downsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io
6,0.160222,0.590407,1.04667,encoder_io|downsample|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|upsample
7,0.252124,0.334361,0.814787,encoder_io|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|encoder_io|upsample
8,0.286587,0.334361,0.787507,encoder_io|enc0_attn|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_attn|encoder_io|upsample
9,0.378488,0.272908,0.763863,encoder_io|enc0_attn|enc2_mlp|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc2_mlp|encoder_io|upsample
11,0.51634,0,0.292814,encoder_io|enc0_attn|enc0_mlp|enc2_mlp|downsample|dec0_mlp|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_mlp|encoder_io|upsample
13,0.608242,0,0.292814,encoder_io|enc0_attn|enc0_mlp|enc2_mlp|downsample|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_mlp|encoder_io|upsample
14,0.723119,0,0.2137,encoder_io|enc0_attn|enc0_mlp|enc1_mlp|enc2_mlp|downsample|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_mlp|enc2_mlp|encoder_io|upsample
16,0.895434,0,0.0836612,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|downsample|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|upsample
18,0.999997,0,0.0836612,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|downsample|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|upsample
19,1,0,0,encoder_io|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|downsample|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
