cost,balance,conservation,protected,config
6.27646e+08,129.741,39.0652,,
6.2772e+08,42.9249,34.9204,,W8:decoder_heads
6.27868e+08,37.5938,33.6773,decoder_heads,bf16:decoder_heads
6.29309e+08,27.9052,32.1959,decoder_heads,bf16:decoder_heads;W8:cond_embed
6.30489e+08,35.4492,28.2784,decoder_heads,bf16:decoder_heads;W8:encoder_io
6.33504e+08,12.0246,24.9101,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io
6.34683e+08,19.5686,20.9926,decoder_heads,bf16:decoder_heads;W8:decoder_io|encoder_io
6.36125e+08,9.88001,19.5113,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io|encoder_io
6.39271e+08,9.70374,16.5449,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_attn|decoder_io|encoder_io
6.42023e+08,5.09573,18.6246,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io|encoder_io|upsample
6.44514e+08,9.29658,11.9572,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_attn|decoder_io|downsample|encoder_io
6.44907e+08,4.71642,18.3609,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads;W8:decoder_io|encoder_io|upsample
6.5015e+08,4.30927,13.7732,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads;W8:decoder_io|downsample|encoder_io|upsample
6.50412e+08,4.5123,11.0706,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_attn|decoder_io|downsample|encoder_io|upsample
6.50805e+08,9.14634,10.6914,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_attn|decoder_io|downsample|enc0_mlp|encoder_io
6.74267e+08,3.17744,8.03875,decoder_heads|cond_embed,bf16:cond_embed|decoder_heads;W8:dec2_attn|decoder_io|downsample|enc1_attn|encoder_io|upsample
6.85801e+08,2.74055,7.00026,decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io;W8:dec2_attn|downsample|enc0_attn|enc1_attn|encoder_io|upsample
6.92355e+08,3.01556,4.82689,decoder_io|decoder_heads,bf16:decoder_heads|decoder_io;W8:cond_embed|dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
6.95239e+08,2.63625,4.56317,decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io;W8:dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
6.97598e+08,2.35189,6.80202,upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|upsample;W8:dec2_attn|downsample|enc0_attn|enc1_attn|encoder_io
7.04676e+08,2.48653,3.84387,enc0_attn|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|enc0_attn;W8:dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|encoder_io|upsample
7.28007e+08,2.02258,3.17367,encoder_io|enc0_attn|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|enc0_attn|encoder_io|upsample;W8:dec2_mlp|downsample|enc0_mlp|enc1_attn
7.45832e+08,1.16474,5.46435,upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|upsample;W8:dec2_attn|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io
7.47667e+08,2.31442,2.20702,encoder_io|enc0_attn|downsample|dec2_attn|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|encoder_io;W8:dec1_attn|dec2_mlp|enc0_mlp|enc1_attn|upsample
7.52124e+08,1.09665,4.41586,upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|upsample;W8:dec2_attn|dec2_mlp|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io
