cost,balance,conservation,protected,config
0,16.8791,6.12546,,
2.57055e-06,16.8451,6.0618,film,bf16:film
0.00155072,10.3417,4.98875,decoder_heads|film,bf16:decoder_heads|film
0.00226908,9.98839,4.61683,decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|film
0.00801292,9.65167,4.10031,downsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|film
0.0309883,8.3992,3.8666,encoder_io|downsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|encoder_io|film
0.042476,9.62386,3.17003,enc0_attn|downsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|enc0_attn|film
0.0510917,9.21507,3.05363,enc0_attn|downsample|upsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|enc0_attn|film|upsample
0.10853,8.3813,2.39071,enc0_attn|enc1_attn|downsample|upsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|enc0_attn|enc1_attn|film|upsample
0.160225,1.96005,2.61532,encoder_io|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
0.217663,1.12628,1.9524,encoder_io|enc1_attn|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc1_attn|encoder_io|film|upsample
0.252126,1.09847,1.02212,encoder_io|enc0_attn|enc1_attn|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
0.286589,0.48854,1.86055,encoder_io|enc0_mlp|enc1_attn|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.286589,1.06187,0.792053,encoder_io|enc0_attn|enc1_attn|downsample|dec2_attn|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
0.321052,0.460728,0.930276,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.355515,0.424131,0.700208,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec2_attn|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.355515,1.00119,0.652921,encoder_io|enc0_attn|enc1_attn|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
0.378491,0.34928,1.70778,encoder_io|enc0_mlp|enc1_attn|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.470392,0.256147,1.45862,encoder_io|enc0_mlp|enc1_attn|downsample|dec0_mlp|dec1_attn|dec2_attn|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec1_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.516343,0.224189,0.408303,encoder_io|enc0_attn|enc0_mlp|enc1_attn|downsample|dec0_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
0.562294,0.84787,0.32737,encoder_io|enc0_attn|enc1_attn|downsample|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
