cost,balance,conservation,protected,config
0,10.7211,5.3425,,
2.57055e-06,10.7117,5.25883,film,bf16:film
0.00155072,6.67342,5.17608,decoder_heads|film,bf16:decoder_heads|film
0.00226908,6.3537,5.11334,decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|film
0.0252444,5.21663,2.88177,encoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|encoder_io|film
0.0287218,9.48661,2.46619,encoder_io|downsample|film,bf16:downsample|encoder_io|film
0.0294401,9.16689,2.40344,encoder_io|downsample|film|cond_embed,bf16:cond_embed|downsample|encoder_io|film
0.0309883,5.12864,2.32069,encoder_io|downsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|encoder_io|film
0.0338602,4.84771,2.70899,encoder_io|upsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|encoder_io|film|upsample
0.0396041,4.75972,2.14791,encoder_io|downsample|upsample|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|downsample|encoder_io|film|upsample
0.154481,0.766519,1.5641,encoder_io|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|encoder_io|film|upsample
0.160225,0.678529,1.00303,encoder_io|downsample|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
0.229151,0.591292,0.560166,encoder_io|downsample|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
0.321052,0.335247,0.328279,encoder_io|downsample|dec0_mlp|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
0.321052,0.236811,0.742948,encoder_io|enc0_mlp|downsample|dec0_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|encoder_io|film|upsample
0.389978,0.149575,0.300089,encoder_io|enc0_mlp|downsample|dec0_mlp|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|encoder_io|film|upsample
0.470392,0.292477,0.202788,encoder_io|enc0_attn|downsample|dec0_mlp|dec1_mlp|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|encoder_io|film|upsample
0.48188,0.0881222,0.276446,encoder_io|enc0_mlp|enc2_mlp|downsample|dec0_mlp|dec2_mlp|upsample|decoder_io|decoder_heads|film|cond_embed,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film|upsample
