cost,balance,conservation,protected,config
6.27646e+08,129.741,39.0652,,
6.2772e+08,42.9249,34.9204,,W8:decoder_heads
6.30342e+08,40.7803,29.5215,,W8:decoder_heads|encoder_io
6.30489e+08,35.4492,28.2784,decoder_heads,bf16:decoder_heads;W8:encoder_io
6.34683e+08,19.5686,20.9926,decoder_heads,bf16:decoder_heads;W8:decoder_io|encoder_io
6.39926e+08,19.1614,16.4049,decoder_heads,bf16:decoder_heads;W8:decoder_io|downsample|encoder_io
6.41368e+08,9.47285,14.9235,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io|downsample|encoder_io
6.44514e+08,9.35881,15.0463,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io|downsample|enc0_attn|encoder_io
6.65485e+08,8.40325,12.2782,decoder_heads,bf16:decoder_heads;W8:cond_embed|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io
7.19618e+08,2.51398,10.2712,decoder_heads,bf16:decoder_heads;W8:cond_embed|dec2_mlp|decoder_io|downsample|enc0_attn|enc1_attn|enc1_mlp|encoder_io|upsample
7.27745e+08,2.10891,9.79018,encoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|encoder_io;W8:dec2_mlp|decoder_io|downsample|enc0_attn|enc1_attn|enc1_mlp|upsample
7.34036e+08,1.95867,8.52435,encoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|encoder_io;W8:dec2_mlp|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|upsample
7.43473e+08,1.74672,4.71595,encoder_io|enc0_attn|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|enc0_attn|encoder_io;W8:dec2_attn|dec2_mlp|decoder_io|downsample|enc0_mlp|enc1_attn|enc1_mlp|upsample
7.51862e+08,1.42387,3.55469,encoder_io|enc0_attn|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|enc0_attn|encoder_io;W8:dec2_attn|dec2_mlp|downsample|enc0_mlp|enc1_attn|enc1_mlp|upsample
7.83319e+08,1.32705,2.3898,encoder_io|enc0_attn|downsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|encoder_io;W8:dec1_attn|dec2_attn|dec2_mlp|enc0_mlp|enc1_attn|enc1_mlp|upsample
8.44136e+08,1.14757,1.37859,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io;W8:dec1_attn|dec1_mlp|dec2_mlp|enc1_attn|enc1_mlp|upsample
8.55933e+08,0.758907,1.18035,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io|upsample;W8:dec1_attn|dec1_mlp|dec2_mlp|enc1_attn|enc1_mlp
8.68516e+08,0.722732,1.16944,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io|upsample;W8:dec1_attn|dec1_mlp|enc1_attn|enc1_mlp
9.35625e+08,0.562129,0.733854,encoder_io|enc0_attn|enc0_mlp|downsample|dec2_attn|dec2_mlp|upsample|decoder_io|decoder_heads|cond_embed,bf16:cond_embed|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io|upsample;W8:dec0_attn|dec1_attn|dec1_mlp|enc1_attn|enc1_mlp
