seed,k,cost,config
0,0,0,
0,1,0.0689261,bf16:enc0_mlp
0,2,0.126365,bf16:dec1_attn|enc0_mlp
0,3,0.183803,bf16:dec1_attn|enc0_mlp|enc1_attn
0,4,0.192419,bf16:dec1_attn|enc0_mlp|enc1_attn|upsample
0,5,0.215394,bf16:dec1_attn|enc0_mlp|enc1_attn|encoder_io|upsample
0,6,0.249857,bf16:dec1_attn|dec2_attn|enc0_mlp|enc1_attn|encoder_io|upsample
0,7,0.364734,bf16:dec1_attn|dec2_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample
0,8,0.365452,bf16:cond_embed|dec1_attn|dec2_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample
0,9,0.371196,bf16:cond_embed|dec1_attn|dec2_attn|downsample|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample
0,10,0.423478,bf16:cond_embed|dec1_attn|dec2_attn|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|upsample
0,11,0.42348,bf16:cond_embed|dec1_attn|dec2_attn|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample
0,12,0.425029,bf16:cond_embed|dec1_attn|dec2_attn|decoder_heads|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample
0,13,0.47731,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|decoder_heads|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample
0,14,0.592187,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample
0,15,0.684089,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
0,16,0.753015,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
0,17,0.844916,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|downsample|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
0,18,0.879379,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
0,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
1,0,0,
1,1,0.0344631,bf16:enc0_attn
1,2,0.0919015,bf16:dec1_attn|enc0_attn
1,3,0.0926198,bf16:cond_embed|dec1_attn|enc0_attn
1,4,0.094168,bf16:cond_embed|dec1_attn|decoder_heads|enc0_attn
1,5,0.0999118,bf16:cond_embed|dec1_attn|decoder_heads|downsample|enc0_attn
1,6,0.214789,bf16:cond_embed|dec1_attn|dec1_mlp|decoder_heads|downsample|enc0_attn
1,7,0.249252,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|downsample|enc0_attn
1,8,0.249254,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|downsample|enc0_attn|film
1,9,0.369875,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|film
1,10,0.438801,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|film
1,11,0.49624,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|film
1,12,0.611116,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|film
1,13,0.663398,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|film
1,14,0.71568,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|film
1,15,0.738655,bf16:cond_embed|dec0_attn|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film
1,16,0.830557,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film
1,17,0.839172,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample
1,18,0.908099,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample
1,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
2,0,0,
2,1,0.0919015,bf16:enc2_mlp
2,2,0.091904,bf16:enc2_mlp|film
2,3,0.0976479,bf16:downsample|enc2_mlp|film
2,4,0.155086,bf16:dec1_attn|downsample|enc2_mlp|film
2,5,0.224012,bf16:dec1_attn|downsample|enc0_mlp|enc2_mlp|film
2,6,0.338889,bf16:dec1_attn|dec1_mlp|downsample|enc0_mlp|enc2_mlp|film
2,7,0.361865,bf16:dec1_attn|dec1_mlp|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,8,0.363413,bf16:dec1_attn|dec1_mlp|decoder_heads|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,9,0.364131,bf16:cond_embed|dec1_attn|dec1_mlp|decoder_heads|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,10,0.484752,bf16:cond_embed|dec1_attn|dec1_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,11,0.576653,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,12,0.611116,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film
2,13,0.663398,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_attn|enc2_mlp|encoder_io|film
2,14,0.732324,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_attn|enc2_mlp|encoder_io|film
2,15,0.74094,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
