tag,floor,guide,cost,balance,conservation,config
W8A8_floor,W8A8,uniform,0,16.8791,6.12546,
ceiling,bf16,uniform,1,0,0,
W8A8_knee,W8A8,physics,0.00155072,10.3417,4.98875,bf16:decoder_heads|film
W8A8_span1,W8A8,physics,0.252126,1.09847,1.02212,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
W8A8_span2,W8A8,physics,0.516343,0.224189,0.408303,bf16:cond_embed|dec0_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample
W8A8_span3,W8A8,physics,0.746097,0.129552,0.120945,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_rmse_knee,W8A8,rmse,0.000720933,16.4918,5.68987,bf16:cond_embed|film
W8A8_rmse_span1,W8A8,rmse,0.211919,7.07607,2.9727,bf16:cond_embed|decoder_heads|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_rmse_span2,W8A8,rmse,0.527831,0.240891,0.662924,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_rmse_span3,W8A8,rmse,0.832841,0.0429842,0.204606,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample
W8A8_probe_divergent,W8A8,probe,,,,bf16:dec2_attn|upsample
W8A8_probe_rmse_favoured,W8A8,probe,,,,bf16:encoder_io|film
W8A8_rand_0,W8A8,random,0.51693,,,bf16:cond_embed|dec0_mlp|dec1_attn|dec2_attn|decoder_heads|downsample|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|film|upsample
W8A8_rand_1,W8A8,random,0.519799,,,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc1_attn|enc2_mlp
W8A8_rand_2,W8A8,random,0.511773,,,bf16:cond_embed|dec0_attn|dec0_mlp|dec2_attn|decoder_heads|downsample|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|film|upsample
W8A8_rand_3,W8A8,random,0.506635,,,bf16:dec0_attn|dec0_mlp|dec1_attn|dec2_mlp|decoder_io|downsample|enc0_attn|enc2_attn|encoder_io|film
W8A8_sq_floor,W8A8_sq,uniform,0,10.7211,5.3425,
W8A8_sq_knee,W8A8_sq,physics,0.00155072,6.67342,5.17608,bf16:decoder_heads|film
W8A8_sq_span1,W8A8_sq,physics,0.229151,0.591292,0.560166,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
W8A8_sq_span2,W8A8_sq,physics,0.48188,0.0881222,0.276446,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc2_mlp|encoder_io|film|upsample
W8A8_sq_span3,W8A8_sq,physics,0.746097,0.0751851,0.04274,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_sq_rmse_knee,W8A8_sq,rmse,0.00226908,6.3537,5.11334,bf16:cond_embed|decoder_heads|film
W8A8_sq_rmse_span1,W8A8_sq,rmse,0.252126,0.422483,0.771138,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|encoder_io|film|upsample
W8A8_sq_rmse_span2,W8A8_sq,rmse,0.516343,0.0776771,0.249165,bf16:cond_embed|dec0_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc2_mlp|encoder_io|film|upsample
W8A8_sq_rmse_span3,W8A8_sq,rmse,0.723121,0.0441039,0.148226,bf16:cond_embed|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_mlp|enc2_mlp|encoder_io|film|upsample
W4W8_floor,W4,uniform,6.27646e+08,129.741,39.0652,
W4W8_knee,W4,physics,6.2772e+08,42.9249,34.9204,W8:decoder_heads
W4W8_span1,W4,physics,1.10969e+09,0.515945,0.311001,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample;W8:dec0_attn|dec1_attn|dec1_mlp|dec2_mlp|film
W4W8_span2,W4,physics,1.55428e+09,0.211742,0.0963923,bf16:cond_embed|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample;W8:dec0_attn|dec0_mlp|dec1_mlp|enc2_mlp
W4W8_span3,W4,physics,2.10793e+09,0.0718427,0.0318276,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample;W8:dec0_attn|enc2_mlp
W4W8_rmse_span1,W4,rmse,1.1034e+09,0.41307,0.347376,bf16:cond_embed|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample;W8:dec0_attn|dec1_mlp
W4W8_rmse_span2,W4,rmse,1.45572e+09,0.20086,0.200969,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample;W8:dec0_attn|dec0_mlp|enc2_mlp
W4W8_rmse_span3,W4,rmse,2.0597e+09,0.0625431,0.140951,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|upsample;W8:enc2_mlp
