tag,floor,guide,cost,balance,conservation,config
W8A8_floor,W8A8,uniform,0,16.5764,6.11454,
ceiling,bf16,uniform,1,0,0,
W8A8_knee,W8A8,physics,0.00154814,10.073,5.0415,bf16:decoder_heads
W8A8_span1,W8A8,physics,0.252126,0.857578,1.01121,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample
W8A8_span2,W8A8,physics,0.493365,0,1.64594,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample
W8A8_span3,W8A8,physics,0.746097,0,0.110033,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_rmse_knee,W8A8,rmse,0.000720933,16.2231,5.67896,bf16:cond_embed|film
W8A8_rmse_span1,W8A8,rmse,0.211919,6.80737,2.96179,bf16:cond_embed|decoder_heads|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_rmse_span2,W8A8,rmse,0.435929,0.13926,0.804785,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_rmse_span3,W8A8,rmse,0.654195,0,0.362835,bf16:cond_embed|dec0_mlp|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample
W8A8_rmseup_knee,W8A8,rmse,0.00801292,9.38297,4.0894,bf16:cond_embed|decoder_heads|downsample|film
W8A8_rmseup_span1,W8A8,rmse,0.315308,6.16963,1.93967,bf16:cond_embed|decoder_heads|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample
W8A8_rmseup_span2,W8A8,rmse,0.527831,0,0.652012,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample
