tag,floor,guide,lead,balance,conservation
W8A8_floor,W8A8,uniform,24,12.041,0.984639
W8A8_floor,W8A8,uniform,72,13.2676,7.40628
W8A8_floor,W8A8,uniform,120,9.9902,3.3307
W8A8_floor,W8A8,uniform,168,14.8073,1.38608
ceiling,bf16,uniform,24,0.0308649,0.030142
ceiling,bf16,uniform,72,0.041309,0.0267375
ceiling,bf16,uniform,120,0.0392656,0.00337685
ceiling,bf16,uniform,168,0.0750673,0.00049117
W8A8_knee,W8A8,physics,24,6.70156,1.73484
W8A8_knee,W8A8,physics,72,7.6624,6.63683
W8A8_knee,W8A8,physics,120,5.75367,3.32732
W8A8_knee,W8A8,physics,168,8.57616,1.63461
W8A8_span1,W8A8,physics,24,0.483903,0.539207
W8A8_span1,W8A8,physics,72,0.787953,0.240637
W8A8_span1,W8A8,physics,120,0.608385,0.168843
W8A8_span1,W8A8,physics,168,1.06332,0.0476435
W8A8_span2,W8A8,physics,24,0.276153,0.743503
W8A8_span2,W8A8,physics,72,0.142662,0.184191
W8A8_span2,W8A8,physics,120,0.10223,0.0787932
W8A8_span2,W8A8,physics,168,0.238538,0.066308
W8A8_span3,W8A8,physics,24,0.0217461,0.0368402
W8A8_span3,W8A8,physics,72,0.0309637,0.0475333
W8A8_span3,W8A8,physics,120,0.0275266,0.00450247
W8A8_span3,W8A8,physics,168,0.046887,0.0166998
W8A8_rmse_knee,W8A8,rmse,24,11.8893,0.666473
W8A8_rmse_knee,W8A8,rmse,72,12.9953,7.47758
W8A8_rmse_knee,W8A8,rmse,120,9.76641,2.98851
W8A8_rmse_knee,W8A8,rmse,168,14.5569,1.18912
W8A8_rmse_span1,W8A8,rmse,24,6.27672,1.5004
W8A8_rmse_span1,W8A8,rmse,72,6.9568,4.92564
W8A8_rmse_span1,W8A8,rmse,120,5.24617,2.55403
W8A8_rmse_span1,W8A8,rmse,168,7.47472,1.27901
W8A8_rmse_span2,W8A8,rmse,24,0.0647321,0.298071
W8A8_rmse_span2,W8A8,rmse,72,0.0853702,0.561487
W8A8_rmse_span2,W8A8,rmse,120,0.0719129,0.248761
W8A8_rmse_span2,W8A8,rmse,168,0.0586544,0.0736755
W8A8_rmse_span3,W8A8,rmse,24,0.0129268,0.234438
W8A8_rmse_span3,W8A8,rmse,72,0.0135081,0.460479
W8A8_rmse_span3,W8A8,rmse,120,0.011962,0.20036
W8A8_rmse_span3,W8A8,rmse,168,0.0220789,0.0854636
W8A8_probe_divergent,W8A8,probe,24,11.9002,1.06502
W8A8_probe_divergent,W8A8,probe,72,13.0833,7.2102
W8A8_probe_divergent,W8A8,probe,120,9.83065,3.29018
W8A8_probe_divergent,W8A8,probe,168,14.6144,1.40426
W8A8_probe_rmse_favoured,W8A8,probe,24,11.3921,1.34634
W8A8_probe_rmse_favoured,W8A8,probe,72,12.5186,7.21317
W8A8_probe_rmse_favoured,W8A8,probe,120,9.44204,3.10108
W8A8_probe_rmse_favoured,W8A8,probe,168,14.0216,1.42096
W8A8_rand_0,W8A8,random,24,6.99917,1.47696
W8A8_rand_0,W8A8,random,72,7.76076,5.70993
W8A8_rand_0,W8A8,random,120,5.80626,2.8782
W8A8_rand_0,W8A8,random,168,8.32501,1.35956
W8A8_rand_1,W8A8,random,24,1.93846,0.900911
W8A8_rand_1,W8A8,random,72,2.57772,1.48244
W8A8_rand_1,W8A8,random,120,1.9599,0.542548
W8A8_rand_1,W8A8,random,168,2.95733,0.315822
W8A8_rand_2,W8A8,random,24,6.98382,1.5272
W8A8_rand_2,W8A8,random,72,7.73434,5.6624
W8A8_rand_2,W8A8,random,120,5.79006,2.91647
W8A8_rand_2,W8A8,random,168,8.28536,1.41457
W8A8_rand_3,W8A8,random,24,6.58077,1.11191
W8A8_rand_3,W8A8,random,72,7.22729,0.329762
W8A8_rand_3,W8A8,random,120,5.46715,0.751912
W8A8_rand_3,W8A8,random,168,8.35064,0.626733
W4W8_floor,W4,uniform,24,87.5447,0.0703314
W4W8_floor,W4,uniform,72,94.7131,1.33984
W4W8_floor,W4,uniform,120,69.7499,1.84264
W4W8_floor,W4,uniform,168,99.8998,0.426827
W4W8_knee,W4,physics,24,26.3742,1.31955
W4W8_knee,W4,physics,72,30.8495,6.97254
W4W8_knee,W4,physics,120,23.619,2.01598
W4W8_knee,W4,physics,168,33.1547,0.131634
W4W8_span1,W4,physics,24,0.0946502,0.0636331
W4W8_span1,W4,physics,72,0.220929,0.112892
