tag,floor,guide,predicted_cost,balance,conservation,config,model_size_gb,latency_s_per_step,vram_peak_gb,vram_reserved_gb,n_inits
W8A8_floor,W8A8,uniform,0,9.98736,3.32462,,1.26305,2.61527,19.5878,45.353,12
ceiling,bf16,uniform,1,0.0364187,0,,5.02552,3.45858,21.608,40.5442,12
W8A8_knee,W8A8,physics,0.00155072,5.75083,3.32125,bf16:decoder_heads|film,1.62738,2.2958,19.9521,30.1067,12
W8A8_span1,W8A8,physics,0.252126,0.605538,0.162764,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample,1.88813,3.65983,18.472,28.3724,12
W8A8_span2,W8A8,physics,0.516343,0.0993828,0.0727149,bf16:cond_embed|dec0_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample,2.78727,3.56012,19.3778,28.4353,12
W8A8_span3,W8A8,physics,0.746097,0.0246797,0,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample,3.29015,3.5322,19.8761,28.9386,12
W8A8_rmse_knee,W8A8,rmse,0.000720933,9.76356,2.98244,bf16:cond_embed|film,1.63557,2.62667,19.9657,28.9805,12
W8A8_rmse_span1,W8A8,rmse,0.211919,5.24332,2.54795,bf16:cond_embed|decoder_heads|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample,2.09562,2.56667,21.5708,30.1717,12
W8A8_rmse_span2,W8A8,rmse,0.527831,0.069066,0.242683,bf16:cond_embed|dec0_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample,2.98221,3.61836,19.5722,30.1717,12
W8A8_rmse_span3,W8A8,rmse,0.832841,0.00948026,0.194282,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample,4.3717,3.49276,20.9538,29.6768,12
W8A8_probe_divergent,W8A8,probe,,9.82781,3.2841,bf16:dec2_attn|upsample,1.31722,2.56243,19.643,29.7796,12
W8A8_probe_rmse_favoured,W8A8,probe,,9.43919,3.095,bf16:encoder_io|film,1.64264,3.01318,19.9711,29.3727,12
W8A8_rand_0,W8A8,random,0.51693,5.80342,2.87212,bf16:cond_embed|dec0_mlp|dec1_attn|dec2_attn|decoder_heads|downsample|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|film|upsample,4.23669,2.08808,23.706,30.2367,12
W8A8_rand_1,W8A8,random,0.519799,1.95706,0.536469,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|enc0_attn|enc1_attn|enc2_mlp,2.83122,3.178,19.4143,30.2367,12
W8A8_rand_2,W8A8,random,0.511773,5.78722,2.9104,bf16:cond_embed|dec0_attn|dec0_mlp|dec2_attn|decoder_heads|downsample|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|film|upsample,4.51342,2.11176,23.5703,33.8606,12
W8A8_rand_3,W8A8,random,0.506635,5.4643,0.745834,bf16:dec0_attn|dec0_mlp|dec1_attn|dec2_mlp|decoder_io|downsample|enc0_attn|enc2_attn|encoder_io|film,3.4911,3.96711,20.0841,31.1553,12
W4W8_floor,W4,uniform,6.27646e+08,69.7471,1.83656,,0.789218,3.43452,31.5624,46.282,12
W4W8_knee,W4,physics,6.2772e+08,23.6161,2.0099,W8:decoder_heads,0.789273,3.44691,31.3489,37.5453,12
W4W8_span1,W4,physics,1.10969e+09,0.192668,0.0434488,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample;W8:dec0_attn|dec1_attn|dec1_mlp|dec2_mlp|film,1.58293,3.4122,17.9569,28.5968,12
W4W8_span2,W4,physics,1.55428e+09,0.0690328,0.0457001,bf16:cond_embed|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample;W8:dec0_attn|dec0_mlp|dec1_mlp|enc2_mlp,2.31106,3.45193,18.6852,22.6828,12
W4W8_span3,W4,physics,2.10793e+09,0.0386987,0.0153084,bf16:cond_embed|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|encoder_io|film|upsample;W8:dec0_attn|enc2_mlp,3.81936,3.46016,20.1935,23.335,12
W4W8_rmse_span1,W4,rmse,1.1034e+09,0.15433,0.069338,bf16:cond_embed|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample;W8:dec0_attn|dec1_mlp,1.69736,3.45535,18.0714,22.8862,12
