tag,floor,guide,lead,balance,conservation
W4W8_rmse_span1,W4,rmse,24,0.0395062,1.00808
W4W8_rmse_span1,W4,rmse,72,0.124872,6.6606
W4W8_rmse_span1,W4,rmse,120,0.14503,3.35389
W4W8_rmse_span1,W4,rmse,168,0.144337,1.69012
W4W8_rmseup_span1,W4,rmse,24,0.0386146,1.12195
W4W8_rmseup_span1,W4,rmse,72,0.117871,6.74973
W4W8_rmseup_span1,W4,rmse,120,0.124307,3.38316
W4W8_rmseup_span1,W4,rmse,168,0.113231,1.70534
W4W8_span1,W4,physics,24,0.167546,0.100473
W4W8_span1,W4,physics,72,0.691168,1.63693
W4W8_span1,W4,physics,120,0.667877,1.23323
W4W8_span1,W4,physics,168,0.869325,0.774575
W8A8_knee,W8A8,physics,24,6.71018,1.67456
W8A8_knee,W8A8,physics,72,7.64098,6.74081
W8A8_knee,W8A8,physics,120,5.75177,3.25483
W8A8_knee,W8A8,physics,168,8.65309,1.65426
W8A8_rmseup_knee,W8A8,rmse,24,6.34091,0.840627
W8A8_rmseup_knee,W8A8,rmse,72,7.12879,7.09434
W8A8_rmseup_knee,W8A8,rmse,120,5.35142,3.13665
W8A8_rmseup_knee,W8A8,rmse,168,7.99154,1.335
W8A8_rmseup_span1,W8A8,rmse,24,5.88764,1.68795
W8A8_rmseup_span1,W8A8,rmse,72,6.50691,2.82526
W8A8_rmseup_span1,W8A8,rmse,120,4.88966,1.11729
W8A8_rmseup_span1,W8A8,rmse,168,6.8999,0.570249
W4W8_rmse_span2,W4,rmse,24,0.0425673,1.1454
W4W8_rmse_span2,W4,rmse,72,0.0986321,6.74081
W4W8_rmse_span2,W4,rmse,120,0.115035,3.34714
W4W8_rmse_span2,W4,rmse,168,0.0918247,1.7019
W4W8_span2,W4,physics,24,0.0789949,0.0636331
W4W8_span2,W4,physics,72,0.194255,0.0950666
W4W8_span2,W4,physics,120,0.169058,0.0220621
W4W8_span2,W4,physics,168,0.223247,0.0363466
W4W8_span3,W4,physics,24,0.0420034,0.0502367
W4W8_span3,W4,physics,72,0.0951442,0.103979
W4W8_span3,W4,physics,120,0.0848136,0.0963528
W4W8_span3,W4,physics,168,0.159042,0.0466612
