tag,variant,lead,value,n_eff_min,n_labels
W8A8_floor,dry_only,120,1.7153623188405798,6.866440798294587,1
W8A8_knee,dry_only,120,1.6794202898550723,6.797106942774152,1
W8A8_rmse_knee,dry_only,120,1.5391304347826087,7.889913947390817,1
W8A8_span1,dry_only,120,0.08695652173913043,8.022374518964359,1
W8A8_rmse_span1,dry_only,120,1.3153623188405799,5.72169632669155,1
W8A8_span2,dry_only,120,0.04057971014492753,7.591639931419797,1
W8A8_rmse_span2,dry_only,120,0.12811594202898552,12.206958323495913,1
W8A8_span3,dry_only,120,0.002318840579710145,9.432768691643169,1
W8A8_rmse_span3,dry_only,120,0.10318840579710145,13.05336896579854,1
ceiling,dry_only,120,0.0017391304347826088,4.732272907052679,1
W8A8_floor,dry_and_negq,120,9.69599490164441,2.433399628566514,3
W8A8_knee,dry_and_negq,120,8.421917555762086,2.516864701365251,3
W8A8_rmse_knee,dry_and_negq,120,9.23957434465274,2.4080125828767334,3
W8A8_span1,dry_and_negq,120,0.12611697416633577,3.6195154879611993,3
W8A8_rmse_span1,dry_and_negq,120,6.364833304038918,2.417021422170668,3
W8A8_span2,dry_and_negq,120,0.06127321135164935,7.105985968945331,3
W8A8_rmse_span2,dry_and_negq,120,0.07897841200408086,4.818476870376504,3
W8A8_span3,dry_and_negq,120,0.03786113967256149,8.391705186357852,3
W8A8_rmse_span3,dry_and_negq,120,0.07964646041067835,8.975073019726631,3
ceiling,dry_and_negq,120,0.024347481419725262,4.732272907052679,3
W8A8_floor,multi_family,120,4.616780353951753,2.0219638700471685,17
W8A8_knee,multi_family,120,4.066433638604506,2.3017964550814467,17
W8A8_rmse_knee,multi_family,120,4.62803947907368,2.4080125828767334,17
W8A8_span1,multi_family,120,0.40390209034122726,3.6195154879611993,17
W8A8_rmse_span1,multi_family,120,3.2271867376850842,2.417021422170668,17
W8A8_span2,multi_family,120,0.38600096227025155,4.60173463290843,17
W8A8_rmse_span2,multi_family,120,0.05188217362025038,4.818476870376504,17
W8A8_span3,multi_family,120,0.02727214254915783,4.7160449645360885,17
W8A8_rmse_span3,multi_family,120,0.03678927015654694,3.879911693509527,17
ceiling,multi_family,120,0.01447653522914882,4.732272907052679,17
