tag,floor,guide,lead,balance,conservation
W8A8_floor,W8A8,uniform,24,12.0402,0.98129
W8A8_floor,W8A8,uniform,72,13.2653,7.38845
W8A8_floor,W8A8,uniform,120,9.98736,3.32462
W8A8_floor,W8A8,uniform,168,14.7933,1.38019
ceiling,bf16,uniform,24,0.0300058,0.0267929
ceiling,bf16,uniform,72,0.0390085,0.00891249
ceiling,bf16,uniform,120,0.0364187,0
ceiling,bf16,uniform,168,0.0618449,0
W8A8_knee__superseded,W8A8,physics,24,6.7007,1.73149
W8A8_knee__superseded,W8A8,physics,72,7.6601,6.61901
W8A8_knee__superseded,W8A8,physics,120,5.75083,3.32125
W8A8_knee__superseded,W8A8,physics,168,8.5621,1.62872
W8A8_span1,W8A8,physics,24,0.483043,0.535858
W8A8_span1,W8A8,physics,72,0.785653,0.222812
W8A8_span1,W8A8,physics,120,0.605538,0.162764
W8A8_span1,W8A8,physics,168,1.04925,0.0417495
W8A8_span2,W8A8,physics,24,0.275294,0.740154
W8A8_span2,W8A8,physics,72,0.140361,0.166366
W8A8_span2,W8A8,physics,120,0.0993828,0.0727149
W8A8_span2,W8A8,physics,168,0.224475,0.0604139
W8A8_span3,W8A8,physics,24,0.0208871,0.0334911
W8A8_span3,W8A8,physics,72,0.0286632,0.0297083
W8A8_span3,W8A8,physics,120,0.0246797,0
W8A8_span3,W8A8,physics,168,0.032824,0.0108057
W8A8_rmse_knee,W8A8,rmse,24,11.8885,0.663124
W8A8_rmse_knee,W8A8,rmse,72,12.993,7.45975
W8A8_rmse_knee,W8A8,rmse,120,9.76356,2.98244
W8A8_rmse_knee,W8A8,rmse,168,14.5429,1.18323
W8A8_rmse_span1,W8A8,rmse,24,6.27586,1.49705
W8A8_rmse_span1,W8A8,rmse,72,6.9545,4.90781
W8A8_rmse_span1,W8A8,rmse,120,5.24332,2.54795
W8A8_rmse_span1,W8A8,rmse,168,7.46066,1.27311
W8A8_rmse_span2,W8A8,rmse,24,0.0638731,0.294722
W8A8_rmse_span2,W8A8,rmse,72,0.0830698,0.543662
W8A8_rmse_span2,W8A8,rmse,120,0.069066,0.242683
W8A8_rmse_span2,W8A8,rmse,168,0.0445914,0.0677815
W8A8_rmse_span3,W8A8,rmse,24,0.0120677,0.231089
W8A8_rmse_span3,W8A8,rmse,72,0.011691,0.442654
W8A8_rmse_span3,W8A8,rmse,120,0.00948026,0.194282
W8A8_rmse_span3,W8A8,rmse,168,0.0131507,0.0795696
W8A8_probe_divergent,W8A8,probe,24,11.8993,1.06167
W8A8_probe_divergent,W8A8,probe,72,13.081,7.19238
W8A8_probe_divergent,W8A8,probe,120,9.82781,3.2841
W8A8_probe_divergent,W8A8,probe,168,14.6003,1.39836
W8A8_probe_rmse_favoured,W8A8,probe,24,11.3912,1.34299
W8A8_probe_rmse_favoured,W8A8,probe,72,12.5163,7.19535
W8A8_probe_rmse_favoured,W8A8,probe,120,9.43919,3.095
W8A8_probe_rmse_favoured,W8A8,probe,168,14.0075,1.41506
W8A8_rand_0,W8A8,random,24,6.99831,1.47361
W8A8_rand_0,W8A8,random,72,7.75846,5.69211
W8A8_rand_0,W8A8,random,120,5.80342,2.87212
W8A8_rand_0,W8A8,random,168,8.31094,1.35366
W8A8_rand_1,W8A8,random,24,1.9376,0.897562
W8A8_rand_1,W8A8,random,72,2.57542,1.46462
W8A8_rand_1,W8A8,random,120,1.95706,0.536469
W8A8_rand_1,W8A8,random,168,2.94327,0.309928
W8A8_rand_2,W8A8,random,24,6.98296,1.52385
W8A8_rand_2,W8A8,random,72,7.73204,5.64458
W8A8_rand_2,W8A8,random,120,5.78722,2.9104
W8A8_rand_2,W8A8,random,168,8.2713,1.40868
W8A8_rand_3,W8A8,random,24,6.57991,1.10856
W8A8_rand_3,W8A8,random,72,7.22499,0.311937
W8A8_rand_3,W8A8,random,120,5.4643,0.745834
W8A8_rand_3,W8A8,random,168,8.33657,0.620839
W4W8_floor,W4,uniform,24,87.5438,0.0669823
W4W8_floor,W4,uniform,72,94.7108,1.32202
W4W8_floor,W4,uniform,120,69.7471,1.83656
W4W8_floor,W4,uniform,168,99.8857,0.420933
W4W8_knee,W4,physics,24,26.3734,1.3162
W4W8_knee,W4,physics,72,30.8472,6.95471
W4W8_knee,W4,physics,120,23.6161,2.0099
W4W8_knee,W4,physics,168,33.1407,0.12574
W4W8_span1__superseded,W4,physics,24,0.0937911,0.060284
W4W8_span1__superseded,W4,physics,72,0.218629,0.0950666
W4W8_span1__superseded,W4,physics,120,0.192668,0.0434488
W4W8_span1__superseded,W4,physics,168,0.245041,0.0221027
W4W8_span2__superseded,W4,physics,24,0.0442202,0.0234438
W4W8_span2__superseded,W4,physics,72,0.0778404,0.0623874
W4W8_span2__superseded,W4,physics,120,0.0690328,0.0457001
W4W8_span2__superseded,W4,physics,168,0.105857,0.017191
W4W8_span3__superseded,W4,physics,24,0.0312384,0.00669823
W4W8_span3__superseded,W4,physics,72,0.0421701,0
W4W8_span3__superseded,W4,physics,120,0.0386987,0.0153084
W4W8_span3__superseded,W4,physics,168,0.0685986,0.00638521
W4W8_rmse_span1__superseded,W4,rmse,24,0.0686052,0.060284
W4W8_rmse_span1__superseded,W4,rmse,72,0.177392,0.133687
W4W8_rmse_span1__superseded,W4,rmse,120,0.15433,0.069338
W4W8_rmse_span1__superseded,W4,rmse,168,0.199412,0.0972517
W4W8_rmse_span2__superseded,W4,rmse,24,0.0323786,0.0636331
W4W8_rmse_span2__superseded,W4,rmse,72,0.0579882,0.0861541
W4W8_rmse_span2__superseded,W4,rmse,120,0.0509963,0.0186852
W4W8_rmse_span2__superseded,W4,rmse,168,0.098273,0.0235762
W4W8_rmse_span3,W4,rmse,24,0.0135694,0.174154
W4W8_rmse_span3,W4,rmse,72,0.0183482,0.294112
W4W8_rmse_span3,W4,rmse,120,0.0197847,0.131247
W4W8_rmse_span3,W4,rmse,168,0.0373373,0.0594316
W8A8_sq_floor,W8A8_sq,uniform,24,8.67387,1.5071
W8A8_sq_floor,W8A8_sq,uniform,72,9.6128,5.32373
W8A8_sq_floor,W8A8_sq,uniform,120,7.21178,2.96555
W8A8_sq_floor,W8A8_sq,uniform,168,10.2463,1.44158
W8A8_sq_knee,W8A8_sq,physics,24,5.59801,1.72479
W8A8_sq_knee,W8A8_sq,physics,72,6.33668,5.55248
W8A8_sq_knee,W8A8_sq,physics,120,4.81743,3.01058
W8A8_sq_knee,W8A8_sq,physics,168,6.76742,1.41801
W8A8_sq_span1,W8A8_sq,physics,24,0.362504,0.432036
W8A8_sq_span1,W8A8_sq,physics,72,0.521276,0.974432
W8A8_sq_span1,W8A8_sq,physics,120,0.428176,0.517334
W8A8_sq_span1,W8A8_sq,physics,168,0.568562,0.180751
W8A8_sq_span2,W8A8_sq,physics,24,0.0396599,0.177503
W8A8_sq_span2,W8A8_sq,physics,72,0.0556866,0.427799
W8A8_sq_span2,W8A8_sq,physics,120,0.0359387,0.229176
W8A8_sq_span2,W8A8_sq,physics,168,0.0151736,0.133598
W8A8_sq_span3,W8A8_sq,physics,24,0.0373204,0.0267929
W8A8_sq_span3,W8A8_sq,physics,72,0.0614921,0.0267375
W8A8_sq_span3,W8A8_sq,physics,120,0.050279,0
W8A8_sq_span3,W8A8_sq,physics,168,0.0303562,0.0329084
W8A8_sq_rmse_knee,W8A8_sq,rmse,24,5.43278,1.85206
W8A8_sq_rmse_knee,W8A8_sq,rmse,72,6.06604,5.52871
W8A8_sq_rmse_knee,W8A8_sq,rmse,120,4.55767,2.8316
W8A8_sq_rmse_knee,W8A8_sq,rmse,168,6.30265,1.24168
W8A8_sq_rmse_span1,W8A8_sq,rmse,24,0.274218,0.207645
W8A8_sq_rmse_span1,W8A8_sq,rmse,72,0.360999,0.632787
W8A8_sq_rmse_span1,W8A8_sq,rmse,120,0.278801,0.315848
W8A8_sq_rmse_span1,W8A8_sq,rmse,168,0.342194,0.216115
W8A8_sq_rmse_span2,W8A8_sq,rmse,24,0.0294017,0.237787
W8A8_sq_rmse_span2,W8A8_sq,rmse,72,0.0438151,0.415916
W8A8_sq_rmse_span2,W8A8_sq,rmse,120,0.0406686,0.225799
W8A8_sq_rmse_span2,W8A8_sq,rmse,168,0.0174932,0.0780961
W8A8_sq_rmse_span3,W8A8_sq,rmse,24,0.0120689,0.090426
W8A8_sq_rmse_span3,W8A8_sq,rmse,72,0.0195169,0.157454
W8A8_sq_rmse_span3,W8A8_sq,rmse,120,0.0142565,0.0569562
W8A8_sq_rmse_span3,W8A8_sq,rmse,168,0.014234,0.0181733
