# predicted distortion rebuilt from the RUN configs in harness_results.csv  lead=120 min_effect_frac=0.0 axes=balance|conservation|standard  n_tags=38 of 38
tag,floor,guide,lead,config,balance,conservation,standard
W4W8_rmse_span1,W4,rmse,120,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io|upsample;W8:dec1_attn|dec1_mlp|enc1_attn|enc1_mlp,0.8831479700534249,4.346200159197967,0.13778139133491907
W4W8_rmseup_span1,W4,rmse,120,bf16:cond_embed|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_mlp|encoder_io|upsample;W8:dec1_attn|dec1_mlp|enc1_attn,0.8376715554542488,4.138320225232897,0.11492994087703982
W4W8_span1,W4,physics,120,bf16:cond_embed|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|encoder_io|upsample;W8:dec0_attn|dec1_attn|dec1_mlp|dec2_mlp|enc1_attn,1.569826367645112,0.7724112681974208,1.0360488282539044
W8A8_knee,W8A8,physics,120,bf16:decoder_heads,10.260939182754926,4.964020050430987,1.4666242863459262
W8A8_rmseup_knee,W8A8,rmse,120,bf16:cond_embed|decoder_heads|downsample|film,9.55676546040849,4.026650689402142,1.3120299182840764
W8A8_rmseup_span1,W8A8,rmse,120,bf16:cond_embed|decoder_heads|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample,6.35469359822949,1.9063844862833446,0.1869928729522618
W4W8_rmse_span2,W4,rmse,120,bf16:cond_embed|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample,0.7235318319812021,3.9675422217392837,0.10138432630103386
W4W8_span2,W4,physics,120,bf16:cond_embed|dec1_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|upsample;W8:dec0_attn|dec1_mlp|dec2_mlp|film,0.40892385601262227,0.25607606913632414,0.057577941323911114
W4W8_span3,W4,physics,120,bf16:cond_embed|dec1_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample;W8:dec0_attn|dec0_mlp|dec1_mlp|dec2_mlp,0.2298402086607689,0.11912629636668486,0.039664967876376946
W8A8_floor,W8A8,uniform,120,,16.75780560130847,6.032155529150896,1.4936012448657374
ceiling,bf16,uniform,120,,0.0,0.0,0.0
W8A8_span1,W8A8,physics,120,bf16:cond_embed|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|encoder_io|film|upsample,1.036056598034807,0.9730163138347543,0.6888632676259061
W8A8_span2,W8A8,physics,120,bf16:cond_embed|dec0_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|encoder_io|film|upsample,0.1871622246885682,0.37883980966687725,0.572977751055617
W8A8_span3,W8A8,physics,120,bf16:cond_embed|dec0_mlp|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|encoder_io|film|upsample,0.10523998699361146,0.1013028199637305,0.013978621220004612
W8A8_rmse_knee,W8A8,rmse,120,bf16:cond_embed|film,16.38376290245321,5.606392689770118,1.4407050591175428
W8A8_rmse_span1,W8A8,rmse,120,bf16:cond_embed|decoder_heads|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample,7.007522567919603,2.9186851970878758,0.3123518527850467
