model,scheme,lead,pair,rho,p_perm,n_groups,n_nonzero_x,n_nonzero_y,source
aurora,W8,24,balance_vs_standard,0.4614,0.0477,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,24,conservation_vs_standard,0.7491,0.0006,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,24,balance_vs_conservation,0.6912,0.0022,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,72,balance_vs_standard,0.2246,0.3466,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,72,conservation_vs_standard,0.7368,0.0003,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,72,balance_vs_conservation,0.4649,0.0458,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,120,balance_vs_standard,0.2018,0.3996,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,120,conservation_vs_standard,0.8982,0.0001,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,120,balance_vs_conservation,0.2561,0.2859,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,168,balance_vs_standard,0.0789,0.7495,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,168,conservation_vs_standard,0.6082,0.0094,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W8,168,balance_vs_conservation,0.1896,0.4313,19,19,19,ablation_analysis_ablations_W8/sensitivity.csv
aurora,W4,24,balance_vs_standard,0.7649,0.0002,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,24,conservation_vs_standard,0.6842,0.0024,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,24,balance_vs_conservation,0.6649,0.0026,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,72,balance_vs_standard,0.7158,0.0010,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,72,conservation_vs_standard,0.7509,0.0004,19,18,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,72,balance_vs_conservation,0.7719,0.0003,19,19,18,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,120,balance_vs_standard,0.7404,0.0005,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,120,conservation_vs_standard,0.7789,0.0002,19,18,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,120,balance_vs_conservation,0.7456,0.0002,19,19,18,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,168,balance_vs_standard,0.8088,0.0001,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,168,conservation_vs_standard,0.8088,0.0001,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
aurora,W4,168,balance_vs_conservation,0.7965,0.0001,19,19,19,ablation_analysis_ablations_W4/sensitivity.csv
