tag,lead,level,mean,lo,hi
FP32,120,50,0.3082041815,0.2971883863,0.3192864698
FP32,120,100,0.2471993733,0.2402285175,0.2553631012
FP32,120,150,0.2440562981,0.2369094751,0.2509522861
FP32,120,200,0.2701801633,0.2651053389,0.2752504222
FP32,120,250,0.2744411938,0.2701656371,0.2786386904
FP32,120,300,0.2650954369,0.2612628458,0.2689661073
FP32,120,400,0.2478268929,0.2441176131,0.2520461592
FP32,120,500,0.2377880936,0.2344308947,0.241844163
FP32,120,600,0.2456171407,0.2423546937,0.2494482693
FP32,120,700,0.2684307977,0.2646570925,0.2728212012
FP32,120,850,0.3590271274,0.3542826017,0.3639482251
FP32,120,925,0.4398309241,0.4339393139,0.4465487008
FP32,120,1000,0.5984115067,0.5927897976,0.6039427707
W8A8_floor,120,50,0.5357219148,0.5081801872,0.562015975
W8A8_floor,120,100,0.4041364565,0.3951449017,0.4156159034
W8A8_floor,120,150,0.359135968,0.3502673796,0.3706433392
W8A8_floor,120,200,0.3620521892,0.3548217224,0.3712590112
W8A8_floor,120,250,0.3563729742,0.3509251785,0.3631158316
W8A8_floor,120,300,0.3551539207,0.3501428251,0.3613923339
W8A8_floor,120,400,0.343837964,0.3384318343,0.3508130231
W8A8_floor,120,500,0.3450355548,0.3397176145,0.3519749922
W8A8_floor,120,600,0.3493636219,0.3457337514,0.3541048517
W8A8_floor,120,700,0.355960032,0.3526031248,0.3598066622
W8A8_floor,120,850,0.4151335116,0.4111319628,0.4194390136
W8A8_floor,120,925,0.4815749712,0.4761764608,0.4876753222
W8A8_floor,120,1000,0.6226755145,0.617260306,0.6280138919
W8A8_span1,120,50,0.3136347079,0.3019653138,0.3255748412
W8A8_span1,120,100,0.2473310099,0.240222761,0.2558530941
W8A8_span1,120,150,0.2468519751,0.2396205362,0.2540837748
W8A8_span1,120,200,0.2749249026,0.2696430392,0.2801156766
W8A8_span1,120,250,0.2796930447,0.2754310005,0.2837737758
W8A8_span1,120,300,0.271109961,0.2670304165,0.2749806548
W8A8_span1,120,400,0.2541703675,0.250264283,0.2584617782
W8A8_span1,120,500,0.2440616967,0.2405314115,0.2481823538
W8A8_span1,120,600,0.2504977065,0.2471748737,0.2542953327
W8A8_span1,120,700,0.2723890667,0.2686550349,0.2765630436
W8A8_span1,120,850,0.3621630271,0.357707417,0.3665541574
W8A8_span1,120,925,0.4434130186,0.4376139579,0.4494158621
W8A8_span1,120,1000,0.5985836511,0.5928916251,0.6039725568
