# pair=W8A8_span1|W8A8_rmse_span1 lead=120. tier=held_out is the primary evidence; tier=partial and tier=objective are robustness/descriptive.
tier,family,pair,lead,physics,rmse,ratio
held_out,spec_div,W8A8_span1|W8A8_rmse_span1,120,0.4799329292530228,0.16056854212315855,0.3345645450356379
held_out,spec_res,W8A8_span1|W8A8_rmse_span1,120,0.19629451823374935,0.5042809871473791,2.5690018839287023
held_out,RQE,W8A8_span1|W8A8_rmse_span1,120,0.3372459135757711,0.4353689846441771,1.290954069770693
variant,spec_div_w1,W8A8_span1|W8A8_rmse_span1,120,0.5137822858891848,0.23127990951026392,0.45015158338905353
variant,spec_res_log,W8A8_span1|W8A8_rmse_span1,120,1.0527936490960368,1.6087123322457602,1.5280414482240212
partial,div_vort,W8A8_span1|W8A8_rmse_span1,120,0.39528995996651367,3.693797803152522,9.34452725150276
partial,hypsometric,W8A8_span1|W8A8_rmse_span1,120,0.05217103077766443,4.048588832600062,77.60223963858027
partial,lapse_rate,W8A8_span1|W8A8_rmse_span1,120,0.3461151634450667,0.013892920928227371,0.04013959050491693
partial,neg_humidity,W8A8_span1|W8A8_rmse_span1,120,0.11840904430693212,6.844840483716803,57.80673700882222
objective,wind_balance,W8A8_span1|W8A8_rmse_span1,120,0.4309074125614886,3.3719842890831813,7.825310474560504
objective,dry_air_mass,W8A8_span1|W8A8_rmse_span1,120,0.07222222222222222,1.4629629629629628,20.256410256410255
