# leave-one-CONFIG-out Spearman rho, lead=120, n_configs=16, balance_source=harness_results.csv. INFLUENCE, not sampling uncertainty: the config set varies and the dates are held fixed -- this is unrelated to sampling uncertainty, which is not estimated anywhere in this driver any more.
var,lead,dropped,rho
Z500,120,W8A8_floor,0.24285714285714285
Z500,120,W8A8_knee,0.2857142857142857
Z500,120,W8A8_rmse_knee,0.25357142857142856
Z500,120,W8A8_probe_divergent,0.24285714285714285
Z500,120,W8A8_probe_rmse_favoured,0.18571428571428572
Z500,120,W8A8_rand_0,0.4
Z500,120,W8A8_rand_2,0.4
Z500,120,W8A8_rand_3,0.3
Z500,120,W8A8_rmse_span1,0.25
Z500,120,W8A8_rand_1,0.3142857142857143
Z500,120,W8A8_span1,0.36428571428571427
Z500,120,W8A8_span2,0.36428571428571427
Z500,120,W8A8_rmse_span2,0.225
Z500,120,W8A8_span3,0.225
Z500,120,W8A8_rmse_span3,0.225
Z500,120,ceiling,0.225
T850,120,W8A8_floor,0.2642857142857143
T850,120,W8A8_knee,0.32857142857142857
T850,120,W8A8_rmse_knee,0.26071428571428573
T850,120,W8A8_probe_divergent,0.2642857142857143
T850,120,W8A8_probe_rmse_favoured,0.20714285714285716
T850,120,W8A8_rand_0,0.4107142857142857
T850,120,W8A8_rand_2,0.4107142857142857
T850,120,W8A8_rand_3,0.3142857142857143
T850,120,W8A8_rmse_span1,0.25
T850,120,W8A8_rand_1,0.25
T850,120,W8A8_span1,0.35
T850,120,W8A8_span2,0.35
T850,120,W8A8_rmse_span2,0.20357142857142857
T850,120,W8A8_span3,0.21071428571428572
T850,120,W8A8_rmse_span3,0.21428571428571427
T850,120,ceiling,0.21071428571428572
T2M,120,W8A8_floor,0.02142857142857143
T2M,120,W8A8_knee,0.08928571428571429
T2M,120,W8A8_rmse_knee,0.225
T2M,120,W8A8_probe_divergent,-0.03214285714285714
T2M,120,W8A8_probe_rmse_favoured,0.0035714285714285713
T2M,120,W8A8_rand_0,0.18928571428571428
T2M,120,W8A8_rand_2,0.18928571428571428
T2M,120,W8A8_rand_3,0.10357142857142858
T2M,120,W8A8_rmse_span1,0.1357142857142857
T2M,120,W8A8_rand_1,0.08928571428571429
T2M,120,W8A8_span1,0.15
T2M,120,W8A8_span2,0.16428571428571428
T2M,120,W8A8_rmse_span2,0.11071428571428571
T2M,120,W8A8_span3,0.11071428571428571
T2M,120,W8A8_rmse_span3,0.11071428571428571
T2M,120,ceiling,0.11071428571428571
MSLP,120,W8A8_floor,0.2892857142857143
MSLP,120,W8A8_knee,0.35
MSLP,120,W8A8_rmse_knee,0.2857142857142857
MSLP,120,W8A8_probe_divergent,0.2892857142857143
MSLP,120,W8A8_probe_rmse_favoured,0.21785714285714286
MSLP,120,W8A8_rand_0,0.43214285714285716
MSLP,120,W8A8_rand_2,0.43214285714285716
MSLP,120,W8A8_rand_3,0.325
MSLP,120,W8A8_rmse_span1,0.275
MSLP,120,W8A8_rand_1,0.275
MSLP,120,W8A8_span1,0.37142857142857144
MSLP,120,W8A8_span2,0.37142857142857144
MSLP,120,W8A8_rmse_span2,0.22857142857142856
MSLP,120,W8A8_span3,0.23214285714285715
MSLP,120,W8A8_rmse_span3,0.22857142857142856
MSLP,120,ceiling,0.23214285714285715
Q700,120,W8A8_floor,0.725
Q700,120,W8A8_knee,0.8071428571428572
