pair,family,lead,label,physics,rmse,ratio,contribution
W8A8_knee|W8A8_rmse_knee,wind_balance,120,Vag/Vg 850hPa,2.124030622390137,3.209671461081284,1.5111229693428303,0.8598985360049307
W8A8_knee|W8A8_rmse_knee,wind_balance,120,|Vag| 850hPa,2.836507603223706,4.254978673730242,1.5000765973249766,1.1399453111130047
W8A8_knee|W8A8_rmse_knee,wind_balance,120,Vag/Vg 500hPa,6.097175815463028,10.494416810206722,1.7211930782103848,2.811544346748255
W8A8_knee|W8A8_rmse_knee,wind_balance,120,|Vag| 500hPa,5.501435244214558,9.697267920289182,1.7626796444595187,2.597981316472525
W8A8_knee|W8A8_rmse_knee,wind_balance,120,Vag/Vg 250hPa,2.545755454015946,4.3998285924394445,1.728299780522393,1.178751847716136
W8A8_knee|W8A8_rmse_knee,wind_balance,120,|Vag| 250hPa,3.290794241598061,5.740132065469189,1.7442998996745818,1.5378306532061956
W8A8_span1|W8A8_rmse_span1,wind_balance,120,Vag/Vg 850hPa,0.18598499075731129,1.8196732654308714,9.78397911584883,4.222886894922495
W8A8_span1|W8A8_rmse_span1,wind_balance,120,|Vag| 850hPa,0.42420085077058334,2.7472630864882532,6.476326206083048,6.375529885079966
W8A8_span1|W8A8_rmse_span1,wind_balance,120,Vag/Vg 500hPa,0.6235504058863518,5.501909095083007,8.8235193869568,12.768193200431213
W8A8_span1|W8A8_rmse_span1,wind_balance,120,|Vag| 500hPa,0.6738720728734288,5.029895163202321,7.464169188306858,11.672797952819103
W8A8_span1|W8A8_rmse_span1,wind_balance,120,Vag/Vg 250hPa,0.2874474206288523,2.2543652517047303,7.842704751960645,5.231669695129791
W8A8_span1|W8A8_rmse_span1,wind_balance,120,|Vag| 250hPa,0.39038873445240385,2.8787998725899,7.37418787616394,6.680785218980441
W8A8_span2|W8A8_rmse_span2,wind_balance,120,Vag/Vg 850hPa,0.09929280543219697,0.02251452685535008,0.22674882391881188,0.4660744482294599
W8A8_span2|W8A8_rmse_span2,wind_balance,120,|Vag| 850hPa,0.1308975021598628,0.08815948654804523,0.6735001439552117,1.8249943386799983
W8A8_span2|W8A8_rmse_span2,wind_balance,120,Vag/Vg 500hPa,0.045433142917513956,0.03240947472979171,0.7133443263793715,0.6709103037848149
W8A8_span2|W8A8_rmse_span2,wind_balance,120,|Vag| 500hPa,0.006318415411421173,0.06092370616843704,9.642244487171784,1.2611849637782018
W8A8_span2|W8A8_rmse_span2,wind_balance,120,Vag/Vg 250hPa,0.005447712198414106,0.01734815104798528,3.18448376421859,0.3591250209004379
W8A8_span2|W8A8_rmse_span2,wind_balance,120,|Vag| 250hPa,0.0024507288214120244,0.03254902615916462,13.281365883807172,0.6737991655344971
W8A8_span3|W8A8_rmse_span3,wind_balance,120,Vag/Vg 850hPa,0.008303874564562573,0.008656017321756037,1.0424070419724618,0.3880175872511003
W8A8_span3|W8A8_rmse_span3,wind_balance,120,|Vag| 850hPa,0.007875486760864553,0.007515879108489717,0.9543383585936777,0.3369093625098598
W8A8_span3|W8A8_rmse_span3,wind_balance,120,Vag/Vg 500hPa,0.0447772771772052,0.023476852407251895,0.5243028135530151,1.0523813999789968
W8A8_span3|W8A8_rmse_span3,wind_balance,120,|Vag| 500hPa,0.04034813926025983,0.0069771689679738,0.17292418178118651,0.31276095785899183
W8A8_span3|W8A8_rmse_span3,wind_balance,120,Vag/Vg 250hPa,0.014211960197016748,0.006949193494124772,0.48896798174142697,0.311506919718631
W8A8_span3|W8A8_rmse_span3,wind_balance,120,|Vag| 250hPa,0.01833313286289604,0.005031050643287359,0.2744239449368511,0.2255235935168426
W4W8_span1|W4W8_rmse_span1,wind_balance,120,Vag/Vg 850hPa,0.002281066112841814,0.02759620129176701,12.097940141413488,0.05893671409326623
W4W8_span1|W4W8_rmse_span1,wind_balance,120,|Vag| 850hPa,0.6284953357098159,0.18746598691161157,0.2982774513352426,0.40036775917118217
W4W8_span1|W4W8_rmse_span1,wind_balance,120,Vag/Vg 500hPa,0.35029194911844436,0.03501945381219185,0.09997219148291274,0.07479042188488609
W4W8_span1|W4W8_rmse_span1,wind_balance,120,|Vag| 500hPa,0.696772817032653,0.16928231904789837,0.24295195637628506,0.361533224565497
W4W8_span1|W4W8_rmse_span1,wind_balance,120,Vag/Vg 250hPa,0.473355673406749,0.04445022146373357,0.09390448654354253,0.09493154387781633
W4W8_span1|W4W8_rmse_span1,wind_balance,120,|Vag| 250hPa,0.6582099994654121,0.08394276346270359,0.12753188728655077,0.1792750602915774
W4W8_span2|W4W8_rmse_span2,wind_balance,120,Vag/Vg 850hPa,0.026770030121591067,0.04203943056199966,1.5703916047555444,0.35477200330041003
W4W8_span2|W4W8_rmse_span2,wind_balance,120,|Vag| 850hPa,0.20412166424711364,0.14233717421541875,0.697315371890671,1.201187641351382
W4W8_span2|W4W8_rmse_span2,wind_balance,120,Vag/Vg 500hPa,0.10733522391508156,0.01954995811049449,0.18213925864599187,0.1649826772289496
W4W8_span2|W4W8_rmse_span2,wind_balance,120,|Vag| 500hPa,0.17683258439059446,0.12959677723988547,0.7328783758180406,1.093671052819422
W4W8_span2|W4W8_rmse_span2,wind_balance,120,Vag/Vg 250hPa,0.07978911500822036,0.028142970353016654,0.352716913204479,0.23749936280033304
W4W8_span2|W4W8_rmse_span2,wind_balance,120,|Vag| 250hPa,0.11613359349941195,0.055867190562742794,0.4810596906486467,0.47146488070240056
W4W8_span3|W4W8_rmse_span3,wind_balance,120,Vag/Vg 850hPa,0.013593306967735284,0.00247405787175125,0.18200559125337262,0.04704205350034897
