# per-initialisation RMSE degradation vs FP32, percent. source=harness_results.pt vars=7. Spread over inits is WEATHER VARIABILITY, not an interval on the mean -- inits are autocorrelated and n_eff is well below n.
tag,lead,init,deg_pct
ceiling,24,0,0.0341067
ceiling,24,1,-0.0420232
ceiling,24,2,0.0675306
ceiling,24,3,0.00716404
ceiling,24,4,0.00394391
ceiling,24,5,0.0140164
ceiling,24,6,0.000458072
ceiling,24,7,0.022256
ceiling,24,8,0.0186571
ceiling,24,9,0.0294181
ceiling,24,10,-0.0127655
ceiling,24,11,0.00603995
ceiling,24,12,-0.0289582
ceiling,24,13,0.051333
ceiling,24,14,0.0111292
ceiling,24,15,0.0419732
ceiling,24,16,0.0189774
ceiling,24,17,0.0223949
ceiling,24,18,0.0118587
ceiling,24,19,0.031474
ceiling,24,20,0.00894838
ceiling,24,21,-0.0288699
ceiling,24,22,0.0156936
ceiling,24,23,0.0166678
ceiling,24,24,-0.016695
ceiling,24,25,-0.0130185
ceiling,24,26,0.00889396
ceiling,24,27,-0.0232951
ceiling,24,28,-0.0156944
ceiling,24,29,-0.0268167
ceiling,24,30,-0.0182625
ceiling,24,31,-0.0714849
ceiling,24,32,0.0157432
ceiling,24,33,0.0346333
ceiling,24,34,-0.024996
ceiling,24,35,0.0210012
ceiling,24,36,0.0393035
ceiling,24,37,0.00652295
ceiling,24,38,-0.00666212
ceiling,24,39,0.0392246
ceiling,24,40,0.0429872
ceiling,24,41,-0.00472497
ceiling,24,42,-0.046881
ceiling,24,43,-0.0250527
ceiling,24,44,0.0404271
ceiling,24,45,-0.033074
ceiling,24,46,0.0295838
ceiling,24,47,-0.00230471
ceiling,72,0,0.110373
ceiling,72,1,0.0158912
ceiling,72,2,0.190406
ceiling,72,3,0.0287671
ceiling,72,4,0.0669068
ceiling,72,5,0.087067
ceiling,72,6,0.0155264
ceiling,72,7,0.262432
ceiling,72,8,-0.161133
ceiling,72,9,0.154008
ceiling,72,10,-0.156256
ceiling,72,11,-0.0251154
ceiling,72,12,-0.136925
ceiling,72,13,0.0516713
ceiling,72,14,-0.0703336
ceiling,72,15,0.0626416
ceiling,72,16,0.224975
ceiling,72,17,0.218537
ceiling,72,18,0.00846775
ceiling,72,19,0.0887339
ceiling,72,20,0.119653
ceiling,72,21,-0.0486707
ceiling,72,22,-0.0428212
ceiling,72,23,0.0789734
ceiling,72,24,-0.00407074
ceiling,72,25,0.0957661
ceiling,72,26,0.0135114
ceiling,72,27,0.0139579
ceiling,72,28,0.0451472
ceiling,72,29,-0.126819
ceiling,72,30,-0.247425
ceiling,72,31,-0.115813
ceiling,72,32,-0.0656927
ceiling,72,33,0.000710837
ceiling,72,34,-0.0674474
ceiling,72,35,-0.145661
ceiling,72,36,0.0645034
ceiling,72,37,0.191147
ceiling,72,38,-0.0888133
ceiling,72,39,0.0654049
ceiling,72,40,0.109734
ceiling,72,41,0.0887055
ceiling,72,42,-0.0162666
ceiling,72,43,0.0335675
ceiling,72,44,-0.0468769
ceiling,72,45,-0.0849601
ceiling,72,46,-0.11761
ceiling,72,47,0.0208385
ceiling,120,0,0.0371727
ceiling,120,1,-0.109521
ceiling,120,2,0.368373
ceiling,120,3,0.175458
ceiling,120,4,0.000450648
ceiling,120,5,0.0162605
ceiling,120,6,-0.0991065
ceiling,120,7,0.244082
ceiling,120,8,-0.131021
ceiling,120,9,0.0252221
ceiling,120,10,-0.291898
ceiling,120,11,0.0391908
ceiling,120,12,-0.253506
ceiling,120,13,0.168009
ceiling,120,14,-0.060139
ceiling,120,15,-0.153794
ceiling,120,16,0.154431
ceiling,120,17,0.299685
ceiling,120,18,0.0344616
ceiling,120,19,-0.0615541
ceiling,120,20,0.00604723
ceiling,120,21,0.435883
ceiling,120,22,0.0151193
ceiling,120,23,0.151934
ceiling,120,24,-0.144517
ceiling,120,25,0.0979394
ceiling,120,26,0.0583
ceiling,120,27,0.0631171
ceiling,120,28,-0.207994
ceiling,120,29,-0.0299318
ceiling,120,30,-0.178131
ceiling,120,31,-0.13281
ceiling,120,32,-0.0689772
ceiling,120,33,-0.0330991
ceiling,120,34,-0.0517925
ceiling,120,35,-0.22574
ceiling,120,36,0.0247093
ceiling,120,37,-0.0330805
ceiling,120,38,-0.115305
ceiling,120,39,-0.0629093
ceiling,120,40,0.0405156
ceiling,120,41,-0.0825784
ceiling,120,42,-0.0167239
ceiling,120,43,0.103163
ceiling,120,44,-0.00725504
ceiling,120,45,-0.0728205
ceiling,120,46,-0.0980533
ceiling,120,47,-0.0410388
ceiling,168,0,0.0285496
ceiling,168,1,-0.111541
ceiling,168,2,0.55981
ceiling,168,3,-0.293172
ceiling,168,4,-0.353747
ceiling,168,5,-0.0293016
ceiling,168,6,-0.468404
ceiling,168,7,0.285634
ceiling,168,8,-0.255107
ceiling,168,9,-0.0365219
ceiling,168,10,-0.455328
ceiling,168,11,0.179099
ceiling,168,12,-0.243237
ceiling,168,13,0.132803
ceiling,168,14,0.0582411
ceiling,168,15,0.185347
ceiling,168,16,0.0838698
ceiling,168,17,0.0461236
ceiling,168,18,-0.471398
ceiling,168,19,-0.36692
ceiling,168,20,-0.0682878
ceiling,168,21,0.305895
ceiling,168,22,0.0688672
ceiling,168,23,0.0603419
ceiling,168,24,-0.236047
ceiling,168,25,-0.0571722
ceiling,168,26,0.150041
ceiling,168,27,0.126647
ceiling,168,28,-0.10011
ceiling,168,29,-0.0440918
ceiling,168,30,-0.451659
ceiling,168,31,-0.58995
ceiling,168,32,-0.161769
ceiling,168,33,-0.0466579
ceiling,168,34,-0.0261985
ceiling,168,35,0.111533
ceiling,168,36,-0.0818869
ceiling,168,37,-0.253717
ceiling,168,38,-0.139051
ceiling,168,39,-0.160822
ceiling,168,40,0.00343779
ceiling,168,41,-0.286003
ceiling,168,42,-0.193045
ceiling,168,43,0.132146
ceiling,168,44,0.132468
ceiling,168,45,-0.170891
ceiling,168,46,-0.336762
ceiling,168,47,0.0407769
W8A8_floor,24,0,10.4902
W8A8_floor,24,1,8.27777
W8A8_floor,24,2,9.22904
W8A8_floor,24,3,8.54281
W8A8_floor,24,4,10.8466
W8A8_floor,24,5,10.3253
W8A8_floor,24,6,7.90092
W8A8_floor,24,7,8.46731
W8A8_floor,24,8,8.7539
W8A8_floor,24,9,9.26067
W8A8_floor,24,10,8.66874
W8A8_floor,24,11,9.67157
W8A8_floor,24,12,9.75613
W8A8_floor,24,13,9.07789
W8A8_floor,24,14,9.80101
W8A8_floor,24,15,10.1675
W8A8_floor,24,16,8.56543
W8A8_floor,24,17,9.60224
W8A8_floor,24,18,9.56308
W8A8_floor,24,19,9.94478
W8A8_floor,24,20,9.67104
W8A8_floor,24,21,7.09065
W8A8_floor,24,22,9.10752
W8A8_floor,24,23,6.90543
W8A8_floor,24,24,7.08727
W8A8_floor,24,25,9.10197
W8A8_floor,24,26,8.45859
W8A8_floor,24,27,6.11457
W8A8_floor,24,28,7.20818
W8A8_floor,24,29,8.54192
W8A8_floor,24,30,7.23079
W8A8_floor,24,31,10.1198
W8A8_floor,24,32,9.64774
W8A8_floor,24,33,7.76359
