# per (initialisation, variable) RMSE for the config and FP32. source=harness_results.pt. Raw material for the POOLED bootstrap: pooling happens inside each resample, so a pre-collapsed degradation series cannot produce it.
tag,lead,init,var,r_cfg,r_ref
ceiling,24,0,geopotential_500,43.16400528,43.19867325
ceiling,24,0,temperature_850,0.6407074332,0.6404703856
ceiling,24,0,2m_temperature,0.7200626731,0.7200542688
ceiling,24,0,mean_sea_level_pressure,49.28263855,49.21069336
ceiling,24,0,specific_humidity_700,0.0006338041276,0.0006334190839
ceiling,24,0,u_component_of_wind_500,1.544073582,1.543909907
ceiling,24,0,v_component_of_wind_500,1.525374293,1.524410367
ceiling,24,1,geopotential_500,48.45675278,48.49614334
ceiling,24,1,temperature_850,0.6397272348,0.640065074
ceiling,24,1,2m_temperature,0.7489312291,0.7492340803
ceiling,24,1,mean_sea_level_pressure,52.59490204,52.62004852
ceiling,24,1,specific_humidity_700,0.0006165916566,0.0006163200014
ceiling,24,1,u_component_of_wind_500,1.609570026,1.610820174
ceiling,24,1,v_component_of_wind_500,1.568752885,1.569355726
ceiling,24,2,geopotential_500,48.50247955,48.41928482
ceiling,24,2,temperature_850,0.6558060646,0.6554122567
ceiling,24,2,2m_temperature,0.7198196054,0.7198224664
ceiling,24,2,mean_sea_level_pressure,52.10286331,52.05261612
ceiling,24,2,specific_humidity_700,0.0006016408443,0.0006015626132
ceiling,24,2,u_component_of_wind_500,1.677637815,1.676476002
ceiling,24,2,v_component_of_wind_500,1.638516188,1.637494922
ceiling,24,3,geopotential_500,41.73038483,41.73522568
ceiling,24,3,temperature_850,0.6683911681,0.6686460972
ceiling,24,3,2m_temperature,0.7356157899,0.735496521
ceiling,24,3,mean_sea_level_pressure,51.336689,51.30694199
ceiling,24,3,specific_humidity_700,0.0006071138778,0.0006072595133
ceiling,24,3,u_component_of_wind_500,1.556174994,1.555867434
ceiling,24,3,v_component_of_wind_500,1.524594903,1.524139285
ceiling,24,4,geopotential_500,42.53725052,42.53767395
ceiling,24,4,temperature_850,0.6416808963,0.6418579221
ceiling,24,4,2m_temperature,0.7133145928,0.713227272
ceiling,24,4,mean_sea_level_pressure,52.36231232,52.34170914
ceiling,24,4,specific_humidity_700,0.0006104902131,0.0006104940549
ceiling,24,4,u_component_of_wind_500,1.611305237,1.611215711
ceiling,24,4,v_component_of_wind_500,1.634602904,1.634608626
ceiling,24,5,geopotential_500,44.89092255,44.86678314
ceiling,24,5,temperature_850,0.6733261347,0.6737748981
ceiling,24,5,2m_temperature,0.7063718438,0.7063407302
ceiling,24,5,mean_sea_level_pressure,51.91261673,51.91891098
ceiling,24,5,specific_humidity_700,0.0006092234398,0.0006089752424
ceiling,24,5,u_component_of_wind_500,1.658821106,1.658222914
ceiling,24,5,v_component_of_wind_500,1.662055016,1.661360502
ceiling,24,6,geopotential_500,46.44271088,46.42868042
ceiling,24,6,temperature_850,0.6661575437,0.6659680605
ceiling,24,6,2m_temperature,0.7673123479,0.767306149
ceiling,24,6,mean_sea_level_pressure,57.59506226,57.63354111
ceiling,24,6,specific_humidity_700,0.0006217806949,0.0006219976931
ceiling,24,6,u_component_of_wind_500,1.589569449,1.589370608
ceiling,24,6,v_component_of_wind_500,1.623200297,1.622666955
ceiling,24,7,geopotential_500,43.41213989,43.38352585
ceiling,24,7,temperature_850,0.6404676437,0.6401177645
ceiling,24,7,2m_temperature,0.7317599654,0.7319651842
ceiling,24,7,mean_sea_level_pressure,53.94511414,53.91576004
ceiling,24,7,specific_humidity_700,0.0006054176483,0.0006054620608
ceiling,24,7,u_component_of_wind_500,1.591136813,1.591373682
ceiling,24,7,v_component_of_wind_500,1.637309551,1.636802316
ceiling,24,8,geopotential_500,44.57792664,44.59368134
ceiling,24,8,temperature_850,0.6393735409,0.6392310262
ceiling,24,8,2m_temperature,0.6952204704,0.6948528886
ceiling,24,8,mean_sea_level_pressure,54.23260117,54.21148682
ceiling,24,8,specific_humidity_700,0.0005811564624,0.0005809390568
ceiling,24,8,u_component_of_wind_500,1.530579448,1.530364752
ceiling,24,8,v_component_of_wind_500,1.538387895,1.538382769
ceiling,24,9,geopotential_500,44.10102844,44.06467438
ceiling,24,9,temperature_850,0.6604486108,0.6604961753
ceiling,24,9,2m_temperature,0.712127924,0.7121643424
ceiling,24,9,mean_sea_level_pressure,52.01182938,51.96308899
ceiling,24,9,specific_humidity_700,0.0005956718815,0.0005953796208
ceiling,24,9,u_component_of_wind_500,1.573016047,1.57322681
ceiling,24,9,v_component_of_wind_500,1.575333118,1.575234652
ceiling,24,10,geopotential_500,44.652771,44.69835281
ceiling,24,10,temperature_850,0.6157041192,0.6155505776
ceiling,24,10,2m_temperature,0.7144700885,0.7141117454
ceiling,24,10,mean_sea_level_pressure,53.71608353,53.74510574
ceiling,24,10,specific_humidity_700,0.0006154446746,0.0006154425791
ceiling,24,10,u_component_of_wind_500,1.471421838,1.471137643
ceiling,24,10,v_component_of_wind_500,1.511885524,1.512311459
ceiling,24,11,geopotential_500,45.56649017,45.57204437
ceiling,24,11,temperature_850,0.6258452535,0.6262090206
ceiling,24,11,2m_temperature,0.6781331897,0.6780028939
ceiling,24,11,mean_sea_level_pressure,51.9978447,51.98711777
ceiling,24,11,specific_humidity_700,0.0006144003128,0.0006142082275
ceiling,24,11,u_component_of_wind_500,1.533212781,1.532918215
ceiling,24,11,v_component_of_wind_500,1.573052168,1.572702765
ceiling,24,12,geopotential_500,44.63438034,44.70957184
ceiling,24,12,temperature_850,0.6217615008,0.6214676499
ceiling,24,12,2m_temperature,0.7063371539,0.7064812183
ceiling,24,12,mean_sea_level_pressure,50.94927216,50.96055984
ceiling,24,12,specific_humidity_700,0.0006176131428,0.0006177491741
ceiling,24,12,u_component_of_wind_500,1.553506732,1.553421736
ceiling,24,12,v_component_of_wind_500,1.556211233,1.556564927
ceiling,24,13,geopotential_500,46.28932571,46.24154282
ceiling,24,13,temperature_850,0.6195197701,0.6192486286
ceiling,24,13,2m_temperature,0.7166615129,0.7161871195
ceiling,24,13,mean_sea_level_pressure,51.94485855,51.89938736
ceiling,24,13,specific_humidity_700,0.0006173758302,0.0006172775757
ceiling,24,13,u_component_of_wind_500,1.493650675,1.493419766
ceiling,24,13,v_component_of_wind_500,1.496918321,1.496514559
ceiling,24,14,geopotential_500,49.74103165,49.7278862
ceiling,24,14,temperature_850,0.6498814225,0.6497058272
ceiling,24,14,2m_temperature,0.7087429166,0.7086223364
ceiling,24,14,mean_sea_level_pressure,56.99497986,57.03464127
ceiling,24,14,specific_humidity_700,0.00060742395,0.0006071831449
ceiling,24,14,u_component_of_wind_500,1.556108117,1.555538535
ceiling,24,14,v_component_of_wind_500,1.537529349,1.53751874
ceiling,24,15,geopotential_500,43.57786179,43.5246315
ceiling,24,15,temperature_850,0.6418073773,0.6413650513
ceiling,24,15,2m_temperature,0.7232036591,0.7230818272
ceiling,24,15,mean_sea_level_pressure,50.87937546,50.83283234
ceiling,24,15,specific_humidity_700,0.000598297338,0.0005985080497
ceiling,24,15,u_component_of_wind_500,1.476283193,1.476137519
ceiling,24,15,v_component_of_wind_500,1.50308156,1.502788901
ceiling,24,16,geopotential_500,45.98508453,45.98672104
ceiling,24,16,temperature_850,0.6375732422,0.637691915
ceiling,24,16,2m_temperature,0.6899062395,0.6896595359
ceiling,24,16,mean_sea_level_pressure,52.62765884,52.58931732
ceiling,24,16,specific_humidity_700,0.0006133005372,0.0006131166592
ceiling,24,16,u_component_of_wind_500,1.58482182,1.584864736
ceiling,24,16,v_component_of_wind_500,1.613727689,1.613420367
ceiling,24,17,geopotential_500,45.51675034,45.48486328
ceiling,24,17,temperature_850,0.6515378952,0.6515367031
ceiling,24,17,2m_temperature,0.6759353876,0.6759326458
ceiling,24,17,mean_sea_level_pressure,55.88813019,55.84601974
