var,tag,lead,k,ratio
Z500,W8A8_floor,120,1,1.009925379
Z500,W8A8_floor,120,2,0.9783544481
Z500,W8A8_floor,120,3,0.9817922717
Z500,W8A8_floor,120,4,1.01205686
Z500,W8A8_floor,120,5,0.9790008306
Z500,W8A8_floor,120,6,0.970347586
Z500,W8A8_floor,120,7,0.9611990363
Z500,W8A8_floor,120,8,0.8991747333
Z500,W8A8_floor,120,9,0.9540990764
Z500,W8A8_floor,120,10,1.015233574
Z500,W8A8_floor,120,11,0.9470368692
Z500,W8A8_floor,120,12,0.9071034094
Z500,W8A8_floor,120,13,0.9603113621
Z500,W8A8_floor,120,14,0.9561389867
Z500,W8A8_floor,120,15,0.9771399852
Z500,W8A8_floor,120,16,0.9989822501
Z500,W8A8_floor,120,17,0.936634535
Z500,W8A8_floor,120,18,0.9141965198
Z500,W8A8_floor,120,19,0.8730351017
Z500,W8A8_floor,120,20,0.8994376873
Z500,W8A8_floor,120,21,0.878475943
Z500,W8A8_floor,120,22,0.9223931972
Z500,W8A8_floor,120,23,0.9514186027
Z500,W8A8_floor,120,24,0.92668985
Z500,W8A8_floor,120,25,0.9926591889
Z500,W8A8_floor,120,26,0.912389328
Z500,W8A8_floor,120,27,0.9118113655
Z500,W8A8_floor,120,28,0.919125101
Z500,W8A8_floor,120,29,0.8866140841
Z500,W8A8_floor,120,30,0.8627810796
Z500,W8A8_floor,120,31,0.8469722673
Z500,W8A8_floor,120,32,0.8418741508
Z500,W8A8_floor,120,33,0.9357637298
Z500,W8A8_floor,120,34,0.8916532391
Z500,W8A8_floor,120,35,0.8847693032
Z500,W8A8_floor,120,36,0.9108752326
Z500,W8A8_floor,120,37,0.8653529301
Z500,W8A8_floor,120,38,0.9165552875
Z500,W8A8_floor,120,39,0.8515935474
Z500,W8A8_floor,120,40,0.8813820843
Z500,W8A8_floor,120,41,0.92389148
Z500,W8A8_floor,120,42,0.89034327
Z500,W8A8_floor,120,43,0.8926259629
Z500,W8A8_floor,120,44,0.8318559724
Z500,W8A8_floor,120,45,0.8947590377
Z500,W8A8_floor,120,46,0.8490647394
Z500,W8A8_floor,120,47,0.9289328664
Z500,W8A8_floor,120,48,0.9262345954
Z500,W8A8_floor,120,49,0.9048708278
Z500,W8A8_floor,120,50,0.9065152223
Z500,W8A8_floor,120,51,0.927218579
Z500,W8A8_floor,120,52,0.9934496074
Z500,W8A8_floor,120,53,0.9267208293
Z500,W8A8_floor,120,54,0.9807540304
Z500,W8A8_floor,120,55,0.9786436141
Z500,W8A8_floor,120,56,1.046044316
Z500,W8A8_floor,120,57,1.008007615
Z500,W8A8_floor,120,58,0.9886811096
Z500,W8A8_floor,120,59,1.053347422
Z500,W8A8_floor,120,60,1.038491911
Z500,W8A8_floor,120,61,1.013871459
Z500,W8A8_floor,120,62,1.093729572
Z500,W8A8_floor,120,63,1.080081424
Z500,W8A8_floor,120,64,1.146490909
Z500,W8A8_floor,120,65,1.124968564
Z500,W8A8_floor,120,66,1.171865982
Z500,W8A8_floor,120,67,1.137987487
Z500,W8A8_floor,120,68,1.254787938
Z500,W8A8_floor,120,69,1.25272577
Z500,W8A8_floor,120,70,1.246151647
Z500,W8A8_floor,120,71,1.256440279
Z500,W8A8_floor,120,72,1.301541269
Z500,W8A8_floor,120,73,1.332928443
Z500,W8A8_floor,120,74,1.351202727
Z500,W8A8_floor,120,75,1.366844056
Z500,W8A8_floor,120,76,1.45319776
Z500,W8A8_floor,120,77,1.476024931
Z500,W8A8_floor,120,78,1.564232229
Z500,W8A8_floor,120,79,1.552745355
Z500,W8A8_floor,120,80,1.617519242
Z500,W8A8_floor,120,81,1.665197012
Z500,W8A8_floor,120,82,1.675641171
Z500,W8A8_floor,120,83,1.695890293
Z500,W8A8_floor,120,84,1.837721283
Z500,W8A8_floor,120,85,1.792851485
Z500,W8A8_floor,120,86,1.853204863
Z500,W8A8_floor,120,87,1.93273084
Z500,W8A8_floor,120,88,2.01961824
Z500,W8A8_floor,120,89,1.990784163
Z500,W8A8_floor,120,90,2.090793044
Z500,W8A8_floor,120,91,2.079275408
Z500,W8A8_floor,120,92,2.167717238
Z500,W8A8_floor,120,93,2.159120028
Z500,W8A8_floor,120,94,2.18749039
Z500,W8A8_floor,120,95,2.266112072
Z500,W8A8_floor,120,96,2.301443002
Z500,W8A8_floor,120,97,2.40357543
Z500,W8A8_floor,120,98,2.503632816
Z500,W8A8_floor,120,99,2.857834275
Z500,W8A8_floor,120,100,2.657123379
Z500,W8A8_floor,120,101,2.716450058
Z500,W8A8_floor,120,102,2.748846901
Z500,W8A8_floor,120,103,2.871729822
Z500,W8A8_floor,120,104,2.911095119
Z500,W8A8_floor,120,105,2.996268255
Z500,W8A8_floor,120,106,3.146200733
Z500,W8A8_floor,120,107,3.478414699
Z500,W8A8_floor,120,108,3.236718236
Z500,W8A8_floor,120,109,3.325819482
Z500,W8A8_floor,120,110,3.412124948
Z500,W8A8_floor,120,111,3.517899736
Z500,W8A8_floor,120,112,3.667214412
Z500,W8A8_floor,120,113,3.635178237
Z500,W8A8_floor,120,114,3.653591409
Z500,W8A8_floor,120,115,3.954259498
Z500,W8A8_floor,120,116,3.822444595
Z500,W8A8_floor,120,117,4.04548893
Z500,W8A8_floor,120,118,4.303452402
Z500,W8A8_floor,120,119,4.328377694
Z500,W8A8_floor,120,120,4.392954696
Z500,W8A8_floor,120,121,4.338990579
Z500,W8A8_floor,120,122,4.708306978
Z500,W8A8_floor,120,123,4.713969128
Z500,W8A8_floor,120,124,4.6623881
Z500,W8A8_floor,120,125,4.715652204
Z500,W8A8_floor,120,126,5.080175115
Z500,W8A8_floor,120,127,5.183811267
Z500,W8A8_floor,120,128,5.402071516
Z500,W8A8_floor,120,129,5.512153962
Z500,W8A8_floor,120,130,5.3898388
Z500,W8A8_floor,120,131,5.949865792
Z500,W8A8_floor,120,132,5.743861188
Z500,W8A8_floor,120,133,5.85901102
Z500,W8A8_floor,120,134,5.673684067
Z500,W8A8_floor,120,135,6.108680821
Z500,W8A8_floor,120,136,6.332896884
Z500,W8A8_floor,120,137,6.26789911
Z500,W8A8_floor,120,138,6.361465637
Z500,W8A8_floor,120,139,6.566531437
Z500,W8A8_floor,120,140,6.999658762
Z500,W8A8_floor,120,141,6.592635466
Z500,W8A8_floor,120,142,6.566896324
Z500,W8A8_floor,120,143,7.035224472
Z500,W8A8_floor,120,144,7.125731619
Z500,W8A8_floor,120,145,7.039682703
Z500,W8A8_floor,120,146,7.368981787
Z500,W8A8_floor,120,147,7.159852782
Z500,W8A8_floor,120,148,6.043734126
Z500,W8A8_floor,120,149,7.61218696
Z500,W8A8_floor,120,150,6.539567482
Z500,W8A8_floor,120,151,7.556544745
Z500,W8A8_floor,120,152,7.921012339
Z500,W8A8_floor,120,153,8.251150663
Z500,W8A8_floor,120,154,8.257271693
Z500,W8A8_floor,120,155,8.540125752
Z500,W8A8_floor,120,156,7.967831125
Z500,W8A8_floor,120,157,8.437617813
Z500,W8A8_floor,120,158,8.265099852
Z500,W8A8_floor,120,159,8.907702545
Z500,W8A8_floor,120,160,8.963719616
Z500,W8A8_floor,120,161,8.635940399
Z500,W8A8_floor,120,162,8.73225055
Z500,W8A8_floor,120,163,8.903348294
Z500,W8A8_floor,120,164,9.138222595
Z500,W8A8_floor,120,165,8.563468228
Z500,W8A8_floor,120,166,8.973659326
Z500,W8A8_floor,120,167,9.228931441
Z500,W8A8_floor,120,168,9.580666683
Z500,W8A8_floor,120,169,9.610607037
Z500,W8A8_floor,120,170,9.005400992
Z500,W8A8_floor,120,171,8.066101036
Z500,W8A8_floor,120,172,7.558506083
Z500,W8A8_floor,120,173,8.240223073
Z500,W8A8_floor,120,174,8.259983305
Z500,W8A8_floor,120,175,8.41022319
Z500,W8A8_floor,120,176,8.057888225
Z500,W8A8_floor,120,177,8.561935141
Z500,W8A8_floor,120,178,8.48635297
Z500,W8A8_floor,120,179,8.35206388
Z500,W8A8_floor,120,180,5.082675253
Z500,W8A8_floor,120,181,8.347449812
Z500,W8A8_floor,120,182,8.679017697
Z500,W8A8_floor,120,183,8.999998964
Z500,W8A8_floor,120,184,8.617541075
Z500,W8A8_floor,120,185,9.086026382
Z500,W8A8_floor,120,186,8.942087064
Z500,W8A8_floor,120,187,8.83542115
Z500,W8A8_floor,120,188,8.408339658
Z500,W8A8_floor,120,189,8.725280818
Z500,W8A8_floor,120,190,9.964378389
Z500,W8A8_floor,120,191,11.2157914
Z500,W8A8_floor,120,192,10.81077134
Z500,W8A8_floor,120,193,10.8479887
Z500,W8A8_floor,120,194,10.30552873
Z500,W8A8_floor,120,195,10.2964999
Z500,W8A8_floor,120,196,11.38238695
Z500,W8A8_floor,120,197,11.08272919
Z500,W8A8_floor,120,198,11.05851165
Z500,W8A8_floor,120,199,11.23805162
Z500,W8A8_floor,120,200,11.63294814
Z500,W8A8_floor,120,201,11.92873744
Z500,W8A8_floor,120,202,10.86532663
Z500,W8A8_floor,120,203,11.12517894
Z500,W8A8_floor,120,204,10.61655106
Z500,W8A8_floor,120,205,11.97626158
Z500,W8A8_floor,120,206,12.01402082
Z500,W8A8_floor,120,207,11.80390257
Z500,W8A8_floor,120,208,12.38473344
