card,scheme,metric,block,order,lead,fp32_mean,quant_mean,pct_diff,sigma,floor_measured,at_floor
rmse,W4,Z 50,GEOPOTENTIAL,0,24,59.88009100471854,239.5688211685784,300.0809236407147,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,24,61.02818574116244,195.91369316774038,221.02165710556267,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,24,39.173895555525164,125.19663233110171,219.59198990983097,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,24,32.03374178904623,85.43963033419983,166.71760950328775,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,24,31.06351240625841,76.41516456657969,145.99653628088825,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,24,0.7837198689717072,1.4873650428212715,89.7827401993513,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,24,0.46950347147997923,0.996589915154072,112.26465312654648,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,24,0.42700509655486374,1.0490303291630858,145.67161788625188,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,24,0.47756562612404097,0.8248929637678696,72.7287138445796,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,24,0.6171572939400064,1.1477238949902704,85.96942890572726,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,24,2.0231787523298097e-08,7.068143229033571e-08,249.35831650536008,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,24,3.0978389718410416e-05,3.801527592504633e-05,22.7154680104431,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,24,0.0003382628666147251,0.0004527800735194568,33.85450139733032,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,24,0.0006114820153873916,0.0008178005624140407,33.740738375754255,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,24,0.0007667513766297361,0.0010934618860398452,42.609706270912575,0.0,False,False
rmse,W4,U 50,U-WIND,15,24,1.35766120399119,2.5216380442196193,85.73396932950753,0.0,False,False
rmse,W4,U 250,U-WIND,16,24,1.9556475869914776,3.3334183392199863,70.45087066775865,0.0,False,False
rmse,W4,U 500,U-WIND,17,24,1.4937444721965558,2.4819114401103644,66.15368199225574,0.0,False,False
rmse,W4,U 700,U-WIND,18,24,1.3024410634198684,1.929907333579858,48.176173784971716,0.0,False,False
rmse,W4,U 850,U-WIND,19,24,1.1769433643912455,1.770918590343225,50.4676133043329,0.0,False,False
rmse,W4,V 50,V-WIND,20,24,1.4104950655379487,2.2761234157210426,61.37053374610367,0.0,False,False
rmse,W4,V 250,V-WIND,21,24,1.9554264309033567,3.339776214379314,70.79528851599,0.0,False,False
rmse,W4,V 500,V-WIND,22,24,1.508272510191017,2.4178274191272027,60.30441467245159,0.0,False,False
rmse,W4,V 700,V-WIND,23,24,1.294900198726825,1.8912273474349042,46.0519775419296,0.0,False,False
rmse,W4,V 850,V-WIND,24,24,1.177855634677086,1.7420658346487408,47.90147309745096,0.0,False,False
rmse,W4,T2M,SURFACE,25,24,0.6429695886306454,1.1184533528224414,73.95120587343024,0.0,False,False
rmse,W4,U10,SURFACE,26,24,0.764578099787251,1.1064530118913365,44.71419102891052,0.0,False,False
rmse,W4,V10,SURFACE,27,24,0.7985736800407583,1.1356527385209418,42.21013876427524,0.0,False,False
rmse,W4,MSLP,SURFACE,28,24,43.65641215150073,98.6565054733617,125.98399779394215,0.0,False,False
rmse,W4,Z 50,GEOPOTENTIAL,0,72,144.3464976349069,547.6186282691026,279.37784237355373,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,72,196.13264383347462,504.3613657507127,157.15319790362793,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,72,132.39805283201113,332.09516259294634,150.83085097506248,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,72,101.27481620309194,240.1973164067275,137.17378654634797,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,72,96.81737527619292,220.6150763434904,127.8672353119853,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,72,1.1813707523560006,3.435841590243324,190.83516613148294,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,72,1.0731197945282513,2.319896381324197,116.18242372875386,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,72,0.9323834659750437,2.0693956912866063,121.94684556343216,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,72,0.975843445212285,1.9664951125747792,101.51747928654557,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,72,1.1626849216278539,2.3023397919371686,98.01923540160003,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,72,4.164506494149744e-08,1.8783880488416764e-07,351.0469731480589,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,72,4.886144637323571e-05,5.489789516795527e-05,12.354216345969816,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,72,0.0005740828550025078,0.0007817166247195275,36.16790989448949,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,72,0.001050012194020499,0.001435686436143843,36.73045363850458,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,72,0.0013243646055562236,0.001909246351803789,44.16319673553337,0.0,False,False
rmse,W4,U 50,U-WIND,15,72,2.070583348077122,5.006669891395434,141.79996888533626,0.0,False,False
rmse,W4,U 250,U-WIND,16,72,4.083127468289444,7.113954994503001,74.22808985885692,0.0,False,False
rmse,W4,U 500,U-WIND,17,72,3.0134703019279248,5.083139309590363,68.68058418688673,0.0,False,False
rmse,W4,U 700,U-WIND,18,72,2.450365496103121,4.039608686236628,64.85739342399822,0.0,False,False
rmse,W4,U 850,U-WIND,19,72,2.3254828149198343,3.67608983769449,58.078563905500836,0.0,False,False
rmse,W4,V 50,V-WIND,20,72,1.9982616578024204,3.018093563595841,51.0359542661183,0.0,False,False
rmse,W4,V 250,V-WIND,21,72,4.108676655494193,7.230575610020867,75.98307718744469,0.0,False,False
rmse,W4,V 500,V-WIND,22,72,3.0397704491219346,5.010260308914704,64.82364023118797,0.0,False,False
rmse,W4,V 700,V-WIND,23,72,2.430052790875071,3.7939980200941057,56.12821393595622,0.0,False,False
rmse,W4,V 850,V-WIND,24,72,2.319739233263413,3.6269135032223345,56.350052247898006,0.0,False,False
rmse,W4,T2M,SURFACE,25,72,1.1102777183365693,2.222101478468671,100.13924820520117,0.0,False,False
rmse,W4,U10,SURFACE,26,72,1.5878801573115704,2.5017113147718395,57.55038585578592,0.0,False,False
rmse,W4,V10,SURFACE,27,72,1.6464778823925184,2.6141720256253116,58.77358897932017,0.0,False,False
rmse,W4,MSLP,SURFACE,28,72,132.32925688549093,297.11882931284066,124.5299613296762,0.0,False,False
rmse,W4,Z 50,GEOPOTENTIAL,0,120,250.2205298885606,817.0096200302947,226.51582202074388,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,120,412.1588945808459,834.1490078036528,102.38529818747672,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,120,296.55872697282945,551.0072070967791,85.80036835242488,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,120,228.49773662605452,411.4122824709798,80.05092240553441,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,120,216.8800356999387,380.06527889808535,75.2421690966149,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,120,1.5453475234321248,5.183713319082083,235.43997324105877,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,120,1.8183749540679492,3.3881322643482603,86.32748195131883,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,120,1.6295631149489258,2.8912185942287363,77.4229281275401,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,120,1.6489501235349433,2.9155172631716644,76.81051849655178,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,120,1.8503537069365565,3.231666341553722,74.65127502049675,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,120,6.148399990738396e-08,2.8666413365001786e-07,366.241841913071,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,120,5.685410668306393e-05,6.298406100145582e-05,10.781902444732143,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,120,0.0007394661669176622,0.0009625351170504241,30.166214508851226,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,120,0.0013761155275025655,0.0017744671367671144,28.94754119862994,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,120,0.001714780662538554,0.0024130008828876326,40.717756830511284,0.0,False,False
rmse,W4,U 50,U-WIND,15,120,2.663229728027322,6.795085208328872,155.14453885891595,0.0,False,False
rmse,W4,U 250,U-WIND,16,120,6.70423650323897,10.184080434241185,51.90514877154203,0.0,False,False
rmse,W4,U 500,U-WIND,17,120,4.839270417520244,7.003425420108315,44.720687539032696,0.0,False,False
rmse,W4,U 700,U-WIND,18,120,3.822333091437165,5.6390598173122575,47.52926242731029,0.0,False,False
rmse,W4,U 850,U-WIND,19,120,3.6705361159474994,5.157909801311939,40.52197385831998,0.0,False,False
rmse,W4,V 50,V-WIND,20,120,2.4477410071290158,3.9571340628706406,61.664737051245865,0.0,False,False
rmse,W4,V 250,V-WIND,21,120,6.933698247825532,10.539128920990475,51.99866715133784,0.0,False,False
rmse,W4,V 500,V-WIND,22,120,4.979687404288038,7.105783478288616,42.695372247056795,0.0,False,False
rmse,W4,V 700,V-WIND,23,120,3.8494186923415055,5.4350805791468195,41.192242609514516,0.0,False,False
rmse,W4,V 850,V-WIND,24,120,3.681952716832183,5.159046040042679,40.11711819268916,0.0,False,False
rmse,W4,T2M,SURFACE,25,120,1.6336285857171904,3.1139581106016863,90.61603952250911,0.0,False,False
rmse,W4,U10,SURFACE,26,120,2.5583393179057046,3.614026708941943,41.26455719331398,0.0,False,False
rmse,W4,V10,SURFACE,27,120,2.666562324041496,3.8416626952209882,44.06798823282278,0.0,False,False
rmse,W4,MSLP,SURFACE,28,120,293.6827046237745,510.11705824962195,73.69666317364963,0.0,False,False
rmse,W4,Z 50,GEOPOTENTIAL,0,168,417.5911808372509,1082.6878279137711,159.26980204491684,0.0,False,False
rmse,W4,Z 250,GEOPOTENTIAL,1,168,713.8827643426354,1128.421336772095,58.06815812554028,0.0,False,False
rmse,W4,Z 500,GEOPOTENTIAL,2,168,521.1740570883645,738.2304885191443,41.647589414447395,0.0,False,False
rmse,W4,Z 700,GEOPOTENTIAL,3,168,399.58278615018213,555.8154430567536,39.0989457808755,0.0,False,False
rmse,W4,Z 850,GEOPOTENTIAL,4,168,373.19953075331307,511.98685382420024,37.18850417382394,0.0,False,False
rmse,W4,T 50,TEMPERATURE,5,168,1.9804015461354807,6.62971068759869,234.76598220879933,0.0,False,False
rmse,W4,T 250,TEMPERATURE,6,168,2.576520572830281,4.162229388687644,61.54458196759044,0.0,False,False
rmse,W4,T 500,TEMPERATURE,7,168,2.471236411993068,3.574363779966809,44.638682184358956,0.0,False,False
rmse,W4,T 700,TEMPERATURE,8,168,2.482769836822342,3.657698882957207,47.3233172366327,0.0,False,False
rmse,W4,T 850,TEMPERATURE,9,168,2.7089409202284758,3.9774577685365173,46.827040000601166,0.0,False,False
rmse,W4,Q 50,HUMIDITY,10,168,8.235163995410054e-08,3.699183220328458e-07,349.19363140676154,0.0,False,False
rmse,W4,Q 250,HUMIDITY,11,168,6.355880089136897e-05,6.721319404183961e-05,5.749625699698952,0.0,False,False
rmse,W4,Q 500,HUMIDITY,12,168,0.000876982272741812,0.0010776791496259145,22.884941135314,0.0,False,False
rmse,W4,Q 700,HUMIDITY,13,168,0.0016558509678129307,0.001978691759257863,19.496971510144096,0.0,False,False
rmse,W4,Q 850,HUMIDITY,14,168,0.002020314654218452,0.0027441008331223907,35.825418451163564,0.0,False,False
rmse,W4,U 50,U-WIND,15,168,3.4742501034836413,8.327898183986541,139.70347372620446,0.0,False,False
rmse,W4,U 250,U-WIND,16,168,9.78814979543497,12.438375705247456,27.0758617838941,0.0,False,False
rmse,W4,U 500,U-WIND,17,168,6.860537155124971,8.42636892204124,22.823748804371068,0.0,False,False
rmse,W4,U 700,U-WIND,18,168,5.321457957743922,6.768078377171275,27.184663130189605,0.0,False,False
rmse,W4,U 850,U-WIND,19,168,5.101367520495092,6.1880387251586395,21.30156669359288,0.0,False,False
rmse,W4,V 50,V-WIND,20,168,3.224135694495979,4.836473767546197,50.00838134085641,0.0,False,False
rmse,W4,V 250,V-WIND,21,168,10.300676437418044,12.84415883066749,24.692382181912247,0.0,False,False
rmse,W4,V 500,V-WIND,22,168,7.17014364955375,8.56309419911734,19.427094039465786,0.0,False,False
rmse,W4,V 700,V-WIND,23,168,5.4225629070742265,6.525784018324419,20.345012684148678,0.0,False,False
rmse,W4,V 850,V-WIND,24,168,5.140942626376395,6.135555434584918,19.34689570557566,0.0,False,False
rmse,W4,T2M,SURFACE,25,168,2.2556191079040175,3.8264476661866023,69.64068325091647,0.0,False,False
rmse,W4,U10,SURFACE,26,168,3.552536155158432,4.330207756698344,21.890603433006586,0.0,False,False
rmse,W4,V10,SURFACE,27,168,3.7265452786711886,4.607238316590841,23.632962222686054,0.0,False,False
rmse,W4,MSLP,SURFACE,28,168,500.18611960641374,688.6805781031444,37.6848639152668,0.0,False,False
physics,W4,RMSE Z500,RMSE,0,24,39.173895555525164,125.19663233110171,219.59198990983097,0.0040473461151123045,True,False
physics,W4,RMSE T850,RMSE,1,24,0.6171572939400064,1.1477238949902704,85.96942890572726,3.272617856661479e-05,True,False
physics,W4,RMSE Q700,RMSE,2,24,0.0006114820153873916,0.0008178005624140407,33.740738375754255,2.6170164346694944e-08,True,False
physics,W4,|Vag| 50hPa,BALANCE,3,24,5.052811692158381,38.35208451747894,659.0246154828758,0.0,False,False
physics,W4,|Vag| 250hPa,BALANCE,4,24,7.600515613953273,35.15924322605133,362.5902374505336,0.00011373360951741536,True,False
