tag,variant,lead,value,n_eff_min,n_labels
W8A8_floor,dry_only,120,1.9388888888888889,24.663371892011458,1
W8A8_knee,dry_only,120,1.8503367003367002,35.573435710253655,1
W8A8_rmse_knee,dry_only,120,1.7016835016835017,15.62413136104403,1
W8A8_span1,dry_only,120,0.07222222222222222,14.889184203920124,1
W8A8_rmse_span1,dry_only,120,1.4629629629629628,30.80611279773698,1
W8A8_span2,dry_only,120,0.015824915824915825,13.465475630312417,1
W8A8_rmse_span2,dry_only,120,0.13703703703703704,28.70536783881552,1
W8A8_span3,dry_only,120,0.000505050505050505,41.537467401571156,1
W8A8_rmse_span3,dry_only,120,0.12643097643097645,35.96796094286367,1
ceiling,dry_only,120,0.004208754208754209,21.974259053643873,1
W8A8_floor,dry_and_negq,120,6.3854371517140445,2.530676052183093,3
W8A8_knee,dry_and_negq,120,5.636657015164399,2.634761915186763,3
W8A8_rmse_knee,dry_and_negq,120,5.991654580852367,2.4679702436253814,3
W8A8_span1,dry_and_negq,120,0.09531563326457718,14.889184203920124,3
W8A8_rmse_span1,dry_and_negq,120,4.153901723339883,2.0082423441216015,3
W8A8_span2,dry_and_negq,120,0.030666528417318102,13.465475630312417,3
W8A8_rmse_span2,dry_and_negq,120,0.07231278114890183,28.70536783881552,3
W8A8_span3,dry_and_negq,120,0.01624914608420256,21.514352706949854,3
W8A8_rmse_span3,dry_and_negq,120,0.07385282537300666,20.46635910556239,3
ceiling,dry_and_negq,120,0.014851074677153804,15.258035433095811,3
W8A8_floor,multi_family,120,3.2890693306273904,2.530676052183093,17
W8A8_knee,multi_family,120,2.9204681464393145,2.634761915186763,17
W8A8_rmse_knee,multi_family,120,3.269254952126963,2.4679702436253814,17
W8A8_span1,multi_family,120,0.23720498117216732,8.959010754445595,17
W8A8_rmse_span1,multi_family,120,2.389847504661588,2.0082423441216015,17
W8A8_span2,multi_family,120,0.22660863585050234,5.99049133518206,17
W8A8_rmse_span2,multi_family,120,0.04476011412907889,21.500292669721244,17
W8A8_span3,multi_family,120,0.014500903761473371,21.514352706949854,17
W8A8_rmse_span3,multi_family,120,0.02824206315462333,20.047904420480275,17
ceiling,multi_family,120,0.007868560690164427,15.258035433095811,17
