tag,floor,guide,lead,balance,conservation
W4W8_rmse_span1,W4,rmse,24,0.0296848,0.604357
W4W8_rmse_span1,W4,rmse,72,0.0944481,1.69228
W4W8_rmse_span1,W4,rmse,120,0.110449,3.21963
W4W8_rmse_span1,W4,rmse,168,0.112008,2.2916
W4W8_rmseup_span1,W4,rmse,24,0.0296618,0.652288
W4W8_rmseup_span1,W4,rmse,72,0.0843025,1.70183
W4W8_rmseup_span1,W4,rmse,120,0.0966246,3.27454
W4W8_rmseup_span1,W4,rmse,168,0.0935205,2.28412
W4W8_span1,W4,physics,24,0.147596,0.0901961
W4W8_span1,W4,physics,72,0.54962,0.455285
W4W8_span1,W4,physics,120,0.540791,1.02995
W4W8_span1,W4,physics,168,0.556321,0.950623
W8A8_knee,W8A8,physics,24,4.96565,0.658824
W8A8_knee,W8A8,physics,72,5.43545,1.58252
W8A8_knee,W8A8,physics,120,4.47843,3.04798
W8A8_knee,W8A8,physics,168,4.78106,2.29111
W8A8_rmseup_knee,W8A8,rmse,24,4.69256,0.262309
W8A8_rmseup_knee,W8A8,rmse,72,5.07115,1.75711
W8A8_rmseup_knee,W8A8,rmse,120,4.14293,3.13145
W8A8_rmseup_knee,W8A8,rmse,168,4.42648,2.0813
W8A8_rmseup_span1,W8A8,rmse,24,4.35385,0.846187
W8A8_rmseup_span1,W8A8,rmse,72,4.6684,0.822764
W8A8_rmseup_span1,W8A8,rmse,120,3.776,1.16417
W8A8_rmseup_span1,W8A8,rmse,168,3.92647,0.620283
W4W8_rmse_span2,W4,rmse,24,0.0298017,0.664924
W4W8_rmse_span2,W4,rmse,72,0.0718324,1.69959
W4W8_rmse_span2,W4,rmse,120,0.0860978,3.264
W4W8_rmse_span2,W4,rmse,168,0.0835675,2.25786
W4W8_span2,W4,physics,24,0.0674979,0.0169935
W4W8_span2,W4,physics,72,0.142161,0.0534553
W4W8_span2,W4,physics,120,0.141188,0.0942873
W4W8_span2,W4,physics,168,0.139275,0.0292602
W4W8_span3,W4,physics,24,0.0387367,0.00566449
W4W8_span3,W4,physics,72,0.0682793,0.020935
W4W8_span3,W4,physics,120,0.0619422,0.0876317
W4W8_span3,W4,physics,168,0.0538453,0.0498753
W8A8_floor,W8A8,uniform,24,9.0262,0.274074
W8A8_floor,W8A8,uniform,72,9.49367,1.75224
W8A8_floor,W8A8,uniform,120,7.67128,3.19384
W8A8_floor,W8A8,uniform,168,8.14971,2.07415
ceiling,bf16,uniform,24,0.0258045,0.0196078
ceiling,bf16,uniform,72,0.0337597,0.0101626
ceiling,bf16,uniform,120,0.0291693,0.00693289
ceiling,bf16,uniform,168,0.0284363,0.00831255
W8A8_span1,W8A8,physics,24,0.367605,0.37342
W8A8_span1,W8A8,physics,72,0.542702,0.0123984
W8A8_span1,W8A8,physics,120,0.514523,0.118968
W8A8_span1,W8A8,physics,168,0.527248,0.00199501
W8A8_span2,W8A8,physics,24,0.194614,0.498911
W8A8_span2,W8A8,physics,72,0.144005,0.0977642
W8A8_span2,W8A8,physics,120,0.0661932,0.0260677
W8A8_span2,W8A8,physics,168,0.0613451,0.037074
W8A8_span3,W8A8,physics,24,0.0198908,0.0313725
W8A8_span3,W8A8,physics,72,0.0297622,0.020122
W8A8_span3,W8A8,physics,120,0.0263152,0.000831947
W8A8_span3,W8A8,physics,168,0.0254707,0.0104738
W8A8_rmse_knee,W8A8,rmse,24,8.90526,0.139434
W8A8_rmse_knee,W8A8,rmse,72,9.31544,1.73699
W8A8_rmse_knee,W8A8,rmse,120,7.51528,2.80311
W8A8_rmse_knee,W8A8,rmse,168,7.93702,1.74115
W8A8_rmse_span1,W8A8,rmse,24,4.63575,0.71939
W8A8_rmse_span1,W8A8,rmse,72,4.98976,1.32846
W8A8_rmse_span1,W8A8,rmse,120,4.04521,2.40987
W8A8_rmse_span1,W8A8,rmse,168,4.21826,1.62111
W8A8_rmse_span2,W8A8,rmse,24,0.0450534,0.198693
W8A8_rmse_span2,W8A8,rmse,72,0.0571897,0.169106
W8A8_rmse_span2,W8A8,rmse,120,0.0519598,0.225735
W8A8_rmse_span2,W8A8,rmse,168,0.0734188,0.126018
W8A8_rmse_span3,W8A8,rmse,24,0.011098,0.149891
W8A8_rmse_span3,W8A8,rmse,72,0.0119839,0.141463
W8A8_rmse_span3,W8A8,rmse,120,0.0119993,0.208264
W8A8_rmse_span3,W8A8,rmse,168,0.012682,0.129011
W8A8_probe_divergent,W8A8,probe,24,8.93636,0.332898
W8A8_probe_divergent,W8A8,probe,72,9.33168,1.76524
W8A8_probe_divergent,W8A8,probe,120,7.53561,3.19856
W8A8_probe_divergent,W8A8,probe,168,8.00427,2.1478
W8A8_probe_rmse_favoured,W8A8,probe,24,8.5255,0.580392
W8A8_probe_rmse_favoured,W8A8,probe,72,8.95525,1.78455
W8A8_probe_rmse_favoured,W8A8,probe,120,7.2394,3.19606
W8A8_probe_rmse_favoured,W8A8,probe,168,7.67698,2.06417
W8A8_rand_0,W8A8,random,24,5.19709,0.715468
W8A8_rand_0,W8A8,random,72,5.55822,1.4252
W8A8_rand_0,W8A8,random,120,4.4806,2.68026
W8A8_rand_0,W8A8,random,168,4.67694,1.84123
W8A8_rand_1,W8A8,random,24,1.46228,0.482789
W8A8_rand_1,W8A8,random,72,1.82941,0.459959
W8A8_rand_1,W8A8,random,120,1.56293,0.597338
W8A8_rand_1,W8A8,random,168,1.68117,0.436575
W8A8_rand_2,W8A8,random,24,5.19425,0.730719
W8A8_rand_2,W8A8,random,72,5.55144,1.46118
W8A8_rand_2,W8A8,random,120,4.48432,2.70993
W8A8_rand_2,W8A8,random,168,4.62228,1.87016
W8A8_rand_3,W8A8,random,24,4.93118,0.689325
W8A8_rand_3,W8A8,random,72,5.13691,0.0172764
W8A8_rand_3,W8A8,random,120,4.15578,0.690238
W8A8_rand_3,W8A8,random,168,4.40316,0.628761
W4W8_floor,W4,uniform,24,69.086,0.230501
W4W8_floor,W4,uniform,72,71.6935,0.445935
W4W8_floor,W4,uniform,120,57.1298,1.79645
W4W8_floor,W4,uniform,168,58.1787,0.623275
W4W8_knee,W4,physics,24,19.5239,0.621786
W4W8_knee,W4,physics,72,21.9768,1.72053
W4W8_knee,W4,physics,120,17.7918,1.89323
W4W8_knee,W4,physics,168,18.5587,0.14281
W4W8_rmse_span3,W4,rmse,24,0.0134947,0.108932
W4W8_rmse_span3,W4,rmse,72,0.0194519,0.0896341
W4W8_rmse_span3,W4,rmse,120,0.0180754,0.122573
W4W8_rmse_span3,W4,rmse,168,0.016131,0.0864505
W8A8_protect_io,W8A8,protect_io,24,0.410206,0.798693
W8A8_protect_io,W8A8,protect_io,72,0.668895,1.37317
W8A8_protect_io,W8A8,protect_io,120,0.652762,2.33056
W8A8_protect_io,W8A8,protect_io,168,0.751909,1.69792
W4W8_protect_io,W4,protect_io,24,7.66468,0.340305
W4W8_protect_io,W4,protect_io,72,9.85708,0.793699
W4W8_protect_io,W4,protect_io,120,8.14938,0.925679
W4W8_protect_io,W4,protect_io,168,8.55732,0.21596
