tag,variant,lead,value,n_eff_min,n_labels
W8A8_floor,dry_only,120,1.7153623188405798,6.866440798294587,1
W8A8_knee,dry_only,120,1.713623188405797,6.721874267374494,1
W8A8_rmse_knee,dry_only,120,1.5391304347826087,7.889913947390817,1
W8A8_span1,dry_only,120,0.08695652173913043,8.022374518964359,1
W8A8_rmse_span1,dry_only,120,1.3153623188405799,5.72169632669155,1
W8A8_span2,dry_only,120,0.04057971014492753,7.591639931419797,1
W8A8_rmse_span2,dry_only,120,0.12811594202898552,12.206958323495913,1
W8A8_span3,dry_only,120,0.002318840579710145,9.432768691643169,1
W8A8_rmse_span3,dry_only,120,0.10318840579710145,13.05336896579854,1
ceiling,dry_only,120,0.0017391304347826088,4.732272907052679,1
W8A8_floor,dry_and_negq,120,9.69599490164441,2.433399628566514,3
W8A8_knee,dry_and_negq,120,8.422190742401241,2.517051428912071,3
W8A8_rmse_knee,dry_and_negq,120,9.23957434465274,2.4080125828767334,3
W8A8_span1,dry_and_negq,120,0.12611697416633577,3.6195154879611993,3
W8A8_rmse_span1,dry_and_negq,120,6.364833304038918,2.417021422170668,3
W8A8_span2,dry_and_negq,120,0.06127321135164935,7.105985968945331,3
W8A8_rmse_span2,dry_and_negq,120,0.07897841200408086,4.818476870376504,3
W8A8_span3,dry_and_negq,120,0.03786113967256149,8.391705186357852,3
W8A8_rmse_span3,dry_and_negq,120,0.07964646041067835,8.975073019726631,3
ceiling,dry_and_negq,120,0.024347481419725262,4.732272907052679,3
