pair,family,lead,physics,rmse,ratio
W8A8_knee|W8A8_rmse_knee,wind_balance,120,4.9012609948862185,8.35789552268703,1.7052541236647727
W8A8_span1|W8A8_rmse_span1,wind_balance,120,0.521789460512272,4.473707252937843,8.573778490170607
W8A8_span2|W8A8_rmse_span2,wind_balance,120,0.09134526022341388,0.06282833516976623,0.6878116611206707
W8A8_span3|W8A8_rmse_span3,wind_balance,120,0.022553821225744897,0.009929651720785705,0.4402647170693689
W4W8_span1|W4W8_rmse_span1,wind_balance,120,0.17459540110103988,0.13985387287924644,0.8010169339930768
W4W8_span2|W4W8_rmse_span2,wind_balance,120,0.062326203434995765,0.04713589992759059,0.7562774135079771
W4W8_span3|W4W8_rmse_span3,wind_balance,120,0.03576396792203076,0.01955822525758758,0.546869555979543
W8A8_knee|W8A8_rmse_knee,wind_balance,120,4.9012609948862185,8.35789552268703,1.7052541236647727
W8A8_span1|W8A8_rmse_span1,wind_balance,120,0.521789460512272,4.473707252937843,8.573778490170607
W8A8_span2|W8A8_rmse_span2,wind_balance,120,0.09134526022341388,0.06282833516976623,0.6878116611206707
W8A8_span3|W8A8_rmse_span3,wind_balance,120,0.022553821225744897,0.009929651720785705,0.4402647170693689
W4W8_span1|W4W8_rmse_span1,wind_balance,120,0.17459540110103988,0.13985387287924644,0.8010169339930768
W4W8_span2|W4W8_rmse_span2,wind_balance,120,0.062326203434995765,0.04713589992759059,0.7562774135079771
W4W8_span3|W4W8_rmse_span3,wind_balance,120,0.03576396792203076,0.01955822525758758,0.546869555979543
W8A8_knee|W8A8_rmse_knee,wind_balance,120,4.9012609948862185,8.35789552268703,1.7052541236647727
W8A8_span1|W8A8_rmse_span1,wind_balance,120,0.521789460512272,4.473707252937843,8.573778490170607
W8A8_span2|W8A8_rmse_span2,wind_balance,120,0.09134526022341388,0.06282833516976623,0.6878116611206707
W8A8_span3|W8A8_rmse_span3,wind_balance,120,0.022553821225744897,0.009929651720785705,0.4402647170693689
W4W8_span1|W4W8_rmse_span1,wind_balance,120,0.17459540110103988,0.13985387287924644,0.8010169339930768
W4W8_span2|W4W8_rmse_span2,wind_balance,120,0.062326203434995765,0.04713589992759059,0.7562774135079771
W4W8_span3|W4W8_rmse_span3,wind_balance,120,0.03576396792203076,0.01955822525758758,0.546869555979543
