group,physics,rmse,rank_physics,rank_rmse,rank_delta
encoder_io,0.243101,0.0914179,9.0,2.0,-7.0
film,0.074311,0.013396,14.0,10.0,-4.0
dec2_mlp,0.0470873,0.00872104,18.0,16.0,-2.0
enc0_mlp,0.22188,0.021712,10.0,8.0,-2.0
enc2_mlp,0.0613463,0.0109416,16.0,14.0,-2.0
dec0_mlp,0.0899667,0.01297,12.0,11.0,-1.0
enc1_mlp,0.264856,0.0298208,8.0,7.0,-1.0
cond_embed,0.643021,0.0481874,4.0,4.0,+0.0
dec0_attn,0.042324,0.0071374,19.0,19.0,+0.0
decoder_heads,6.57418,0.0929534,1.0,1.0,+0.0
downsample,0.453766,0.0299077,6.0,6.0,+0.0
dec1_mlp,0.0484527,0.00745461,17.0,18.0,+1.0
decoder_io,1.4841,0.0488445,2.0,3.0,+1.0
enc1_attn,0.183431,0.0124723,11.0,12.0,+1.0
dec1_attn,0.0872493,0.00918331,13.0,15.0,+2.0
enc0_attn,0.877748,0.0472838,3.0,5.0,+2.0
enc2_attn,0.0675964,0.00844645,15.0,17.0,+2.0
upsample,0.586901,0.0160751,5.0,9.0,+4.0
dec2_attn,0.304144,0.0116981,7.0,13.0,+6.0
