group,physics,rmse,rank_physics,rank_rmse,rank_delta
enc1_mlp,0.192101,0.560882,13.0,1.0,-12.0
enc2_mlp,0.0662199,0.0164176,17.0,12.0,-5.0
dec0_attn,0.0482599,0.00786914,19.0,17.0,-2.0
downsample,0.855036,0.108667,6.0,4.0,-2.0
enc0_mlp,0.727327,0.0906615,8.0,6.0,-2.0
dec1_mlp,0.191403,0.00992218,14.0,13.0,-1.0
enc1_attn,1.49926,0.348556,3.0,2.0,-1.0
cond_embed,0.728991,0.0583379,7.0,7.0,+0.0
dec0_mlp,0.296493,0.0319609,10.0,10.0,+0.0
decoder_io,7.17029,0.142704,2.0,3.0,+1.0
enc2_attn,0.0645743,0.00514936,18.0,19.0,+1.0
encoder_io,1.49014,0.0978597,4.0,5.0,+1.0
film,0.101584,0.00807092,15.0,16.0,+1.0
dec1_attn,0.0793903,0.00766511,16.0,18.0,+2.0
dec2_mlp,0.196889,0.00902704,12.0,14.0,+2.0
upsample,0.524881,0.0187737,9.0,11.0,+2.0
enc0_attn,0.961147,0.0482198,5.0,8.0,+3.0
dec2_attn,0.268786,0.0082339,11.0,15.0,+4.0
decoder_heads,7.58396,0.0324692,1.0,9.0,+8.0
