group,physics,rmse,rank_physics,rank_rmse,rank_delta
enc2_mlp,0.0952768,0.028928,12.0,4.0,-8.0
dec1_attn,0.0105489,0.0122733,18.0,13.0,-5.0
dec0_mlp,0.494635,0.0540176,7.0,3.0,-4.0
enc1_mlp,0.0977377,0.0229103,11.0,7.0,-4.0
cond_embed,0.380965,0.0262777,8.0,5.0,-3.0
enc0_attn,0.0406128,0.0156421,14.0,11.0,-3.0
dec0_attn,0.00659805,0.00486377,19.0,17.0,-2.0
dec2_attn,0.0322416,0.00717704,16.0,15.0,-1.0
encoder_io,3.38128,0.0958635,3.0,2.0,-1.0
decoder_io,5.23391,0.477283,1.0,1.0,+0.0
enc0_mlp,0.213097,0.0196574,9.0,9.0,+0.0
enc1_attn,0.037848,0.00704598,15.0,16.0,+1.0
enc2_attn,0.0121284,0.00486355,17.0,18.0,+1.0
dec1_mlp,0.133795,0.0147145,10.0,12.0,+2.0
downsample,0.652928,0.0238634,4.0,6.0,+2.0
dec2_mlp,0.528765,0.0184556,6.0,10.0,+4.0
decoder_heads,4.12143,0.0202521,2.0,8.0,+6.0
film,0.088996,0.00433245,13.0,19.0,+6.0
upsample,0.541694,0.0112519,5.0,14.0,+9.0
