metric,lead,sum_oat,full,ratio,additive_ok
RMSE T850,72,0.008184785644213358,0.00788177251815796,1.0384447946648192,True
RMSE Q700,72,6.05618697591126e-06,5.7725730584934356e-06,1.04913128245307,True
RMSE U500,72,0.02210955321788788,0.0215625524520874,1.0253680897479984,True
RMSE T2M,72,0.005867478748162587,0.007356894016265869,0.797548358748919,False
SpecDiv> Z500,72,-6.904313280150139e-05,-5.7077749079326165e-05,1.2096330691938435,False
SpecDiv< Z500,72,-5.6406496393416696e-05,-4.6194293099688365e-05,1.221070669307357,False
SpecRes Z500,72,-5.225475433690008e-05,-4.376107499410864e-05,1.194092109116033,True
SpecResLog Z500,72,-0.06882270291776298,-0.06542074065924477,1.0520012800869667,True
SpecDivW1 Z500,72,-0.006030271233279017,-0.005928985506839975,1.0170831462350842,True
SpecDiv> T850,72,-0.00015191108468570746,-0.00012547741498565302,1.2106647614877692,False
SpecDiv< T850,72,-0.00012741166089350978,-0.00010670381161617115,1.1940685057421165,True
SpecRes T850,72,-7.251607409367959e-05,-6.798325921408832e-05,1.0666754570462242,True
SpecResLog T850,72,-0.03662474486945131,-0.033436468844075334,1.0953532515722249,True
SpecDivW1 T850,72,-0.019848332905748143,-0.01850378258920942,1.0726635383904048,True
SpecDiv> Q700,72,-0.002529573995464792,-0.0023077792720869184,1.0961074250299967,True
SpecDiv< Q700,72,-0.0018416054275197287,-0.0017054747906513513,1.0798197883748177,True
SpecRes Q700,72,-0.0003112142682463551,-0.00030419538961723447,1.0230735864799017,True
SpecResLog Q700,72,-0.05442344954069297,-0.05376958852855292,1.012160424322251,True
SpecDivW1 Q700,72,-0.16775960477228374,-0.16339278339635238,1.0267259133797757,True
|RQE| Q700,72,-0.020327690057456493,-0.01981692062690854,1.0257744096655663,True
Vag/Vg 850hPa,72,0.006959640110532443,0.006408438831567764,1.0860117874964303,True
|Vag| 850hPa,72,0.08532284696896872,0.07987291216850281,1.0682325791373242,True
Vag/Vg 500hPa,72,0.007184088230133057,0.006962120905518532,1.0318821416098336,True
|Vag| 500hPa,72,0.12504070003827414,0.12217745780944825,1.0234351105364419,True
Vag/Vg 250hPa,72,0.006795040021340053,0.006489792466163635,1.04703502566036,True
|Vag| 250hPa,72,0.19052777687708536,0.18383289575576783,1.0364182976816732,True
div/vort 850hPa,72,0.00846958098312219,0.008323702588677406,1.0175256615539363,True
div/vort 500hPa,72,0.011203248364229998,0.010862641781568528,1.0313557778586975,True
div/vort 250hPa,72,0.008722509567936262,0.008461433276534081,1.0308548543573839,True
HypsRel 600-500,72,5.079303657556431e-05,4.071928493865855e-05,1.2473951016596025,False
|DryAir Md err|,72,2387061505557.333,-2334688897612.8,-1.0224323711814811,False
neg-q fraction,72,0.0010038034415629227,0.0010707562229072209,0.9374714991966014,True
|neg-q mass|,72,45724854485.33333,51597321318.4,0.8861865949042493,True
DKE<1000km 500hPa,72,0.010405824830134709,0.010152627527713776,1.024939091060888,True
DKEpert<1000km 500hPa,72,0.08398335198323062,0.09021591171622276,0.9309150723588887,True
