,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9000,0.7909,0.7818,0.6818,0.6364,0.6909,0.7273,0.7909,0.7182
|Vag| 850hPa,0.9000,1.0000,0.9091,0.9182,0.6545,0.7000,0.5818,0.8182,0.8182,0.8091
Vag/Vg 500hPa,0.7909,0.9091,1.0000,0.9909,0.8000,0.8545,0.6091,0.8818,0.8727,0.6455
|Vag| 500hPa,0.7818,0.9182,0.9909,1.0000,0.8091,0.8636,0.5636,0.8727,0.8455,0.7000
Vag/Vg 250hPa,0.6818,0.6545,0.8000,0.8091,1.0000,0.9727,0.3545,0.7909,0.7000,0.5273
|Vag| 250hPa,0.6364,0.7000,0.8545,0.8636,0.9727,1.0000,0.3182,0.8455,0.7182,0.5455
div/vort 850hPa,0.6909,0.5818,0.6091,0.5636,0.3545,0.3182,1.0000,0.5091,0.7182,0.4273
div/vort 500hPa,0.7273,0.8182,0.8818,0.8727,0.7909,0.8455,0.5091,1.0000,0.9455,0.7545
div/vort 250hPa,0.7909,0.8182,0.8727,0.8455,0.7000,0.7182,0.7182,0.9455,1.0000,0.7364
HypsRel 600-500,0.7182,0.8091,0.6455,0.7000,0.5273,0.5455,0.4273,0.7545,0.7364,1.0000
