group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,distortion,share,norm,rank,significant,lag1_autocorr,n,n_eff
embed,RMSE Z500,24,47.163361152013145,48.295204957326256,1.1318438053131104,0.8107544104258219,1.3723996380964913,2.3998370295642046,0.440664566361956,0.3156537492357469,0.5343209801195089,0.440664566361956,0.13001683501757275,share,3,True,0.050528461307953645,48,43.38257889793468
b0-5_attn,RMSE Z500,24,47.163361152013145,47.319445530573525,0.15608437856038412,0.09231454928716024,0.21732155481974283,0.3309441370332058,0.060768857567904164,0.03594113484525574,0.08461053395018192,0.060768857567904164,0.017929679696830486,share,10,True,-0.05012040727230841,48,53.0654410674564
b0-5_mlp,RMSE Z500,24,47.163361152013145,47.278871059417725,0.11550990740458171,0.052519098917643225,0.18538257877031958,0.2449144941817855,0.044971861857624904,0.020447437925290073,0.07217562467666207,0.044971861857624904,0.013268820753727586,share,11,True,-0.1878213886943926,48,70.20060102995869
b6-11_attn,RMSE Z500,24,47.163361152013145,48.31733743349711,1.153976281483968,1.038301432132721,1.2719510356585184,2.446764296048716,0.4492814779610342,0.4042453986989751,0.49521298692538723,0.4492814779610342,0.1325592304340858,share,2,True,-0.02641777936106143,48,50.60492310243454
b6-11_mlp,RMSE Z500,24,47.163361152013145,47.69745874404907,0.5340975920359293,0.4096602559089661,0.7015764355659484,1.1324417492520709,0.20794201698561127,0.15949440919183466,0.27314712003297154,0.20794201698561127,0.06135270448187692,share,5,True,0.03176393276448584,48,45.04453950312034
b12-17_attn,RMSE Z500,24,47.163361152013145,47.43180457750956,0.26844342549641925,0.101549498240153,0.3908481657505035,0.5691778934736946,0.10451398429165164,0.0395366086700381,0.15217023467841967,0.10451398429165164,0.030836555715976002,share,9,True,0.37967096609627515,48,21.581807807138418
b12-17_mlp,RMSE Z500,24,47.163361152013145,47.543322483698525,0.3799613316853841,0.3029935956001282,0.4519269128640491,0.8056281876533848,0.14793162685122635,0.11796551855372316,0.17595022930698626,0.14793162685122635,0.04364680845792989,share,8,True,0.03697530537312816,48,44.576939395347445
b18-23_attn,RMSE Z500,24,47.163361152013145,47.643021742502846,0.4796605904897054,0.39120334188143413,0.5449174304803213,1.0170195227259184,0.1867478755609685,0.15230851659946207,0.21215454118181465,0.1867478755609685,0.05509943294771079,share,6,True,-0.1282455241826443,48,62.122749768494785
b18-23_mlp,RMSE Z500,24,47.163361152013145,47.77838404973348,0.6150228977203369,0.5076058487097422,0.7265481452147166,1.3040268604649374,0.23944893920379054,0.19762789720140922,0.2828694399785642,0.23944893920379054,0.07064873284597224,share,4,True,0.2654224620645191,48,27.863992364555735
adaln,RMSE Z500,24,47.163361152013145,46.72822078069051,-0.43514037132263184,-0.6600306371847788,-0.1837698519229892,-0.9226237500760865,-0.16941466846869616,-0.2569719542178132,-0.07154773629356266,0.16941466846869616,-0.049985319177577724,share,7,True,0.2743991038246496,48,27.329619827800098
head,RMSE Z500,24,47.163361152013145,49.65812603632609,2.4947648843129477,2.3302027702331545,2.642430939277013,5.289624876971814,0.9712952270977689,0.9072257041652138,1.0287865503454316,0.9712952270977689,0.2865779119422047,share,1,True,0.048404484139050484,48,43.567712130528676
