metric,lead,sum_oat,full,ratio,additive_ok
RMSE Q700,120,6.928130460437387e-06,4.739061114378273e-06,1.4619204718456775,False
SpecDiv> Z500,120,-0.0002793119516960966,-0.0002601253829197958,1.073758925641703,True
SpecDiv< Z500,120,-0.00020152451179455966,-0.00018920105067081748,1.0651342108304844,True
SpecRes Z500,120,-0.00010531464552817245,-8.559956768294796e-05,1.2303174931706093,False
SpecResLog Z500,120,-0.10158161051621069,-0.09107879145842876,1.1153157490300665,True
SpecDivW1 Z500,120,-0.010596423795320095,-0.009342452977733447,1.1342228663687501,True
|RQE| Z500,120,-0.0002648646255162627,-0.0003292783527285792,0.8043791015153308,True
SpecDiv> T850,120,-0.00044970185748146224,-0.00040988156688399614,1.0971507230739554,True
SpecDiv< T850,120,-0.0003500663709322301,-0.00032175665837712585,1.087984853826779,True
SpecRes T850,120,-0.00014989689104064988,-0.0001485850960307289,1.0088285773268248,True
SpecResLog T850,120,-0.052537860617989526,-0.048765792153892096,1.0773507062531409,True
SpecDivW1 T850,120,-0.025807600036093094,-0.024978427111245344,1.0331955619605229,True
SpecDiv> Q700,120,-0.006543808267451823,-0.0058935817796736956,1.110327897717596,True
SpecDiv< Q700,120,-0.004184530194227894,-0.0037976352963596583,1.101877844415209,True
SpecRes Q700,120,-0.0005841192566246415,-0.0005512159783393145,1.059692170724907,True
SpecResLog Q700,120,-0.09358825950743967,-0.09001633198545075,1.0396808828265325,True
SpecDivW1 Q700,120,-0.20904249699075558,-0.19735310643153384,1.0592308414627214,True
|RQE| Q700,120,-0.027508489787578583,-0.026052708365023138,1.0558783141529307,True
Vag/Vg 850hPa,120,0.007603398834665616,0.007382795959711075,1.0298806679960277,True
|Vag| 850hPa,120,0.1033139924208323,0.09816292524337769,1.0524746707036639,True
Vag/Vg 500hPa,120,0.008093805673221747,0.008063857257366181,1.003713906992613,True
|Vag| 500hPa,120,0.14518613616625467,0.14414479732513427,1.00722425547397,True
Vag/Vg 250hPa,120,0.009364376155038675,0.008546599745750427,1.0956844164481747,True
|Vag| 250hPa,120,0.2663482427597046,0.2464776635169983,1.0806181743171868,True
div/vort 850hPa,120,0.010245745070278645,0.01024302765727043,1.00026529392472,True
div/vort 500hPa,120,0.01403957698494196,0.013584453240036964,1.0335032803207438,True
div/vort 250hPa,120,0.010792875662446022,0.010665837675333023,1.0119107369697553,True
HypsRel 600-500,120,0.00011957501727652366,9.806813898190774e-05,1.2193054596313249,False
|DryAir Md err|,120,1044389416960.0002,-2438746589440.0,-0.42824843773531196,False
neg-q fraction,120,0.000959983093404541,0.0009387677113409154,1.0225991816796958,True
|neg-q mass|,120,46157685909.33334,39956723020.8,1.1551919782136626,True
DKE<1000km 500hPa,120,0.0124950942893823,0.013268975168466568,0.9416774189974084,True
DKEpert<1000km 500hPa,120,0.10906083711688552,0.12464212793856859,0.874991777825211,True
