,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.8364,0.7909,0.8273,0.5182,0.5273,0.7636,0.5455,0.5636,-0.2364
|Vag| 850hPa,0.8364,1.0000,0.7455,0.9364,0.6455,0.6727,0.9636,0.8545,0.7727,-0.2273
Vag/Vg 500hPa,0.7909,0.7455,1.0000,0.9000,0.6182,0.6636,0.7727,0.6636,0.6727,0.1727
|Vag| 500hPa,0.8273,0.9364,0.9000,1.0000,0.6364,0.6909,0.9091,0.8091,0.7727,-0.0364
Vag/Vg 250hPa,0.5182,0.6455,0.6182,0.6364,1.0000,0.9909,0.6091,0.7818,0.7000,-0.0818
|Vag| 250hPa,0.5273,0.6727,0.6636,0.6909,0.9909,1.0000,0.6364,0.8000,0.7364,-0.0545
div/vort 850hPa,0.7636,0.9636,0.7727,0.9091,0.6091,0.6364,1.0000,0.8727,0.7727,-0.1273
div/vort 500hPa,0.5455,0.8545,0.6636,0.8091,0.7818,0.8000,0.8727,1.0000,0.9273,-0.0909
div/vort 250hPa,0.5636,0.7727,0.6727,0.7727,0.7000,0.7364,0.7727,0.9273,1.0000,-0.1000
HypsRel 600-500,-0.2364,-0.2273,0.1727,-0.0364,-0.0818,-0.0545,-0.1273,-0.0909,-0.1000,1.0000
