,Vag/Vg 850hPa,|Vag| 850hPa,Vag/Vg 500hPa,|Vag| 500hPa,Vag/Vg 250hPa,|Vag| 250hPa,div/vort 850hPa,div/vort 500hPa,div/vort 250hPa,HypsRel 600-500
Vag/Vg 850hPa,1.0000,0.9818,0.8909,0.8818,0.9091,0.8727,0.4091,0.9545,0.9000,0.0000
|Vag| 850hPa,0.9818,1.0000,0.9182,0.9000,0.9545,0.9182,0.3636,0.9636,0.9000,0.0727
Vag/Vg 500hPa,0.8909,0.9182,1.0000,0.9909,0.9727,0.9636,0.4455,0.9091,0.9273,0.1909
|Vag| 500hPa,0.8818,0.9000,0.9909,1.0000,0.9455,0.9273,0.4727,0.9000,0.9091,0.2273
Vag/Vg 250hPa,0.9091,0.9545,0.9727,0.9455,1.0000,0.9909,0.3455,0.9182,0.9455,0.1909
|Vag| 250hPa,0.8727,0.9182,0.9636,0.9273,0.9909,1.0000,0.3364,0.8727,0.9545,0.2000
div/vort 850hPa,0.4091,0.3636,0.4455,0.4727,0.3455,0.3364,1.0000,0.4455,0.3727,-0.3091
div/vort 500hPa,0.9545,0.9636,0.9091,0.9000,0.9182,0.8727,0.4455,1.0000,0.8455,0.0364
div/vort 250hPa,0.9000,0.9000,0.9273,0.9091,0.9455,0.9545,0.3727,0.8455,1.0000,0.1636
HypsRel 600-500,0.0000,0.0727,0.1909,0.2273,0.1909,0.2000,-0.3091,0.0364,0.1636,1.0000
