group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,distortion,share,norm,rank,significant,lag1_autocorr,n,n_eff
embed,RMSE Z500,24,47.163361152013145,47.77319073677063,0.6098295847574869,0.5183990021546682,0.6715990245342255,1.2930155312551481,0.23742700915123957,0.20183003203676364,0.2614759134840309,0.23742700915123957,1.0,colmax,1,True,-0.001803653368884736,48,48.17346359160431
b0-5_attn,RMSE Z500,24,47.163361152013145,47.170505126317344,0.007143974304199219,-0.002185624837875366,0.015373909473419177,0.01514729682045632,0.0027813876120389453,-0.0008509366901079001,0.0059855760305354885,0.0027813876120389453,0.0117147060142059,colmax,10,False,-0.03173810054983831,48,51.146728849410124
b0-5_mlp,RMSE Z500,24,47.163361152013145,47.198506593704224,0.03514544169108073,0.023457380135854085,0.04626618425051371,0.07451852631495616,0.013683293356997361,0.009132740928589652,0.018012969567240716,0.013683293356997361,0.05763157867301098,colmax,4,True,0.05499416760246837,48,42.99576371892674
b6-11_attn,RMSE Z500,24,47.163361152013145,47.20326821009318,0.03990705808003744,0.024516270558039347,0.05289788246154785,0.08461453362370044,0.015537149526348512,0.009545002308231177,0.020594911000052007,0.015537149526348512,0.0654396885252909,colmax,3,True,-0.06593422829452292,48,54.77648845296735
b6-11_mlp,RMSE Z500,24,47.163361152013145,47.15059121449789,-0.012769937515258789,-0.025280292828877768,-0.0032406250635782915,-0.027075969997345514,-0.004971762845027965,-0.009842461675936736,-0.0012616834864315645,0.004971762845027965,-0.02094017383616614,colmax,7,True,0.08360853229683875,48,40.59287938284912
b12-17_attn,RMSE Z500,24,47.163361152013145,47.17381056149801,0.010449409484863281,-0.005155559380849202,0.02775257031122843,0.02215577776822052,0.004068303839956044,-0.0020072313231300877,0.010805001806979906,0.004068303839956044,0.01713496646611321,colmax,9,False,0.3483155640940511,48,23.199949445442698
b12-17_mlp,RMSE Z500,24,47.163361152013145,47.151793559392296,-0.01156759262084961,-0.01713404655456543,-0.0038307428359985367,-0.0245266502180917,-0.004503649851852408,-0.00667085613717206,-0.0014914360291988175,0.004503649851852408,-0.018968565825565407,colmax,8,True,0.16903070226592898,48,34.11931458594156
b18-23_attn,RMSE Z500,24,47.163361152013145,47.17997725804647,0.016616106033325195,0.009864592552185058,0.026392891009648638,0.03523096239848025,0.006469204607056142,0.0038406150910049583,0.010275633278381355,0.006469204607056142,0.027247130097718987,colmax,6,True,0.06951847607323539,48,41.760020184472616
b18-23_mlp,RMSE Z500,24,47.163361152013145,47.13547468185425,-0.027886470158894856,-0.037924563884735106,-0.016145080327987674,-0.0591274020293283,-0.01085713348630781,-0.01476529837446071,-0.006285818580456409,0.01085713348630781,-0.04572829993150392,colmax,5,True,0.10441878847171356,48,38.92354838769456
adaln,RMSE Z500,24,47.163361152013145,47.163814862569176,0.00045371055603027344,-0.0036284248034159344,0.004188559452692665,0.0009619979258219323,0.00017664466111701085,-0.0014126668671671774,0.0016307459794697393,0.00017664466111701085,0.0007439956462766596,colmax,11,False,0.022946971257721358,48,45.84650690344901
