model,pair,scheme,declared,ratio_24h,ratio_72h,ratio_120h,ratio_168h,loglog_slope
Aurora,W4W8_span1,W4W8,False,0.235793,0.180668,0.217151,0.166033,-0.135502
Aurora,W4W8_span2,W4W8,False,0.538861,0.507745,0.680447,0.411314,-0.0476897
Aurora,W4W8_span3,W4W8,False,0.343506,0.217025,0.266839,0.311254,-0.0737572
Aurora,W8A8_knee,W8A8,False,1.77183,1.70074,1.69798,1.68228,-0.0262372
Aurora,W8A8_span1,W8A8,True,12.971,8.82895,8.62311,7.02961,-0.293417
Aurora,W8A8_span2,W8A8,False,0.234407,0.598409,0.703442,0.245891,0.215164
Aurora,W8A8_span3,W8A8,False,0.594442,0.436256,0.434561,0.470896,-0.139204
Aurora,W8A8_sq_knee,W8A8_sq,False,0.970484,0.95729,0.946079,0.931322,-0.0196855
Aurora,W8A8_sq_span1,W8A8_sq,False,0.756455,0.692529,0.651136,0.601859,-0.110655
Aurora,W8A8_sq_span2,W8A8_sq,False,0.741346,0.786816,1.13161,1.15287,0.244455
Aurora,W8A8_sq_span3,W8A8_sq,False,0.323386,0.317389,0.283548,0.468899,0.107557
Stormer,W4W8_span1,W4W8,False,4.77861,3.91286,2.89615,2.63728,-0.311402
Stormer,W4W8_span2,W4W8,False,0.879646,0.63551,0.496127,0.653354,-0.215305
Stormer,W4W8_span3,W4W8,False,1.8427,1.7598,1.65115,1.32952,-0.138939
Stormer,W8A8_span1,W8A8,True,2.10244,2.39872,3.55884,6.64491,0.519388
Stormer,W8A8_span2,W8A8,False,1.88254,2.4539,3.69011,5.97097,0.546841
Stormer,W8A8_span3,W8A8,False,1.70624,1.52496,1.77246,4.2583,0.341107
