cost,balance,conservation,protected,config,standard
2.28207e+08,11.8753,2.84101,,,1.44101
2.28348e+08,6.64788,2.7884,,W8:head,1.09723
2.28731e+08,10.0669,0.951818,,W8:embed,1.23364
2.28872e+08,4.83941,0.899211,,W8:embed|head,0.889862
2.29155e+08,4.77466,0.872304,head,bf16:head;W8:embed,0.886978
2.30203e+08,4.59091,0.843063,embed|head,bf16:embed|head,0.88015
2.42786e+08,4.13631,0.742256,embed|head,bf16:embed|head;W8:b18-23_attn,0.798072
2.55369e+08,2.04107,1.03224,embed|head,bf16:embed|head;W8:b18-23_mlp,0.571362
2.67952e+08,1.58647,0.931435,embed|head,bf16:embed|head;W8:b18-23_attn|b18-23_mlp,0.489285
3.19332e+08,3.28664,0.241643,embed|head,bf16:embed|head;W8:adaln|b18-23_attn,0.754527
3.44498e+08,0.736794,0.430823,embed|head,bf16:embed|head;W8:adaln|b18-23_attn|b18-23_mlp,0.44574
3.44498e+08,3.1517,0.16313,embed|head,bf16:embed|head;W8:adaln|b12-17_mlp|b18-23_attn,0.708127
3.57081e+08,0.63881,0.431019,embed|head,bf16:embed|head;W8:adaln|b18-23_attn|b18-23_mlp|b6-11_attn,0.250726
3.57081e+08,3.1046,0.143337,embed|head,bf16:embed|head;W8:adaln|b0-5_attn|b12-17_mlp|b18-23_attn,0.689376
3.82247e+08,2.97737,0.112416,embed|head,bf16:embed|head;W8:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b6-11_mlp,0.598554
3.9483e+08,0.423072,0.344126,embed|head,bf16:embed|head;W8:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn,0.139635
4.19996e+08,0.295836,0.313204,embed|head,bf16:embed|head;W8:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.0488124
4.32579e+08,2.86733,0.0747111,embed|b18-23_attn|head,bf16:b18-23_attn|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b6-11_mlp,0.583168
4.45161e+08,2.78653,0.066331,embed|b18-23_attn|head,bf16:b18-23_attn|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b6-11_mlp,0.518476
4.57744e+08,0.159939,0.274627,embed|head,bf16:embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.0171707
4.8291e+08,0.173595,0.0808375,embed|b18-23_mlp|head,bf16:b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp,0.0274082
5.08076e+08,0.0847925,0.062053,embed|b18-23_mlp|head,bf16:b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp,0.014517
5.33242e+08,0.0635592,0.0431327,embed|b18-23_attn|b18-23_mlp|head,bf16:b18-23_attn|b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b6-11_attn|b6-11_mlp,0.0120216
5.70991e+08,0.144932,0.0272309,embed|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b6-11_mlp,0.205843
6.08739e+08,0.0388622,0.0193731,embed|b6-11_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b6-11_mlp,0.00755572
6.33905e+08,0.0325958,0.0153142,embed|b0-5_attn|b6-11_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b0-5_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head;W8:adaln|b0-5_mlp|b12-17_attn|b6-11_mlp,0.00662185
6.59071e+08,0.0265972,0.0133739,embed|b0-5_attn|b6-11_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head;W8:adaln|b0-5_mlp|b6-11_mlp,0.00546952
6.59071e+08,0.0298202,0.00928147,embed|b6-11_attn|b6-11_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn,0.00439724
6.84237e+08,0.0235538,0.00522263,embed|b0-5_attn|b6-11_attn|b6-11_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b0-5_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp|b12-17_attn,0.00346338
7.09403e+08,0.0175552,0.00328232,embed|b0-5_attn|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp,0.00231104
7.59734e+08,0.0098939,0.00110347,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|head,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln,0.00186876
9.12826e+08,0,0,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,0
