cost,balance,conservation,protected,config
0,0.900889,0.341421,,
6.16075e-05,0.89354,0.322792,adaln,bf16:adaln
0.000931708,0.621616,0.297408,head,bf16:head
0.000993315,0.614267,0.278779,adaln|head,bf16:adaln|head
0.00438848,0.126629,0.174518,embed|head,bf16:embed|head
0.00445009,0.11928,0.155889,embed|adaln|head,bf16:adaln|embed|head
0.170375,0.0747664,0.0706919,embed|b18-23_mlp|adaln|head,bf16:adaln|b18-23_mlp|embed|head
0.253338,0.0509651,0.0371451,embed|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b18-23_attn|b18-23_mlp|embed|head
0.3363,0.0411828,0.017194,embed|b6-11_attn|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.3363,0.0393749,0.0362451,embed|b12-17_attn|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b12-17_attn|b18-23_attn|b18-23_mlp|embed|head
0.419263,0.0295925,0.0162939,embed|b6-11_attn|b12-17_attn|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.419263,0.038146,0.00666058,embed|b0-5_attn|b6-11_attn|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.502225,0.0265558,0.0057605,embed|b0-5_attn|b6-11_attn|b12-17_attn|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.585188,0.015948,0.0160062,embed|b6-11_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.66815,0.0129113,0.00547277,embed|b0-5_attn|b6-11_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.751113,0.00884655,0.0132595,embed|b0-5_mlp|b6-11_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.751113,0.0252347,0.00118782,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b6-11_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
0.834075,0.00580981,0.00272612,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head
0.834075,0.0136445,0.000287734,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b6-11_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
1,0,0,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
