seed,k,cost,config
0,0,0,
0,1,0.165925,bf16:b6-11_mlp
0,2,0.33185,bf16:b12-17_mlp|b6-11_mlp
0,3,0.414812,bf16:b12-17_mlp|b18-23_attn|b6-11_mlp
0,4,0.580737,bf16:b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_mlp
0,5,0.584194,bf16:b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_mlp|embed
0,6,0.667157,bf16:b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed
0,7,0.750119,bf16:b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed
0,8,0.751051,bf16:b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
0,9,0.751113,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
0,10,0.917038,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
0,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
1,0,0,
1,1,0.0829625,bf16:b18-23_attn
1,2,0.0838942,bf16:b18-23_attn|head
1,3,0.166857,bf16:b12-17_attn|b18-23_attn|head
1,4,0.332782,bf16:b12-17_attn|b18-23_attn|b6-11_mlp|head
1,5,0.336238,bf16:b12-17_attn|b18-23_attn|b6-11_mlp|embed|head
1,6,0.419201,bf16:b0-5_attn|b12-17_attn|b18-23_attn|b6-11_mlp|embed|head
1,7,0.585126,bf16:b0-5_attn|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
1,8,0.751051,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
1,9,0.751113,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
1,10,0.917038,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
1,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
2,0,0,
2,1,0.165925,bf16:b0-5_mlp
2,2,0.169382,bf16:b0-5_mlp|embed
2,3,0.169443,bf16:adaln|b0-5_mlp|embed
2,4,0.252406,bf16:adaln|b0-5_mlp|b18-23_attn|embed
2,5,0.253338,bf16:adaln|b0-5_mlp|b18-23_attn|embed|head
2,6,0.3363,bf16:adaln|b0-5_mlp|b12-17_attn|b18-23_attn|embed|head
2,7,0.502225,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|embed|head
2,8,0.585188,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|embed|head
2,9,0.751113,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
2,10,0.917038,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
2,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
3,0,0,
3,1,6.16075e-05,bf16:adaln
3,2,0.0830241,bf16:adaln|b18-23_attn
3,3,0.0864809,bf16:adaln|b18-23_attn|embed
3,4,0.252406,bf16:adaln|b0-5_mlp|b18-23_attn|embed
3,5,0.335368,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|embed
3,6,0.501293,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|b6-11_mlp|embed
3,7,0.667218,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_mlp|embed
3,8,0.66815,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_mlp|embed|head
3,9,0.751113,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed|head
3,10,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
3,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
4,0,0,
4,1,0.0829625,bf16:b0-5_attn
4,2,0.0864193,bf16:b0-5_attn|embed
4,3,0.252344,bf16:b0-5_attn|b18-23_mlp|embed
4,4,0.418269,bf16:b0-5_attn|b0-5_mlp|b18-23_mlp|embed
4,5,0.419201,bf16:b0-5_attn|b0-5_mlp|b18-23_mlp|embed|head
4,6,0.419263,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_mlp|embed|head
4,7,0.502225,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|b18-23_mlp|embed|head
4,8,0.66815,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|embed|head
4,9,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_mlp|embed|head
4,10,0.917038,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
4,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
5,0,0,
5,1,0.000931708,bf16:head
5,2,0.0838942,bf16:b18-23_attn|head
5,3,0.166857,bf16:b0-5_attn|b18-23_attn|head
5,4,0.249819,bf16:b0-5_attn|b18-23_attn|b6-11_attn|head
5,5,0.415744,bf16:b0-5_attn|b0-5_mlp|b18-23_attn|b6-11_attn|head
5,6,0.581669,bf16:b0-5_attn|b0-5_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|head
5,7,0.747594,bf16:b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|head
5,8,0.751051,bf16:b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
5,9,0.751113,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
5,10,0.834075,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head
5,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,0,0,
6,1,0.165925,bf16:b6-11_mlp
6,2,0.165987,bf16:adaln|b6-11_mlp
6,3,0.331912,bf16:adaln|b0-5_mlp|b6-11_mlp
6,4,0.332843,bf16:adaln|b0-5_mlp|b6-11_mlp|head
6,5,0.498768,bf16:adaln|b0-5_mlp|b12-17_mlp|b6-11_mlp|head
6,6,0.581731,bf16:adaln|b0-5_mlp|b12-17_mlp|b6-11_attn|b6-11_mlp|head
6,7,0.747656,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|head
6,8,0.751113,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,9,0.834075,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,10,0.917038,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
6,11,1,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
7,0,0,
7,1,0.165925,bf16:b6-11_mlp
7,2,0.33185,bf16:b12-17_mlp|b6-11_mlp
7,3,0.332782,bf16:b12-17_mlp|b6-11_mlp|head
7,4,0.336238,bf16:b12-17_mlp|b6-11_mlp|embed|head
7,5,0.419201,bf16:b0-5_attn|b12-17_mlp|b6-11_mlp|embed|head
7,6,0.502163,bf16:b0-5_attn|b12-17_mlp|b6-11_attn|b6-11_mlp|embed|head
7,7,0.668088,bf16:b0-5_attn|b12-17_mlp|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
7,8,0.751051,bf16:b0-5_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head
