cost,balance,conservation,protected,config,standard
0,0.950237,0.407754,,,0.0788822
6.16075e-05,0.944154,0.40342,adaln,bf16:adaln,0.0785819
0.00345677,0.45525,0.284864,embed,bf16:embed,0.0431769
0.00351838,0.449167,0.28053,embed|adaln,bf16:adaln|embed,0.0428766
0.00445009,0.347381,0.25148,embed|adaln|head,bf16:adaln|embed|head,0.0402467
0.170375,0.115564,0.0812953,embed|b18-23_mlp|adaln|head,bf16:adaln|b18-23_mlp|embed|head,0.0355839
0.253338,0.093595,0.0638082,embed|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b18-23_attn|b18-23_mlp|embed|head,0.0309362
0.3363,0.0673678,0.0636428,embed|b0-5_mlp|b18-23_mlp|adaln|head,bf16:adaln|b0-5_mlp|b18-23_mlp|embed|head,0.0254119
0.419263,0.0453992,0.0461556,embed|b0-5_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_mlp|b18-23_attn|b18-23_mlp|embed|head,0.0207643
0.502225,0.071355,0.0247896,embed|b6-11_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,0.0204481
0.66815,0.0231592,0.00713705,embed|b0-5_mlp|b6-11_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,0.0102762
0.751113,0.0179914,0.00253083,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,0.0091623
0.834075,0.0121187,0.000436543,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,0.00791603
0.917038,0.00516785,0.00460622,embed|b0-5_mlp|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,0.00111388
1,0,0,embed|b0-5_attn|b0-5_mlp|b6-11_attn|b6-11_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|adaln|head,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,0
