tag,family,lead,block,value,floor_value,removed_pct,ci_lo,ci_hi,significant
W8A8_knee,dry_air_mass,120,1,0.14703612228836763,0.06745282916321943,-117.98362516800593,-5115.429715341933,87.19194323078075,False
W8A8_span1,dry_air_mass,120,1,0.05585449207355557,0.06745282916321943,17.194737764962696,-1572.6731282142398,90.37248412826459,False
W8A8_rmse_span1,dry_air_mass,120,1,0.07796161402902531,0.06745282916321943,-15.579457520420936,-3989.2959691317433,92.41416930630317,False
W8A8_probe_divergent,dry_air_mass,120,1,0.3722536247910924,0.06745282916321943,-451.87251507320656,-7736.41118539127,12.598887340179285,False
W8A8_probe_rmse_favoured,dry_air_mass,120,1,0.05733366360945543,0.06745282916321943,15.001840070011118,-402.8816914169542,86.35565425374801,False
W8A8_knee,dry_air_mass,120,2,0.14703612228836763,0.06745282916321943,-117.98362516800593,-4547.283846416744,91.85457903303914,False
W8A8_span1,dry_air_mass,120,2,0.05585449207355557,0.06745282916321943,17.194737764962696,-1990.4131233885569,82.07896319237112,False
W8A8_rmse_span1,dry_air_mass,120,2,0.07796161402902531,0.06745282916321943,-15.579457520420936,-3548.5478032076203,95.03378620697146,False
W8A8_probe_divergent,dry_air_mass,120,2,0.3722536247910924,0.06745282916321943,-451.87251507320656,-7847.065772775119,-106.97248005463534,True
W8A8_probe_rmse_favoured,dry_air_mass,120,2,0.05733366360945543,0.06745282916321943,15.001840070011118,-331.3061881716777,87.42954228368218,False
W8A8_knee,dry_air_mass,120,3,0.14703612228836763,0.06745282916321943,-117.98362516800593,-2453.359835406913,86.59311281621709,False
W8A8_span1,dry_air_mass,120,3,0.05585449207355557,0.06745282916321943,17.194737764962696,-856.2144418933345,88.09477144014187,False
W8A8_rmse_span1,dry_air_mass,120,3,0.07796161402902531,0.06745282916321943,-15.579457520420936,-2211.7945441291104,96.44922987022238,False
W8A8_probe_divergent,dry_air_mass,120,3,0.3722536247910924,0.06745282916321943,-451.87251507320656,-3354.6087373809487,-102.49722928636946,True
W8A8_probe_rmse_favoured,dry_air_mass,120,3,0.05733366360945543,0.06745282916321943,15.001840070011118,-165.08491336541664,80.60124344687715,False
