tag,floor,guide,predicted_cost,balance,conservation,config,model_size_gb,latency_s_per_step,vram_peak_gb,vram_reserved_gb,n_inits,rollout_intervals,forwards_per_init
W4W8_floor,W4,uniform,2.28207e+08,13.432998629199789,0.3874733444044338,,0.334916468,1.5407929427123495,9.865421824,16.678649856,12,"6,12,24",49
ceiling,bf16,uniform,9.12826e+08,0.00178796052969601,0.001978935012942726,,1.87517712,1.534550509548613,11.403994112,18.217959424,12,"6,12,24",49
W4W8_knee,W4,physics,2.28348e+08,8.023313294671809,0.7097393834493643,W8:head,0.335025652,1.5410976660703974,9.965041664,16.817061888,12,"6,12,24",49
W4W8_span1,W4,physics,3.9483e+08,0.43242750728179763,0.10299176311277836,bf16:embed|head;W8:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn,0.466274556,1.5385826892286008,10.100780032,17.054040064,12,"6,12,24",49
W4W8_span2,W4,physics,5.70991e+08,0.1847258804234365,0.2243276006348292,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b6-11_mlp,0.881179404,1.5328804977304702,10.569342976,13.077839872,12,"6,12,24",49
W4W8_span3,W4,physics,7.59734e+08,0.01644879052122646,0.006863929302378415,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln,1.417717052,1.517322338552081,11.151168512,13.797163008,12,"6,12,24",49
W4W8_rmse_span1,W4,rmse,3.56033e+08,1.378208335093836,0.9448347296282525,bf16:embed|head;W8:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.436046332,1.5417144191118755,10.249504768,12.98137088,12,"6,12,24",49
W4W8_rmse_span2,W4,rmse,5.58408e+08,0.0852690340705256,0.10506345369812174,bf16:b18-23_attn|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp,0.815484876,1.537926475983113,10.654030848,17.607688192,12,"6,12,24",49
W4W8_rmse_span3,W4,rmse,7.09403e+08,0.027292026638549877,0.027694245643037175,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp,1.267101132,1.5323639758197325,11.157475328,13.870563328,12,"6,12,24",49
W4W8_rmseup_span1,W4,rmse,4.57744e+08,0.0809181075010638,0.08799597817404772,bf16:embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.51448454,1.5423548547551036,10.457097216,17.272143872,12,"6,12,24",49
W4W8_rmseup_span2,W4,rmse,6.33905e+08,0.02951348798728631,0.06921793914888684,bf16:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp,1.041292972,1.5329331926934953,11.036792832,13.545504768,12,"6,12,24",49
W4W8_rmseup_span3,W4,rmse,8.62495e+08,0.012320499534646694,0.018463592946758346,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:b0-5_mlp,1.724561712,1.53675498031745,11.770317824,18.59125248,12,"6,12,24",49
W8A8_floor,W8A8,uniform,0,1.1351337329552151,0.09527600358207228,,0.50751569,1.4926815125093396,10.580076032,17.509122048,12,"6,12,24",49
W8A8_knee,W8A8,physics,0.00345677,0.5235166589258278,0.20768608652340032,bf16:embed,0.51065662,1.4923346927722119,10.668825088,17.548967936,12,"6,12,24",49
