tag,floor,guide,lead,balance,conservation
W4W8_floor,W4,uniform,24,2.3362711046340383,0.4848267270273059
W4W8_floor,W4,uniform,72,5.6054926970150065,0.4006504833875845
W4W8_floor,W4,uniform,120,13.432998629199789,0.3874733444044338
W4W8_floor,W4,uniform,168,20.85588189893323,0.02045788508350014
ceiling,bf16,uniform,24,0.0004806446060623202,2.089817211739881e-05
ceiling,bf16,uniform,72,0.0003528638904572246,0.0008706643252303706
ceiling,bf16,uniform,120,0.00178796052969601,0.001978935012942726
ceiling,bf16,uniform,168,0.0037376872323311456,0.001976940603611816
W4W8_knee,W4,physics,24,1.5096444720342694,0.23588924263123953
W4W8_knee,W4,physics,72,3.3901777769441446,0.8092189595754873
W4W8_knee,W4,physics,120,8.023313294671809,0.7097393834493643
W4W8_knee,W4,physics,168,12.512162192696636,0.0808952856767185
W4W8_span1,W4,physics,24,0.06636617979064541,0.02319738658814683
W4W8_span1,W4,physics,72,0.16393098915795865,0.007396833915235572
W4W8_span1,W4,physics,120,0.43242750728179763,0.10299176311277836
W4W8_span1,W4,physics,168,0.7335921674544822,0.12894363133746237
W4W8_span2,W4,physics,24,0.03982123254093058,0.019140816037473654
W4W8_span2,W4,physics,72,0.08636985949436661,0.07869113023450372
W4W8_span2,W4,physics,120,0.1847258804234365,0.2243276006348292
W4W8_span2,W4,physics,168,0.2638895470249161,0.13762832016278148
W4W8_span3,W4,physics,24,0.005341821168574766,0.00043409823718774357
W4W8_span3,W4,physics,72,0.00978833120656135,0.001867980784434105
W4W8_span3,W4,physics,120,0.01644879052122646,0.006863929302378415
W4W8_span3,W4,physics,168,0.01229489428639175,0.005353479765710785
W4W8_rmse_span1,W4,rmse,24,0.3577332674536761,0.09646484742133389
W4W8_rmse_span1,W4,rmse,72,0.6705132111755753,1.2922582766979671
W4W8_rmse_span1,W4,rmse,120,1.378208335093836,0.9448347296282525
W4W8_rmse_span1,W4,rmse,168,1.9581657032438038,0.2490591562771326
W4W8_rmse_span2,W4,rmse,24,0.020810005258552117,0.05075642728905799
W4W8_rmse_span2,W4,rmse,72,0.04742331405743223,0.14487401574345965
W4W8_rmse_span2,W4,rmse,120,0.0852690340705256,0.10506345369812174
W4W8_rmse_span2,W4,rmse,168,0.1604334222307372,0.283887971532408
W4W8_rmse_span3,W4,rmse,24,0.009390814328854061,0.00909165443778026
W4W8_rmse_span3,W4,rmse,72,0.01736274378435211,0.0014466749701382824
W4W8_rmse_span3,W4,rmse,120,0.027292026638549877,0.027694245643037175
W4W8_rmse_span3,W4,rmse,168,0.01643487235625363,0.021666700853519277
W4W8_rmseup_span1,W4,rmse,24,0.01919589011282836,0.06157144393234984
W4W8_rmseup_span1,W4,rmse,72,0.036704421858320326,0.16540877345857496
W4W8_rmseup_span1,W4,rmse,120,0.0809181075010638,0.08799597817404772
W4W8_rmseup_span1,W4,rmse,168,0.17271523116227872,0.2867967984731744
W4W8_rmseup_span2,W4,rmse,24,0.006200961508477308,0.010495449964611499
W4W8_rmseup_span2,W4,rmse,72,0.013645625104686717,0.00631822017632078
W4W8_rmseup_span2,W4,rmse,120,0.02951348798728631,0.06921793914888684
W4W8_rmseup_span2,W4,rmse,168,0.039830997346883466,0.039158980472832665
W4W8_rmseup_span3,W4,rmse,24,0.004580466370493408,0.008489895998819868
W4W8_rmseup_span3,W4,rmse,72,0.008035023757020894,0.0004508412079365605
W4W8_rmseup_span3,W4,rmse,120,0.012320499534646694,0.018463592946758346
W4W8_rmseup_span3,W4,rmse,168,0.007647956483477633,0.013983677844433601
W8A8_floor,W8A8,uniform,24,0.5123691985184177,0.05493636125316722
W8A8_floor,W8A8,uniform,72,0.6818055891455906,0.060494206673300556
W8A8_floor,W8A8,uniform,120,1.1351337329552151,0.09527600358207228
W8A8_floor,W8A8,uniform,168,1.3191505436324342,0.006818281592879484
W8A8_knee,W8A8,physics,24,0.1459866391144162,0.05650425009235453
W8A8_knee,W8A8,physics,72,0.26345807556697476,0.1395849389300282
W8A8_knee,W8A8,physics,120,0.5235166589258278,0.20768608652340032
W8A8_knee,W8A8,physics,168,0.6966804831035498,0.23980597738629642
W8A8_span1,W8A8,physics,24,0.059643398737043475,0.02448449499316529
W8A8_span1,W8A8,physics,72,0.08004142268883944,0.010337716965939034
W8A8_span1,W8A8,physics,120,0.11241572933810129,0.07889354461319849
W8A8_span1,W8A8,physics,168,0.08236416824213418,0.001395974152586771
W8A8_span2,W8A8,physics,24,0.04529288551177655,0.01934228664282082
W8A8_span2,W8A8,physics,72,0.05406110383238333,0.015209099423385445
W8A8_span2,W8A8,physics,120,0.09427846472756678,0.04043453879512058
W8A8_span2,W8A8,physics,168,0.06304737255474019,0.006095784100361577
W8A8_span3,W8A8,physics,24,0.012611023387754784,0.011037860712212516
W8A8_span3,W8A8,physics,72,0.014146245350746966,0.003706022541474167
W8A8_span3,W8A8,physics,120,0.012403228447105489,0.01890265792268922
W8A8_span3,W8A8,physics,168,0.005872828711704061,0.006032707012710812
W8A8_rmse_span1,W8A8,rmse,24,0.11675590574683263,0.06397489557650723
W8A8_rmse_span1,W8A8,rmse,72,0.2024391620700525,0.14690439057472104
W8A8_rmse_span1,W8A8,rmse,120,0.3853633491489439,0.11011948808729596
W8A8_rmse_span1,W8A8,rmse,168,0.5013077074902464,0.279447160773965
W8A8_rmse_span2,W8A8,rmse,24,0.07946568563856131,0.057881245069839465
W8A8_rmse_span2,W8A8,rmse,72,0.1586454892491527,0.13143958005372258
W8A8_rmse_span2,W8A8,rmse,120,0.30026033374319167,0.1053713416406074
W8A8_rmse_span2,W8A8,rmse,168,0.4092367178198672,0.25541519313107985
W8A8_rmse_span3,W8A8,rmse,24,0.01902222960298684,0.010505400930997397
W8A8_rmse_span3,W8A8,rmse,72,0.022895352194911008,0.016594565232451956
W8A8_rmse_span3,W8A8,rmse,120,0.025089156247680034,0.07594005929173857
W8A8_rmse_span3,W8A8,rmse,168,0.04580095022164718,0.03252836039069878
W8A8_rmseup_span1,W8A8,rmse,24,0.085157019149023,0.06171008828340293
W8A8_rmseup_span1,W8A8,rmse,72,0.16724876611008543,0.07675033187181851
W8A8_rmseup_span1,W8A8,rmse,120,0.3159991964335272,0.13302648722425833
W8A8_rmseup_span1,W8A8,rmse,168,0.4183994579593884,0.2590575403966239
W8A8_rmseup_span3,W8A8,rmse,24,0.0042794472137936725,0.003497932886553011
