# predicted distortion rebuilt from the RUN configs in harness_results.csv  lead=120 min_effect_frac=0.0 axes=balance|conservation|standard  n_tags=28 of 28
tag,floor,guide,lead,config,balance,conservation,standard
W4W8_floor,W4,uniform,120,,11.87478425255324,2.8408267562292284,1.440819484808509
ceiling,bf16,uniform,120,,0.0,0.0,0.0
W4W8_knee,W4,physics,120,W8:head,6.647317992457565,2.7882201462359784,1.0970402749081125
W4W8_span1,W4,physics,120,bf16:embed|head;W8:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn,0.42261349932158115,0.34397562439665447,0.1394787663039764
W4W8_span2,W4,physics,120,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b6-11_mlp,0.14462640669262594,0.02713079337376699,0.2057389585681533
W4W8_span3,W4,physics,120,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln,0.009842972299923149,0.0010867873706601082,0.0018514348611506643
W4W8_rmse_span1,W4,rmse,120,bf16:embed|head;W8:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,1.097959820303824,0.7938737494086304,0.073451282391501
W4W8_rmse_span2,W4,rmse,120,bf16:b18-23_attn|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp,0.12127274469415315,0.23746098546940786,0.00813917956141955
W4W8_rmse_span3,W4,rmse,120,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp,0.017453342643247584,0.0032489542340350935,0.002276392204097236
W4W8_rmseup_span1,W4,rmse,120,bf16:embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.15948095582199173,0.27447696421277545,0.017014793445064378
W4W8_rmseup_span2,W4,rmse,120,bf16:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp,0.04022923117160459,0.022979912307726984,0.004367741425096352
W4W8_rmseup_span3,W4,rmse,120,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:b0-5_mlp,0.007610370343324433,0.0021621668633749853,0.0004249573429465716
W8A8_floor,W8A8,uniform,120,,0.9496769282133202,0.40757008779676895,0.07869380855164951
W8A8_knee,W8A8,physics,120,bf16:embed,0.4547409598358913,0.28469668853595176,0.04300583890781286
W8A8_span1,W8A8,physics,120,bf16:adaln|b18-23_attn|b18-23_mlp|embed|head,0.09328944484920892,0.06370808741508556,0.030834485765405706
W8A8_span2,W8A8,physics,120,bf16:adaln|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,0.07115127846049657,0.024722864734532925,0.020381019261696734
W8A8_span3,W8A8,physics,120,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,0.017889505392867915,0.0024974656263278246,0.009129848563511424
W8A8_rmse_span1,W8A8,rmse,120,bf16:adaln|b6-11_attn|embed|head,0.33995678048051137,0.2384841385397458,0.03288206645655607
W8A8_rmse_span2,W8A8,rmse,120,bf16:adaln|b0-5_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head,0.2578265023878623,0.202957958049736,0.010198449057636077
W8A8_rmse_span3,W8A8,rmse,120,bf16:adaln|b0-5_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,0.0260603768219163,0.03279016582742247,0.005552893576068556
W8A8_rmseup_span1,W8A8,rmse,120,bf16:adaln|b0-5_mlp|b18-23_attn|b6-11_attn|embed|head,0.26989424582344834,0.20337781878184416,0.018097153137830516
W8A8_rmseup_span3,W8A8,rmse,120,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,0.010938686005227929,0.006667140649471879,0.0023277006876571823
W8A8_probe_divergent,W8A8,probe,120,bf16:b18-23_mlp|head,0.616175725697963,0.20836895629617597,0.07143571979497212
W8A8_probe_rmse_favoured,W8A8,probe,120,bf16:b6-11_attn|b6-11_mlp,0.9305927092057101,0.3942880295620587,0.06356683085615747
W8A8_rand_0,W8A8,random,120,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|embed|head,0.25596726862150204,0.18803938621227598,0.020869089381399752
W8A8_rand_1,W8A8,random,120,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|b18-23_mlp|embed|head,0.04002767178158027,0.041482688306880455,0.019583315067220396
W8A8_rand_2,W8A8,random,120,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed|head,0.29274921211493454,0.20274345797208806,0.02325958807402722
W8A8_rand_3,W8A8,random,120,bf16:b0-5_attn|b12-17_mlp|b6-11_attn|b6-11_mlp|embed|head,0.3136830490142357,0.21166873008975923,0.020944578844459393
