model,scheme,lead,pair,rho,p_perm,n_groups,n_nonzero_x,n_nonzero_y,source
stormer,W8,24,balance_vs_standard,0.6182,0.0472,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,24,conservation_vs_standard,0.3000,0.3716,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,24,balance_vs_conservation,0.0636,0.8605,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,72,balance_vs_standard,0.8545,0.0013,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,72,conservation_vs_standard,0.7455,0.0112,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,72,balance_vs_conservation,0.6091,0.0513,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,120,balance_vs_standard,0.6182,0.0457,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,120,conservation_vs_standard,0.5909,0.0588,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,120,balance_vs_conservation,0.8455,0.0013,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,168,balance_vs_standard,0.5545,0.0807,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,168,conservation_vs_standard,0.4000,0.2172,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W8,168,balance_vs_conservation,0.6545,0.0342,11,11,11,ablation_analysis_ablation_W8/sensitivity.csv
stormer,W4,24,balance_vs_standard,0.7455,0.0121,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,24,conservation_vs_standard,0.2455,0.4716,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,24,balance_vs_conservation,0.0818,0.8178,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,72,balance_vs_standard,0.7000,0.0200,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,72,conservation_vs_standard,-0.0636,0.8649,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,72,balance_vs_conservation,0.4273,0.1931,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,120,balance_vs_standard,0.7091,0.0180,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,120,conservation_vs_standard,0.0818,0.8126,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,120,balance_vs_conservation,0.5727,0.0678,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,168,balance_vs_standard,0.6636,0.0306,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,168,conservation_vs_standard,0.3636,0.2764,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W4,168,balance_vs_conservation,0.5909,0.0631,11,11,11,ablation_analysis_ablation_W4/sensitivity.csv
stormer,W8A8,24,balance_vs_standard,0.7273,0.0163,11,11,11,ablation_analysis_ablation_W8A8/sensitivity.csv
