# measured RMSE (standard) axis re-scored from harness_results.pt. lead=120 svr_basis=iqr_monthly_anom harness=stormer_precision_harness n_tags=28. balance_rescored/conservation_rescored are the SAME basis as `standard` and are for comparison against the frozen harness_results.csv columns -- they are not a replacement for them.
tag,lead,standard,balance_rescored,conservation_rescored
W4W8_floor,120,2.408958035897498,11.46670285677756,0.2818921114951685
ceiling,120,0.0006618626418075546,0.001389817636391378,0.0004844472862023185
W4W8_knee,120,1.987196150613408,7.012613202203838,0.42281918452744666
W4W8_span1,120,0.20648953686766544,0.3805920837438956,0.060908285702211726
W4W8_span2,120,0.265385785240472,0.13784781458920817,0.021064586919446626
W4W8_span3,120,0.0009421418151481986,0.010980079169730038,0.0022109339028689476
W4W8_rmse_span1,120,0.30286689174761877,1.102251435579905,0.6261235681634236
W4W8_rmse_span2,120,0.00952139592548767,0.06838997547277745,0.07885476319665793
W4W8_rmse_span3,120,0.0018411493415664048,0.018129746631111544,0.006729748260225656
W4W8_rmseup_span1,120,0.009763745599930554,0.07156220283727957,0.08714028019576626
W4W8_rmseup_span2,120,0.001173085631758231,0.02189990098972934,0.0112744207101665
W4W8_rmseup_span3,120,0.0010988456065352443,0.00829697297432228,0.0053144036288411516
W8A8_floor,120,0.10298869125126624,0.9280511946961983,0.007755389909119145
W8A8_knee,120,0.021813310074336147,0.43568449334116516,0.000438913327870778
W8A8_span1,120,0.02577592100637667,0.08764950278472099,0.008245986730218065
W8A8_span2,120,0.013014460557278925,0.06559357986555854,0.004467023487187901
W8A8_span3,120,0.0058453367564161585,0.010746345773439634,0.00047943793369994726
W8A8_rmse_span1,120,0.019860446345429654,0.31193065120029995,0.05205099933800024
W8A8_rmse_span2,120,0.021546350847334157,0.24204726418009,0.056366976376961614
W8A8_rmse_span3,120,0.015046468785169256,0.01904750938914389,0.0038662507662429297
W8A8_rmseup_span1,120,0.02448755316594253,0.25203236196187884,0.05676643296197337
W8A8_rmseup_span3,120,0.005725144937329175,0.007670414034819867,0.000122927690069386
W8A8_probe_divergent,120,0.09756229349007245,0.6063602842862138,0.14025627654898534
W8A8_probe_rmse_favoured,120,0.09417471058858266,0.9073797727088687,0.005590070740696896
W8A8_rand_0,120,0.023177217714816723,0.24155905151865575,0.006395534949522593
W8A8_rand_1,120,0.016201669851085548,0.032970001530324776,0.010236425048764531
W8A8_rand_2,120,0.024226408228601577,0.28983554170071385,0.020457972084130735
W8A8_rand_3,120,0.017745659871282248,0.2903888211777154,0.05106738104781793
