tag,family,lead,block,value,floor_value,removed_pct,ci_lo,ci_hi,significant
W8A8_knee,dry_air_mass,120,1,0.0003321887836156545,0.005869617933164914,94.3405382190432,-4747.191214802021,89.92138778488857,False
W8A8_span1,dry_air_mass,120,1,0.00624092304262046,0.005869617933164914,-6.325882087785861,-1125.1032526042497,98.11957734237512,False
W8A8_rmse_span1,dry_air_mass,120,1,0.039394470520977595,0.005869617933164914,-571.1590255029766,-5552.719268101096,87.12646082204957,False
W8A8_probe_divergent,dry_air_mass,120,1,0.10615207819568759,0.005869617933164914,-1708.5006452617624,-12355.436435950078,77.08496945090731,False
W8A8_probe_rmse_favoured,dry_air_mass,120,1,0.004230809778973666,0.005869617933164914,27.920184462629884,-693.1967722054013,90.62510456949515,False
W8A8_knee,dry_air_mass,120,2,0.0003321887836156545,0.005869617933164914,94.3405382190432,-5359.988828919347,90.15590116262966,False
W8A8_span1,dry_air_mass,120,2,0.00624092304262046,0.005869617933164914,-6.325882087785861,-1063.2839842062826,98.21194155973717,False
W8A8_rmse_span1,dry_air_mass,120,2,0.039394470520977595,0.005869617933164914,-571.1590255029766,-5694.402653965565,86.89054190373375,False
W8A8_probe_divergent,dry_air_mass,120,2,0.10615207819568759,0.005869617933164914,-1708.5006452617624,-11625.12082397814,79.23553039630266,False
W8A8_probe_rmse_favoured,dry_air_mass,120,2,0.004230809778973666,0.005869617933164914,27.920184462629884,-554.2798032846349,88.7836167613326,False
W8A8_knee,dry_air_mass,120,3,0.0003321887836156545,0.005869617933164914,94.3405382190432,-7011.595438189707,87.28720348825146,False
W8A8_span1,dry_air_mass,120,3,0.00624092304262046,0.005869617933164914,-6.325882087785861,-1176.4858040905417,97.84271704627214,False
W8A8_rmse_span1,dry_air_mass,120,3,0.039394470520977595,0.005869617933164914,-571.1590255029766,-6444.168991815612,88.09045276277041,False
W8A8_probe_divergent,dry_air_mass,120,3,0.10615207819568759,0.005869617933164914,-1708.5006452617624,-13590.002952495619,77.96959008383057,False
W8A8_probe_rmse_favoured,dry_air_mass,120,3,0.004230809778973666,0.005869617933164914,27.920184462629884,-581.1827778713342,85.95772671593643,False
