tag,floor,guide,predicted_cost,balance,conservation,config,model_size_gb,latency_s_per_step,vram_peak_gb,vram_reserved_gb,n_inits,rollout_intervals,forwards_per_init
W4W8_floor,W4,uniform,2.28207e+08,11.46670285677756,0.2818921114951685,,0.334916468,1.5405552075909716,9.865421824,16.678649856,47,"6,12,24",49
ceiling,bf16,uniform,9.12826e+08,0.001389817636391378,0.0004844472862023185,,1.87517712,1.534811383312834,11.403994112,18.217959424,47,"6,12,24",49
W4W8_knee,W4,physics,2.28348e+08,7.012613202203838,0.42281918452744666,W8:head,0.335025652,1.5405754604310329,9.965041664,16.817061888,47,"6,12,24",49
W4W8_span1,W4,physics,3.9483e+08,0.3805920837438956,0.060908285702211726,bf16:embed|head;W8:adaln|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn,0.466274556,1.5397117164518153,10.100780032,17.054040064,47,"6,12,24",49
W4W8_span2,W4,physics,5.70991e+08,0.13784781458920817,0.021064586919446626,bf16:b12-17_mlp|b18-23_attn|b18-23_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b6-11_mlp,0.881179404,1.5340055437159859,10.569342976,13.077839872,47,"6,12,24",49
W4W8_span3,W4,physics,7.59734e+08,0.010980079169730038,0.0022109339028689476,bf16:b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln,1.417717052,1.5186412042073374,11.151168512,13.797163008,47,"6,12,24",49
W4W8_rmse_span1,W4,rmse,3.56033e+08,1.102251435579905,0.6261235681634236,bf16:embed|head;W8:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.436046332,1.5428701495818262,10.249504768,12.98137088,47,"6,12,24",49
W4W8_rmse_span2,W4,rmse,5.58408e+08,0.06838997547277745,0.07885476319665793,bf16:b18-23_attn|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_mlp,0.815484876,1.5378722979886723,10.654030848,17.607688192,47,"6,12,24",49
W4W8_rmse_span3,W4,rmse,7.09403e+08,0.018129746631111544,0.006729748260225656,bf16:b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_mlp,1.267101132,1.5312342328751194,11.157475328,13.870563328,47,"6,12,24",49
W4W8_rmseup_span1,W4,rmse,4.57744e+08,0.07156220283727957,0.08714028019576626,bf16:embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp,0.51448454,1.5436451404155898,10.457097216,17.272143872,47,"6,12,24",49
W4W8_rmseup_span2,W4,rmse,6.33905e+08,0.02189990098972934,0.0112744207101665,bf16:b12-17_attn|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp,1.041292972,1.5324594134664429,11.036792832,13.545504768,47,"6,12,24",49
W4W8_rmseup_span3,W4,rmse,8.62495e+08,0.00829697297432228,0.0053144036288411516,bf16:adaln|b0-5_attn|b12-17_attn|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head;W8:b0-5_mlp,1.724561712,1.5369047176292432,11.770317824,18.59125248,47,"6,12,24",49
W8A8_floor,W8A8,uniform,0,0.9280511946961983,0.007755389909119145,,0.50751569,1.4941302122149085,10.580076032,17.509122048,47,"6,12,24",49
W8A8_knee,W8A8,physics,0.00345677,0.43568449334116516,0.000438913327870778,bf16:embed,0.51065662,1.4936072122904338,10.668825088,17.565745152,47,"6,12,24",49
W8A8_span1,W8A8,physics,0.253338,0.08764950278472099,0.008245986730218065,bf16:adaln|b18-23_attn|b18-23_mlp|embed|head,1.196416528,1.503114876503657,11.4077184,18.457034752,47,"6,12,24",49
W8A8_span2,W8A8,physics,0.502225,0.06559357986555854,0.004467023487187901,bf16:adaln|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,1.422670336,1.5135797572189145,11.679747072,14.107541504,47,"6,12,24",49
W8A8_span3,W8A8,physics,0.751113,0.010746345773439634,0.00047943793369994726,bf16:adaln|b0-5_attn|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|embed|head,1.64892408,1.522461823287553,11.953872896,14.29209088,47,"6,12,24",49
W8A8_rmse_span1,W8A8,rmse,0.0874126,0.31193065120029995,0.05205099933800024,bf16:adaln|b6-11_attn|embed|head,1.045553208,1.4975198316720448,11.4140416,14.017363968,47,"6,12,24",49
W8A8_rmse_span2,W8A8,rmse,0.502225,0.24204726418009,0.056366976376961614,bf16:adaln|b0-5_mlp|b18-23_attn|b6-11_attn|b6-11_mlp|embed|head,1.422670336,1.5132178189232945,11.833796608,18.828230656,47,"6,12,24",49
W8A8_rmse_span3,W8A8,rmse,0.66815,0.01904750938914389,0.0038662507662429297,bf16:adaln|b0-5_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,1.573533656,1.5189027933270804,12.035668992,18.996002816,47,"6,12,24",49
W8A8_rmseup_span1,W8A8,rmse,0.3363,0.25203236196187884,0.05676643296197337,bf16:adaln|b0-5_mlp|b18-23_attn|b6-11_attn|embed|head,1.271806952,1.50582253147981,11.787022336,14.283702272,47,"6,12,24",49
W8A8_rmseup_span3,W8A8,rmse,0.834075,0.007670414034819867,0.000122927690069386,bf16:adaln|b0-5_mlp|b12-17_mlp|b18-23_attn|b18-23_mlp|b6-11_attn|b6-11_mlp|embed|head,1.724396976,1.5301597925302173,12.289590272,14.63812096,47,"6,12,24",49
W8A8_probe_divergent,W8A8,probe,,0.6063602842862138,0.14025627654898534,bf16:b18-23_mlp|head,0.659225156,1.5027899513619818,11.252287488,18.148753408,47,"6,12,24",49
W8A8_probe_rmse_favoured,W8A8,probe,,0.9073797727088687,0.005590070740696896,bf16:b6-11_attn|b6-11_mlp,0.733769498,1.505716320526387,11.370504704,14.193524736,47,"6,12,24",49
W8A8_rand_0,W8A8,random,0.502225,0.24155905151865575,0.006395534949522593,bf16:adaln|b0-5_mlp|b12-17_attn|b12-17_mlp|b18-23_attn|embed|head,1.422670336,1.5113527082305933,12.13980672,19.134414848,47,"6,12,24",49
W8A8_rand_1,W8A8,random,0.502225,0.032970001530324776,0.010236425048764531,bf16:adaln|b0-5_attn|b0-5_mlp|b18-23_attn|b18-23_mlp|embed|head,1.422670336,1.5079455322452955,12.195001344,19.155386368,47,"6,12,24",49
W8A8_rand_2,W8A8,random,0.502225,0.28983554170071385,0.020457972084130735,bf16:adaln|b0-5_attn|b12-17_mlp|b18-23_attn|b6-11_mlp|embed|head,1.422670336,1.5137715482685183,12.246001664,14.812184576,47,"6,12,24",49
W8A8_rand_3,W8A8,random,0.502163,0.2903888211777154,0.05106738104781793,bf16:b0-5_attn|b12-17_mlp|b6-11_attn|b6-11_mlp|embed|head,0.964010254,1.501045303652063,11.841207296,14.789115904,47,"6,12,24",49
